Date,COO
2016-07-01,44.334999084472656
2016-07-05,44.35499954223633
2016-07-06,44.41749954223633
2016-07-07,44.625
2016-07-08,45.45750045776367
2016-07-11,45.525001525878906
2016-07-12,44.6349983215332
2016-07-13,44.70750045776367
2016-07-14,44.7400016784668
2016-07-15,44.60499954223633
2016-07-18,44.39500045776367
2016-07-19,44.28499984741211
2016-07-20,44.56999969482422
2016-07-21,44.09749984741211
2016-07-22,44.38999938964844
2016-07-25,44.005001068115234
2016-07-26,44.782501220703125
2016-07-27,44.837501525878906
2016-07-28,45.23500061035156
2016-07-29,45.61750030517578
2016-08-01,45.65250015258789
2016-08-02,45.49250030517578
2016-08-03,45.32500076293945
2016-08-04,45.442501068115234
2016-08-05,45.717498779296875
2016-08-08,45.3224983215332
2016-08-09,45.537498474121094
2016-08-10,45.30500030517578
2016-08-11,45.560001373291016
2016-08-12,45.20249938964844
2016-08-15,45.494998931884766
2016-08-16,45.33000183105469
2016-08-17,44.95500183105469
2016-08-18,45.342498779296875
2016-08-19,45.96500015258789
2016-08-22,46.04750061035156
2016-08-23,46.4474983215332
2016-08-24,46.255001068115234
2016-08-25,45.95249938964844
2016-08-26,45.97999954223633
2016-08-29,46.63999938964844
2016-08-30,46.595001220703125
2016-08-31,46.47999954223633
2016-09-01,46.342498779296875
2016-09-02,46.47999954223633
2016-09-06,47.07500076293945
2016-09-07,47.13999938964844
2016-09-08,46.685001373291016
2016-09-09,46.20750045776367
2016-09-12,46.685001373291016
2016-09-13,46.45249938964844
2016-09-14,46.38249969482422
2016-09-15,47.474998474121094
2016-09-16,47.127498626708984
2016-09-19,47.11750030517578
2016-09-20,46.602500915527344
2016-09-21,46.54499816894531
2016-09-22,46.125
2016-09-23,45.24250030517578
2016-09-26,44.54750061035156
2016-09-27,44.57500076293945
2016-09-28,44.720001220703125
2016-09-29,44.0099983215332
2016-09-30,44.814998626708984
2016-10-03,44.4375
2016-10-04,44.220001220703125
2016-10-05,44.29249954223633
2016-10-06,44.67250061035156
2016-10-07,45.220001220703125
2016-10-10,45.494998931884766
2016-10-11,44.904998779296875
2016-10-12,44.81999969482422
2016-10-13,44.647499084472656
2016-10-14,44.397499084472656
2016-10-17,44.584999084472656
2016-10-18,45.16999816894531
2016-10-19,44.744998931884766
2016-10-20,44.875
2016-10-21,44.69499969482422
2016-10-24,45.07500076293945
2016-10-25,45.40250015258789
2016-10-26,44.04999923706055
2016-10-27,43.81999969482422
2016-10-28,43.84000015258789
2016-10-31,44.0099983215332
2016-11-01,43.442501068115234
2016-11-02,43.459999084472656
2016-11-03,43.40999984741211
2016-11-04,43.95500183105469
2016-11-07,45.05500030517578
2016-11-08,45.724998474121094
2016-11-09,45.439998626708984
2016-11-10,45.067501068115234
2016-11-11,44.317501068115234
2016-11-14,42.532501220703125
2016-11-15,42.98749923706055
2016-11-16,43.0
2016-11-17,43.599998474121094
2016-11-18,43.0
2016-11-21,43.32500076293945
2016-11-22,42.5
2016-11-23,42.16749954223633
2016-11-25,42.67499923706055
2016-11-28,42.08250045776367
2016-11-29,42.537498474121094
2016-11-30,41.122501373291016
2016-12-01,39.875
2016-12-02,40.529998779296875
2016-12-05,40.9900016784668
2016-12-06,41.4275016784668
2016-12-07,42.09749984741211
2016-12-08,41.95000076293945
2016-12-09,42.654998779296875
2016-12-12,43.54999923706055
2016-12-13,43.82749938964844
2016-12-14,43.79750061035156
2016-12-15,44.01499938964844
2016-12-16,43.8025016784668
2016-12-19,43.76750183105469
2016-12-20,43.84749984741211
2016-12-21,43.654998779296875
2016-12-22,43.275001525878906
2016-12-23,43.85749816894531
2016-12-27,44.36000061035156
2016-12-28,43.834999084472656
2016-12-29,43.872501373291016
2016-12-30,43.73249816894531
2017-01-03,43.787498474121094
2017-01-04,44.53499984741211
2017-01-05,44.092498779296875
2017-01-06,44.3025016784668
2017-01-09,44.52000045776367
2017-01-10,45.45000076293945
2017-01-11,44.439998626708984
2017-01-12,44.349998474121094
2017-01-13,44.8849983215332
2017-01-17,45.52000045776367
2017-01-18,45.752498626708984
2017-01-19,45.477500915527344
2017-01-20,45.38249969482422
2017-01-23,45.16749954223633
2017-01-24,45.03499984741211
2017-01-25,45.125
2017-01-26,45.279998779296875
2017-01-27,45.86000061035156
2017-01-30,45.439998626708984
2017-01-31,46.15250015258789
2017-02-01,46.4275016784668
2017-02-02,46.752498626708984
2017-02-03,47.025001525878906
2017-02-06,46.877498626708984
2017-02-07,47.029998779296875
2017-02-08,47.23749923706055
2017-02-09,47.625
2017-02-10,47.75
2017-02-13,47.810001373291016
2017-02-14,47.912498474121094
2017-02-15,47.82749938964844
2017-02-16,47.627498626708984
2017-02-17,48.977500915527344
2017-02-21,48.8650016784668
2017-02-22,48.74250030517578
2017-02-23,49.22999954223633
2017-02-24,49.93000030517578
2017-02-27,49.73500061035156
2017-02-28,49.78499984741211
2017-03-01,50.189998626708984
2017-03-02,50.28499984741211
2017-03-03,48.6150016784668
2017-03-06,48.63249969482422
2017-03-07,48.3650016784668
2017-03-08,48.51250076293945
2017-03-09,48.65250015258789
2017-03-10,48.58000183105469
2017-03-13,48.61249923706055
2017-03-14,48.375
2017-03-15,48.67250061035156
2017-03-16,48.432498931884766
2017-03-17,48.78499984741211
2017-03-20,49.060001373291016
2017-03-21,48.834999084472656
2017-03-22,49.9474983215332
2017-03-23,49.92499923706055
2017-03-24,49.95000076293945
2017-03-27,49.95500183105469
2017-03-28,49.76499938964844
2017-03-29,49.83250045776367
2017-03-30,49.53499984741211
2017-03-31,49.97249984741211
2017-04-03,49.907501220703125
2017-04-04,49.95000076293945
2017-04-05,49.334999084472656
2017-04-06,49.2599983215332
2017-04-07,49.25
2017-04-10,49.2599983215332
2017-04-11,49.349998474121094
2017-04-12,49.26499938964844
2017-04-13,49.0724983215332
2017-04-17,49.154998779296875
2017-04-18,49.22249984741211
2017-04-19,49.557498931884766
2017-04-20,50.125
2017-04-21,49.78499984741211
2017-04-24,50.3849983215332
2017-04-25,50.33000183105469
2017-04-26,49.997501373291016
2017-04-27,49.842498779296875
2017-04-28,50.08250045776367
2017-05-01,50.26250076293945
2017-05-02,50.529998779296875
2017-05-03,50.55500030517578
2017-05-04,51.22249984741211
2017-05-05,51.4275016784668
2017-05-08,51.599998474121094
2017-05-09,51.912498474121094
2017-05-10,51.834999084472656
2017-05-11,51.849998474121094
2017-05-12,51.897499084472656
2017-05-15,52.467498779296875
2017-05-16,52.6150016784668
2017-05-17,52.352500915527344
2017-05-18,52.59749984741211
2017-05-19,53.154998779296875
2017-05-22,54.334999084472656
2017-05-23,54.27000045776367
2017-05-24,54.41749954223633
2017-05-25,54.58000183105469
2017-05-26,54.3650016784668
2017-05-30,54.54999923706055
2017-05-31,54.6875
2017-06-01,54.9474983215332
2017-06-02,59.58000183105469
2017-06-05,60.22249984741211
2017-06-06,60.404998779296875
2017-06-07,60.775001525878906
2017-06-08,60.439998626708984
2017-06-09,59.35749816894531
2017-06-12,59.1875
2017-06-13,60.220001220703125
2017-06-14,59.747501373291016
2017-06-15,59.959999084472656
2017-06-16,59.73749923706055
2017-06-19,60.52750015258789
2017-06-20,60.6974983215332
2017-06-21,60.96500015258789
2017-06-22,61.26499938964844
2017-06-23,61.54750061035156
2017-06-26,61.689998626708984
2017-06-27,60.8125
2017-06-28,60.587501525878906
2017-06-29,59.279998779296875
2017-06-30,59.85499954223633
2017-07-03,59.095001220703125
2017-07-05,59.50749969482422
2017-07-06,59.04750061035156
2017-07-07,60.682498931884766
2017-07-10,61.03499984741211
2017-07-11,61.13249969482422
