Date,MSI
2015-07-01,57.599998474121094
2015-07-02,57.5099983215332
2015-07-06,57.220001220703125
2015-07-07,57.4900016784668
2015-07-08,56.790000915527344
2015-07-09,56.939998626708984
2015-07-10,57.47999954223633
2015-07-13,58.43000030517578
2015-07-14,58.599998474121094
2015-07-15,58.88999938964844
2015-07-16,59.290000915527344
2015-07-17,58.849998474121094
2015-07-20,59.400001525878906
2015-07-21,59.56999969482422
2015-07-22,59.349998474121094
2015-07-23,58.849998474121094
2015-07-24,59.5
2015-07-27,58.709999084472656
2015-07-28,59.11000061035156
2015-07-29,59.58000183105469
2015-07-30,59.86000061035156
2015-07-31,60.15999984741211
2015-08-03,59.7599983215332
2015-08-04,60.220001220703125
2015-08-05,64.04000091552734
2015-08-06,63.79999923706055
2015-08-07,64.19000244140625
2015-08-10,63.9900016784668
2015-08-11,63.349998474121094
2015-08-12,64.5999984741211
2015-08-13,64.33999633789062
2015-08-14,64.9800033569336
2015-08-17,65.2699966430664
2015-08-18,65.7699966430664
2015-08-19,65.3499984741211
2015-08-20,63.88999938964844
2015-08-21,62.45000076293945
2015-08-24,60.790000915527344
2015-08-25,60.439998626708984
2015-08-26,63.13999938964844
2015-08-27,64.29000091552734
2015-08-28,64.55000305175781
2015-08-31,64.81999969482422
2015-09-01,63.849998474121094
2015-09-02,64.72000122070312
2015-09-03,65.11000061035156
2015-09-04,66.30999755859375
2015-09-08,69.61000061035156
2015-09-09,68.30000305175781
2015-09-10,69.08999633789062
2015-09-11,67.08000183105469
2015-09-14,66.83999633789062
2015-09-15,67.1500015258789
2015-09-16,67.47000122070312
2015-09-17,67.02999877929688
2015-09-18,67.08999633789062
2015-09-21,67.05000305175781
2015-09-22,66.58000183105469
2015-09-23,67.80000305175781
2015-09-24,67.91000366210938
2015-09-25,69.19999694824219
2015-09-28,67.93000030517578
2015-09-29,67.44999694824219
2015-09-30,68.37999725341797
2015-10-01,67.76000213623047
2015-10-02,68.4000015258789
2015-10-05,69.75
2015-10-06,69.19000244140625
2015-10-07,69.79000091552734
2015-10-08,69.5
2015-10-09,68.77999877929688
2015-10-12,69.43000030517578
2015-10-13,69.04000091552734
2015-10-14,68.69999694824219
2015-10-15,69.2699966430664
2015-10-16,69.26000213623047
2015-10-19,69.02999877929688
2015-10-20,69.4800033569336
2015-10-21,69.47000122070312
2015-10-22,70.4800033569336
2015-10-23,70.4800033569336
2015-10-26,70.05000305175781
2015-10-27,69.95999908447266
2015-10-28,70.37000274658203
2015-10-29,70.12999725341797
2015-10-30,69.97000122070312
2015-11-02,70.7300033569336
2015-11-03,71.36000061035156
2015-11-04,65.23999786376953
2015-11-05,67.4000015258789
2015-11-06,68.01000213623047
2015-11-09,68.19999694824219
2015-11-10,68.33999633789062
2015-11-11,70.0199966430664
2015-11-12,69.44000244140625
2015-11-13,69.02999877929688
2015-11-16,70.0199966430664
2015-11-17,71.05000305175781
2015-11-18,71.9800033569336
2015-11-19,72.44999694824219
2015-11-20,72.19000244140625
2015-11-23,72.23999786376953
2015-11-24,71.95999908447266
2015-11-25,71.83000183105469
2015-11-27,72.0199966430664
2015-11-30,71.77999877929688
2015-12-01,72.05000305175781
2015-12-02,71.88999938964844
2015-12-03,71.08000183105469
2015-12-04,72.11000061035156
2015-12-07,70.37999725341797
2015-12-08,69.75
2015-12-09,69.30999755859375
2015-12-10,69.37000274658203
2015-12-11,68.61000061035156
2015-12-14,68.13999938964844
2015-12-15,69.12999725341797
2015-12-16,69.5199966430664
2015-12-17,68.55999755859375
2015-12-18,67.58000183105469
2015-12-21,68.02999877929688
2015-12-22,68.87000274658203
2015-12-23,69.20999908447266
2015-12-24,69.05999755859375
2015-12-28,69.18000030517578
2015-12-29,69.63999938964844
2015-12-30,69.30000305175781
2015-12-31,68.44999694824219
2016-01-04,67.12999725341797
2016-01-05,66.38999938964844
2016-01-06,65.43000030517578
2016-01-07,64.11000061035156
2016-01-08,64.25
2016-01-11,64.37000274658203
2016-01-12,64.91000366210938
2016-01-13,63.369998931884766
2016-01-14,63.11000061035156
2016-01-15,61.59000015258789
2016-01-19,61.130001068115234
2016-01-20,60.36000061035156
2016-01-21,60.81999969482422
2016-01-22,62.040000915527344
2016-01-25,62.41999816894531
2016-01-26,63.15999984741211
2016-01-27,64.80000305175781
2016-01-28,64.73999786376953
2016-01-29,66.7699966430664
2016-02-01,66.8499984741211
2016-02-02,64.31999969482422
2016-02-03,64.87999725341797
2016-02-04,64.25
2016-02-05,62.81999969482422
2016-02-08,62.09000015258789
2016-02-09,62.2400016784668
2016-02-10,60.970001220703125
2016-02-11,60.52000045776367
2016-02-12,61.779998779296875
2016-02-16,63.41999816894531
2016-02-17,65.05000305175781
2016-02-18,64.77999877929688
2016-02-19,66.0
2016-02-22,66.75
2016-02-23,70.77999877929688
2016-02-24,72.83999633789062
2016-02-25,74.05999755859375
2016-02-26,74.86000061035156
2016-02-29,73.48999786376953
2016-03-01,71.19000244140625
