Date,BX
2023-07-03,94.76000213623047
2023-07-05,92.91000366210938
2023-07-06,92.0199966430664
2023-07-07,91.91000366210938
2023-07-10,93.37000274658203
2023-07-11,98.47000122070312
2023-07-12,98.18000030517578
2023-07-13,102.73999786376953
2023-07-14,104.02999877929688
2023-07-17,104.38999938964844
2023-07-18,106.87999725341797
2023-07-19,108.16999816894531
2023-07-20,107.51000213623047
2023-07-21,104.88999938964844
2023-07-24,105.12999725341797
2023-07-25,104.4000015258789
2023-07-26,104.70999908447266
2023-07-27,103.27999877929688
2023-07-28,105.05000305175781
2023-07-31,104.79000091552734
2023-08-01,106.08000183105469
2023-08-02,102.88999938964844
2023-08-03,102.61000061035156
2023-08-04,102.7300033569336
2023-08-07,103.93000030517578
2023-08-08,103.7699966430664
2023-08-09,100.08999633789062
2023-08-10,100.19999694824219
2023-08-11,98.37000274658203
2023-08-14,98.04000091552734
2023-08-15,97.47000122070312
2023-08-16,96.9000015258789
2023-08-17,96.80000305175781
2023-08-18,98.72000122070312
2023-08-21,98.79000091552734
2023-08-22,98.26000213623047
2023-08-23,99.69999694824219
2023-08-24,99.0199966430664
2023-08-25,99.66000366210938
2023-08-28,100.87999725341797
2023-08-29,104.30000305175781
2023-08-30,104.88999938964844
2023-08-31,106.37000274658203
2023-09-01,104.48999786376953
2023-09-05,108.23999786376953
2023-09-06,107.9000015258789
2023-09-07,109.38999938964844
2023-09-08,112.66999816894531
2023-09-11,113.5
2023-09-12,112.54000091552734
2023-09-13,112.75
2023-09-14,112.70999908447266
2023-09-15,113.79000091552734
2023-09-18,114.37000274658203
2023-09-19,115.12000274658203
2023-09-20,114.22000122070312
2023-09-21,111.12999725341797
2023-09-22,111.18000030517578
2023-09-25,110.30000305175781
2023-09-26,105.94000244140625
2023-09-27,106.55000305175781
2023-09-28,108.2300033569336
2023-09-29,107.13999938964844
2023-10-02,107.16000366210938
2023-10-03,103.22000122070312
2023-10-04,104.23999786376953
2023-10-05,104.19000244140625
2023-10-06,105.12999725341797
2023-10-09,104.80999755859375
2023-10-10,105.29000091552734
2023-10-11,107.2699966430664
2023-10-12,104.86000061035156
2023-10-13,103.80000305175781
2023-10-16,104.54000091552734
2023-10-17,105.33000183105469
2023-10-18,102.30000305175781
2023-10-19,94.22000122070312
2023-10-20,94.41999816894531
2023-10-23,92.73999786376953
2023-10-24,95.16999816894531
2023-10-25,91.91000366210938
2023-10-26,92.30000305175781
2023-10-27,89.61000061035156
2023-10-30,92.37999725341797
2023-10-31,92.3499984741211
2023-11-01,94.75
2023-11-02,98.19999694824219
2023-11-03,100.9000015258789
2023-11-06,98.33000183105469
2023-11-07,98.93000030517578
2023-11-08,99.16000366210938
2023-11-09,96.8499984741211
2023-11-10,98.63999938964844
2023-11-13,97.7300033569336
2023-11-14,102.58999633789062
2023-11-15,104.27999877929688
