Date,EXPE
2015-07-01,107.19000244140625
2015-07-02,107.06999969482422
2015-07-06,106.51000213623047
2015-07-07,107.05999755859375
2015-07-08,104.87000274658203
2015-07-09,104.55000305175781
2015-07-10,107.97000122070312
2015-07-13,111.12000274658203
2015-07-14,107.26000213623047
2015-07-15,107.44999694824219
2015-07-16,110.05000305175781
2015-07-17,110.79000091552734
2015-07-20,109.55999755859375
2015-07-21,110.08999633789062
2015-07-22,110.66000366210938
2015-07-23,109.5199966430664
2015-07-24,105.69999694824219
2015-07-27,104.91999816894531
2015-07-28,107.16999816894531
2015-07-29,106.87000274658203
2015-07-30,107.61000061035156
2015-07-31,121.44000244140625
2015-08-03,122.58999633789062
2015-08-04,124.55999755859375
2015-08-05,126.79000091552734
2015-08-06,121.5999984741211
2015-08-07,121.04000091552734
2015-08-10,121.48999786376953
2015-08-11,121.12999725341797
2015-08-12,120.77999877929688
2015-08-13,120.66000366210938
2015-08-14,121.6500015258789
2015-08-17,123.01000213623047
2015-08-18,123.31999969482422
2015-08-19,123.13999938964844
2015-08-20,118.69999694824219
2015-08-21,114.51000213623047
2015-08-24,108.33999633789062
2015-08-25,108.41999816894531
2015-08-26,115.23999786376953
2015-08-27,117.44999694824219
2015-08-28,116.51000213623047
2015-08-31,114.98999786376953
2015-09-01,110.37000274658203
2015-09-02,113.37999725341797
2015-09-03,112.88999938964844
2015-09-04,111.2300033569336
2015-09-08,114.45999908447266
2015-09-09,113.3499984741211
2015-09-10,115.94000244140625
2015-09-11,116.61000061035156
2015-09-14,115.75
2015-09-15,118.83000183105469
2015-09-16,124.68000030517578
2015-09-17,128.8300018310547
2015-09-18,126.48999786376953
2015-09-21,126.33000183105469
2015-09-22,124.87999725341797
2015-09-23,122.13999938964844
2015-09-24,120.5
2015-09-25,120.05000305175781
2015-09-28,116.72000122070312
2015-09-29,114.01000213623047
2015-09-30,117.68000030517578
2015-10-01,119.91999816894531
2015-10-02,122.62000274658203
2015-10-05,123.94999694824219
2015-10-06,122.22000122070312
2015-10-07,122.93000030517578
2015-10-08,122.87999725341797
2015-10-09,125.33999633789062
2015-10-12,127.0199966430664
2015-10-13,128.10000610351562
2015-10-14,121.8499984741211
2015-10-15,125.18000030517578
2015-10-16,127.37999725341797
2015-10-19,130.4499969482422
2015-10-20,129.0399932861328
2015-10-21,129.13999938964844
2015-10-22,127.58000183105469
2015-10-23,125.41000366210938
2015-10-26,128.38999938964844
2015-10-27,127.11000061035156
2015-10-28,125.80000305175781
2015-10-29,127.05999755859375
2015-10-30,136.3000030517578
2015-11-02,135.41000366210938
2015-11-03,136.38999938964844
2015-11-04,134.1699981689453
2015-11-05,137.30999755859375
2015-11-06,133.32000732421875
2015-11-09,129.47999572753906
2015-11-10,129.00999450683594
2015-11-11,128.74000549316406
2015-11-12,127.94000244140625
2015-11-13,125.19999694824219
2015-11-16,122.52999877929688
2015-11-17,120.88999938964844
2015-11-18,125.30000305175781
2015-11-19,128.08999633789062
2015-11-20,126.25
2015-11-23,124.91999816894531
2015-11-24,121.2699966430664
2015-11-25,123.62000274658203
2015-11-27,123.62999725341797
2015-11-30,123.11000061035156
2015-12-01,125.04000091552734
2015-12-02,123.11000061035156
2015-12-03,122.2699966430664
2015-12-04,125.91999816894531
2015-12-07,125.04000091552734
2015-12-08,125.62999725341797
2015-12-09,125.0199966430664
2015-12-10,125.61000061035156
2015-12-11,123.20999908447266
2015-12-14,124.30000305175781
2015-12-15,130.24000549316406
2015-12-16,131.16000366210938
2015-12-17,128.6699981689453
2015-12-18,125.36000061035156
2015-12-21,125.58000183105469
2015-12-22,127.5199966430664
2015-12-23,126.27999877929688
2015-12-24,126.47000122070312
2015-12-28,126.0999984741211
2015-12-29,127.69999694824219
2015-12-30,126.2699966430664
2015-12-31,124.30000305175781
2016-01-04,120.80000305175781
2016-01-05,119.93000030517578
2016-01-06,119.04000091552734
2016-01-07,114.80999755859375
2016-01-08,111.41000366210938
2016-01-11,111.19999694824219
2016-01-12,111.9000015258789
2016-01-13,106.37000274658203
2016-01-14,107.66999816894531
2016-01-15,102.76000213623047
2016-01-19,105.31999969482422
2016-01-20,106.27999877929688
2016-01-21,106.4000015258789
2016-01-22,107.12000274658203
2016-01-25,105.20999908447266
2016-01-26,104.93000030517578
2016-01-27,99.52999877929688
2016-01-28,98.69000244140625
2016-01-29,101.04000091552734
2016-02-01,102.1500015258789
2016-02-02,98.70999908447266
2016-02-03,96.30000305175781
2016-02-04,99.9000015258789
2016-02-05,93.54000091552734
2016-02-08,91.52999877929688
2016-02-09,92.63999938964844
2016-02-10,94.3499984741211
2016-02-11,103.37000274658203
2016-02-12,102.25
2016-02-16,105.44000244140625
2016-02-17,110.87999725341797
2016-02-18,107.47000122070312
2016-02-19,108.66999816894531
2016-02-22,106.95999908447266
2016-02-23,104.16000366210938
2016-02-24,104.4000015258789
2016-02-25,105.12999725341797
2016-02-26,105.44999694824219
2016-02-29,104.11000061035156
2016-03-01,108.19000244140625
2016-03-02,106.7300033569336
2016-03-03,108.51000213623047
2016-03-04,108.52999877929688
2016-03-07,105.38999938964844
2016-03-08,104.86000061035156
2016-03-09,105.69000244140625
2016-03-10,109.37999725341797
2016-03-11,114.93000030517578
2016-03-14,116.38999938964844
2016-03-15,116.2699966430664
