Date,AWK
2016-01-04,60.31999969482422
2016-01-05,60.150001525878906
2016-01-06,59.88999938964844
2016-01-07,59.439998626708984
2016-01-08,59.66999816894531
2016-01-11,60.25
2016-01-12,60.189998626708984
2016-01-13,60.09000015258789
2016-01-14,60.880001068115234
2016-01-15,60.47999954223633
2016-01-19,61.0099983215332
2016-01-20,60.619998931884766
2016-01-21,60.25
2016-01-22,62.439998626708984
2016-01-25,61.439998626708984
2016-01-26,62.349998474121094
2016-01-27,62.439998626708984
2016-01-28,63.45000076293945
2016-01-29,64.91000366210938
2016-02-01,65.02999877929688
2016-02-02,65.36000061035156
2016-02-03,65.87999725341797
2016-02-04,63.93000030517578
2016-02-05,63.720001220703125
2016-02-08,64.29000091552734
2016-02-09,65.72000122070312
2016-02-10,66.68000030517578
2016-02-11,66.08000183105469
2016-02-12,65.08000183105469
2016-02-16,65.1500015258789
2016-02-17,64.70999908447266
2016-02-18,65.80999755859375
2016-02-19,65.7699966430664
2016-02-22,66.2699966430664
2016-02-23,66.66999816894531
2016-02-24,66.69000244140625
2016-02-25,68.05000305175781
2016-02-26,64.80999755859375
2016-02-29,64.81999969482422
2016-03-01,65.30000305175781
2016-03-02,68.76000213623047
2016-03-03,67.9000015258789
2016-03-04,67.87000274658203
2016-03-07,67.33999633789062
2016-03-08,68.37000274658203
2016-03-09,68.69000244140625
2016-03-10,68.2300033569336
2016-03-11,68.11000061035156
2016-03-14,68.0
2016-03-15,68.58999633789062
2016-03-16,68.9000015258789
2016-03-17,69.97000122070312
2016-03-18,68.01000213623047
2016-03-21,67.55000305175781
2016-03-22,67.61000061035156
2016-03-23,67.55000305175781
2016-03-24,67.62999725341797
2016-03-28,67.13999938964844
2016-03-29,68.72000122070312
2016-03-30,68.61000061035156
2016-03-31,68.93000030517578
2016-04-01,69.5
2016-04-04,69.62000274658203
2016-04-05,69.05000305175781
2016-04-06,69.5
2016-04-07,69.80000305175781
2016-04-08,70.37999725341797
2016-04-11,70.0999984741211
2016-04-12,70.38999938964844
2016-04-13,70.38999938964844
2016-04-14,70.44000244140625
2016-04-15,71.26000213623047
2016-04-18,71.69999694824219
2016-04-19,72.19999694824219
2016-04-20,70.87999725341797
2016-04-21,68.26000213623047
2016-04-22,69.23999786376953
2016-04-25,70.80000305175781
2016-04-26,71.41000366210938
2016-04-27,72.16999816894531
2016-04-28,72.38999938964844
2016-04-29,72.76000213623047
2016-05-02,74.19000244140625
2016-05-03,73.93000030517578
2016-05-04,74.44999694824219
2016-05-05,73.19999694824219
2016-05-06,74.0199966430664
2016-05-09,74.29000091552734
2016-05-10,74.51000213623047
2016-05-11,74.5199966430664
2016-05-12,74.94000244140625
2016-05-13,74.70999908447266
2016-05-16,75.19999694824219
2016-05-17,73.33000183105469
2016-05-18,72.63999938964844
2016-05-19,73.4000015258789
2016-05-20,73.41000366210938
2016-05-23,73.1500015258789
2016-05-24,73.9800033569336
2016-05-25,73.27999877929688
2016-05-26,73.9800033569336
2016-05-27,74.12000274658203
2016-05-31,74.0999984741211
2016-06-01,75.23999786376953
2016-06-02,75.19999694824219
2016-06-03,76.45999908447266
2016-06-06,75.83000183105469
2016-06-07,75.97000122070312
2016-06-08,76.70999908447266
2016-06-09,77.47000122070312
2016-06-10,77.5
2016-06-13,77.66000366210938
2016-06-14,78.0199966430664
2016-06-15,77.80999755859375
2016-06-16,78.68000030517578
2016-06-17,78.16999816894531
2016-06-20,77.5999984741211
2016-06-21,78.1500015258789
2016-06-22,78.26000213623047
2016-06-23,78.94000244140625
2016-06-24,79.93000030517578
2016-06-27,81.70999908447266
2016-06-28,82.12000274658203
2016-06-29,82.31999969482422
2016-06-30,84.51000213623047
2016-07-01,84.0999984741211
2016-07-05,84.76000213623047
2016-07-06,84.06999969482422
2016-07-07,82.58000183105469
2016-07-08,83.36000061035156
2016-07-11,82.76000213623047
2016-07-12,81.29000091552734
2016-07-13,82.0
2016-07-14,81.7300033569336
2016-07-15,81.58999633789062
2016-07-18,81.44999694824219
2016-07-19,81.72000122070312
2016-07-20,81.58999633789062
2016-07-21,81.1500015258789
2016-07-22,82.83999633789062
2016-07-25,82.83000183105469
2016-07-26,82.2300033569336
2016-07-27,81.47000122070312
2016-07-28,82.05999755859375
2016-07-29,82.58000183105469
2016-08-01,82.83999633789062
2016-08-02,82.06999969482422
2016-08-03,81.16999816894531
2016-08-04,80.1500015258789
2016-08-05,78.4800033569336
2016-08-08,77.6500015258789
2016-08-09,77.73999786376953
2016-08-10,78.11000061035156
2016-08-11,77.83000183105469
2016-08-12,77.76000213623047
2016-08-15,76.54000091552734
2016-08-16,75.52999877929688
2016-08-17,76.95999908447266
2016-08-18,77.4000015258789
2016-08-19,76.44000244140625
2016-08-22,76.62999725341797
2016-08-23,76.48999786376953
2016-08-24,76.26000213623047
2016-08-25,76.2699966430664
2016-08-26,74.80000305175781
2016-08-29,75.43000030517578
2016-08-30,74.02999877929688
2016-08-31,73.98999786376953
2016-09-01,73.36000061035156
2016-09-02,74.80000305175781
2016-09-06,75.9000015258789
2016-09-07,76.0
2016-09-08,75.7300033569336
2016-09-09,72.48999786376953
2016-09-12,73.48999786376953
2016-09-13,72.95999908447266
2016-09-14,73.2699966430664
2016-09-15,73.72000122070312
2016-09-16,74.33000183105469
2016-09-19,75.18000030517578
2016-09-20,75.1500015258789
2016-09-21,76.7699966430664
2016-09-22,77.36000061035156
2016-09-23,76.48999786376953
2016-09-26,76.68000030517578
2016-09-27,76.1500015258789
2016-09-28,76.2300033569336
2016-09-29,74.9800033569336
2016-09-30,74.83999633789062
2016-10-03,74.05999755859375
2016-10-04,71.91000366210938
2016-10-05,71.16999816894531
2016-10-06,71.19999694824219
2016-10-07,70.63999938964844
2016-10-10,71.37999725341797
2016-10-11,70.48999786376953
2016-10-12,71.29000091552734
2016-10-13,71.76000213623047
2016-10-14,71.7300033569336
2016-10-17,71.73999786376953
2016-10-18,72.41999816894531
2016-10-19,71.66000366210938
2016-10-20,71.75
2016-10-21,71.58999633789062
2016-10-24,72.08999633789062
2016-10-25,72.63999938964844
2016-10-26,72.51000213623047
2016-10-27,72.31999969482422
2016-10-28,72.52999877929688
2016-10-31,74.04000091552734
2016-11-01,73.05000305175781
2016-11-02,72.48999786376953
2016-11-03,72.08999633789062
2016-11-04,70.58999633789062
2016-11-07,71.3499984741211
2016-11-08,72.41999816894531
2016-11-09,72.25
2016-11-10,71.02999877929688
2016-11-11,71.27999877929688
2016-11-14,70.61000061035156
2016-11-15,71.62000274658203
2016-11-16,71.94999694824219
2016-11-17,71.79000091552734
2016-11-18,71.83000183105469
2016-11-21,72.44000244140625
2016-11-22,74.13999938964844
2016-11-23,72.48999786376953
2016-11-25,74.36000061035156
2016-11-28,74.9000015258789
2016-11-29,75.9800033569336
2016-11-30,72.47000122070312
2016-12-01,71.72000122070312
2016-12-02,72.5199966430664
2016-12-05,72.5199966430664
2016-12-06,72.22000122070312
2016-12-07,72.66000366210938
2016-12-08,73.05000305175781
2016-12-09,73.0199966430664
2016-12-12,73.73999786376953
2016-12-13,74.1500015258789
2016-12-14,71.94000244140625
