Date,BXP
2015-07-01,122.12999725341797
2015-07-02,121.8499984741211
2015-07-06,122.52999877929688
2015-07-07,124.95999908447266
2015-07-08,123.70999908447266
2015-07-09,123.12000274658203
2015-07-10,124.16000366210938
2015-07-13,124.73999786376953
2015-07-14,124.62999725341797
2015-07-15,124.13999938964844
2015-07-16,125.98999786376953
2015-07-17,125.56999969482422
2015-07-20,125.80000305175781
2015-07-21,125.4000015258789
2015-07-22,125.93000030517578
2015-07-23,124.54000091552734
2015-07-24,125.16000366210938
2015-07-27,125.2300033569336
2015-07-28,124.81999969482422
2015-07-29,126.31999969482422
2015-07-30,123.33999633789062
2015-07-31,123.27999877929688
2015-08-03,124.69999694824219
2015-08-04,123.02999877929688
2015-08-05,121.29000091552734
2015-08-06,120.94999694824219
2015-08-07,120.16999816894531
2015-08-10,119.73999786376953
2015-08-11,119.75
2015-08-12,119.95999908447266
2015-08-13,120.70999908447266
2015-08-14,121.91999816894531
2015-08-17,122.98999786376953
2015-08-18,122.93000030517578
2015-08-19,122.41999816894531
2015-08-20,120.8499984741211
2015-08-21,118.6500015258789
2015-08-24,112.33000183105469
2015-08-25,108.6500015258789
2015-08-26,113.80999755859375
2015-08-27,116.79000091552734
2015-08-28,116.62000274658203
2015-08-31,113.37999725341797
2015-09-01,110.66000366210938
2015-09-02,111.91000366210938
2015-09-03,111.94000244140625
2015-09-04,109.86000061035156
2015-09-08,111.70999908447266
2015-09-09,110.56999969482422
2015-09-10,111.88999938964844
2015-09-11,113.94000244140625
2015-09-14,113.27999877929688
2015-09-15,114.47000122070312
2015-09-16,117.72000122070312
2015-09-17,119.45999908447266
2015-09-18,118.6500015258789
2015-09-21,118.69000244140625
2015-09-22,116.69000244140625
2015-09-23,117.05000305175781
2015-09-24,115.94999694824219
2015-09-25,116.4800033569336
2015-09-28,114.5
2015-09-29,117.47000122070312
2015-09-30,118.4000015258789
2015-10-01,118.62000274658203
2015-10-02,119.47000122070312
2015-10-05,120.62000274658203
2015-10-06,120.31999969482422
2015-10-07,121.25
2015-10-08,121.88999938964844
2015-10-09,121.6500015258789
2015-10-12,122.56999969482422
2015-10-13,120.5199966430664
2015-10-14,119.91000366210938
2015-10-15,120.7699966430664
2015-10-16,122.61000061035156
2015-10-19,124.0999984741211
2015-10-20,122.9800033569336
2015-10-21,122.36000061035156
2015-10-22,123.75
2015-10-23,121.87000274658203
2015-10-26,120.94000244140625
2015-10-27,121.87999725341797
2015-10-28,122.19999694824219
2015-10-29,122.77999877929688
2015-10-30,125.8499984741211
2015-11-02,129.77000427246094
2015-11-03,128.58999633789062
2015-11-04,127.12000274658203
2015-11-05,127.91000366210938
2015-11-06,124.19000244140625
2015-11-09,122.68000030517578
2015-11-10,124.0
2015-11-11,124.33999633789062
2015-11-12,123.20999908447266
2015-11-13,122.86000061035156
2015-11-16,123.77999877929688
2015-11-17,123.43000030517578
2015-11-18,124.13999938964844
2015-11-19,124.33999633789062
2015-11-20,126.5199966430664
2015-11-23,125.97000122070312
2015-11-24,124.66999816894531
2015-11-25,124.7699966430664
2015-11-27,125.81999969482422
2015-11-30,124.98999786376953
2015-12-01,126.66999816894531
2015-12-02,123.4800033569336
2015-12-03,122.37999725341797
2015-12-04,124.83999633789062
2015-12-07,125.0
2015-12-08,124.86000061035156
2015-12-09,123.51000213623047
2015-12-10,122.91999816894531
2015-12-11,123.26000213623047
2015-12-14,125.33999633789062
2015-12-15,127.01000213623047
2015-12-16,130.14999389648438
2015-12-17,130.02000427246094
2015-12-18,127.08000183105469
2015-12-21,127.06999969482422
2015-12-22,127.23999786376953
2015-12-23,128.9499969482422
2015-12-24,129.00999450683594
2015-12-28,129.6199951171875
2015-12-29,129.82000732421875
2015-12-30,128.60000610351562
2015-12-31,127.54000091552734
2016-01-04,124.19999694824219
2016-01-05,127.26000213623047
2016-01-06,127.23999786376953
2016-01-07,124.9800033569336
2016-01-08,121.4800033569336
2016-01-11,122.68000030517578
2016-01-12,121.01000213623047
2016-01-13,118.7300033569336
2016-01-14,119.87000274658203
2016-01-15,118.44999694824219
2016-01-19,119.33000183105469
2016-01-20,115.8499984741211
2016-01-21,116.04000091552734
2016-01-22,119.19999694824219
2016-01-25,117.80999755859375
2016-01-26,120.3499984741211
2016-01-27,119.13999938964844
2016-01-28,115.44000244140625
2016-01-29,116.20999908447266
2016-02-01,116.30999755859375
2016-02-02,114.81999969482422
2016-02-03,114.69999694824219
2016-02-04,117.25
2016-02-05,115.08999633789062
2016-02-08,111.13999938964844
2016-02-09,108.97000122070312
2016-02-10,111.19000244140625
2016-02-11,108.18000030517578
2016-02-12,108.61000061035156
2016-02-16,110.29000091552734
2016-02-17,111.97000122070312
2016-02-18,111.62000274658203
2016-02-19,112.4000015258789
2016-02-22,114.76000213623047
2016-02-23,114.3499984741211
2016-02-24,113.72000122070312
2016-02-25,115.18000030517578
2016-02-26,113.9000015258789
2016-02-29,114.13999938964844
2016-03-01,118.05999755859375
2016-03-02,118.02999877929688
2016-03-03,118.4000015258789
2016-03-04,118.58000183105469
2016-03-07,118.6500015258789
2016-03-08,117.0999984741211
2016-03-09,117.33999633789062
2016-03-10,117.12000274658203
2016-03-11,122.69999694824219
2016-03-14,122.72000122070312
2016-03-15,123.37000274658203
2016-03-16,125.37000274658203
2016-03-17,127.0
2016-03-18,126.66000366210938
2016-03-21,125.94999694824219
2016-03-22,125.31999969482422
2016-03-23,124.25
2016-03-24,123.87000274658203
2016-03-28,124.93000030517578
2016-03-29,126.7699966430664
2016-03-30,126.72000122070312
2016-03-31,127.08000183105469
2016-04-01,127.29000091552734
2016-04-04,127.5
2016-04-05,127.02999877929688
2016-04-06,127.9000015258789
2016-04-07,126.20999908447266
2016-04-08,127.12000274658203
2016-04-11,126.9000015258789
2016-04-12,129.1999969482422
2016-04-13,128.35000610351562
2016-04-14,128.32000732421875
2016-04-15,129.5800018310547
2016-04-18,130.00999450683594
2016-04-19,131.13999938964844
2016-04-20,128.67999267578125
2016-04-21,127.9000015258789
2016-04-22,129.39999389648438
2016-04-25,130.0
2016-04-26,130.5500030517578
2016-04-27,130.60000610351562
2016-04-28,129.64999389648438
2016-04-29,128.86000061035156
2016-05-02,131.11000061035156
2016-05-03,129.94000244140625
2016-05-04,130.5800018310547
2016-05-05,130.86000061035156
2016-05-06,130.89999389648438
2016-05-09,132.27000427246094
2016-05-10,133.1300048828125
2016-05-11,130.89999389648438
2016-05-12,131.3800048828125
2016-05-13,130.05999755859375
2016-05-16,130.80999755859375
2016-05-17,130.38999938964844
2016-05-18,127.25
2016-05-19,123.70999908447266
2016-05-20,124.38999938964844
2016-05-23,124.44000244140625
2016-05-24,125.86000061035156
2016-05-25,125.26000213623047
2016-05-26,124.80000305175781
2016-05-27,125.41000366210938
2016-05-31,125.62999725341797
2016-06-01,127.11000061035156
2016-06-02,127.26000213623047
2016-06-03,127.77999877929688
2016-06-06,127.05999755859375
2016-06-07,127.88999938964844
2016-06-08,128.07000732421875
2016-06-09,128.97999572753906
2016-06-10,128.22999572753906
2016-06-13,127.12000274658203
2016-06-14,126.22000122070312
2016-06-15,126.69000244140625
2016-06-16,126.55999755859375
2016-06-17,126.69000244140625
2016-06-20,126.8499984741211
2016-06-21,127.58999633789062
2016-06-22,128.1699981689453
2016-06-23,129.97999572753906
2016-06-24,128.02999877929688
2016-06-27,126.5
2016-06-28,128.92999267578125
