Date,STZ
2015-07-01,116.0
2015-07-02,117.08999633789062
2015-07-06,116.22000122070312
2015-07-07,117.5
2015-07-08,115.87999725341797
2015-07-09,115.54000091552734
2015-07-10,116.04000091552734
2015-07-13,117.04000091552734
2015-07-14,117.6500015258789
2015-07-15,116.44000244140625
2015-07-16,117.54000091552734
2015-07-17,117.77999877929688
2015-07-20,117.91999816894531
2015-07-21,116.98999786376953
2015-07-22,119.37000274658203
2015-07-23,117.55999755859375
2015-07-24,116.43000030517578
2015-07-27,117.33999633789062
2015-07-28,117.73999786376953
2015-07-29,118.62999725341797
2015-07-30,119.0
2015-07-31,120.0199966430664
2015-08-03,121.02999877929688
2015-08-04,121.23999786376953
2015-08-05,123.3499984741211
2015-08-06,124.18000030517578
2015-08-07,123.52999877929688
2015-08-10,123.98999786376953
2015-08-11,125.06999969482422
2015-08-12,125.25
2015-08-13,127.52999877929688
2015-08-14,128.00999450683594
2015-08-17,128.50999450683594
2015-08-18,129.6999969482422
2015-08-19,129.72999572753906
2015-08-20,128.6699981689453
2015-08-21,123.11000061035156
2015-08-24,119.27999877929688
2015-08-25,120.01000213623047
2015-08-26,124.87999725341797
2015-08-27,127.04000091552734
2015-08-28,127.94000244140625
2015-08-31,128.0
2015-09-01,127.72000122070312
2015-09-02,129.0
2015-09-03,129.0
2015-09-04,127.5199966430664
2015-09-08,129.16000366210938
2015-09-09,125.91000366210938
2015-09-10,127.41000366210938
2015-09-11,127.41000366210938
2015-09-14,127.9000015258789
2015-09-15,128.5399932861328
2015-09-16,131.16000366210938
2015-09-17,130.41000366210938
2015-09-18,127.3499984741211
2015-09-21,128.22000122070312
2015-09-22,127.23999786376953
2015-09-23,128.0500030517578
2015-09-24,127.12000274658203
2015-09-25,129.82000732421875
2015-09-28,125.93000030517578
2015-09-29,123.5
2015-09-30,125.20999908447266
2015-10-01,127.69999694824219
2015-10-02,129.1199951171875
2015-10-05,132.24000549316406
2015-10-06,131.32000732421875
2015-10-07,134.57000732421875
2015-10-08,136.69000244140625
2015-10-09,136.88999938964844
2015-10-12,137.07000732421875
2015-10-13,135.02000427246094
2015-10-14,133.69000244140625
2015-10-15,134.92999267578125
2015-10-16,135.08999633789062
2015-10-19,135.17999267578125
2015-10-20,135.89999389648438
2015-10-21,136.30999755859375
2015-10-22,137.80999755859375
2015-10-23,136.1999969482422
2015-10-26,136.0
2015-10-27,135.67999267578125
2015-10-28,135.61000061035156
2015-10-29,135.11000061035156
2015-10-30,134.8000030517578
2015-11-02,135.0800018310547
2015-11-03,134.41000366210938
2015-11-04,133.1999969482422
2015-11-05,133.25999450683594
2015-11-06,132.11000061035156
2015-11-09,132.27000427246094
2015-11-10,134.77999877929688
2015-11-11,134.97999572753906
2015-11-12,133.3800048828125
2015-11-13,132.1999969482422
2015-11-16,135.25999450683594
2015-11-17,138.11000061035156
2015-11-18,138.2899932861328
2015-11-19,137.4600067138672
2015-11-20,137.6199951171875
2015-11-23,142.0800018310547
2015-11-24,141.33999633789062
2015-11-25,143.19000244140625
2015-11-27,143.7899932861328
2015-11-30,140.25999450683594
2015-12-01,142.85000610351562
2015-12-02,141.83999633789062
2015-12-03,140.5
2015-12-04,144.6699981689453
2015-12-07,141.8000030517578
2015-12-08,142.99000549316406
2015-12-09,140.17999267578125
2015-12-10,139.97999572753906
2015-12-11,138.3000030517578
2015-12-14,137.69000244140625
2015-12-15,139.27999877929688
2015-12-16,142.9600067138672
2015-12-17,139.88999938964844
2015-12-18,138.57000732421875
2015-12-21,141.39999389648438
2015-12-22,142.6300048828125
2015-12-23,143.69000244140625
2015-12-24,143.02999877929688
2015-12-28,143.27000427246094
2015-12-29,144.25
2015-12-30,144.1699981689453
2015-12-31,142.44000244140625
2016-01-04,140.69000244140625
2016-01-05,143.6199951171875
2016-01-06,143.1199951171875
2016-01-07,149.61000061035156
2016-01-08,147.0
2016-01-11,147.0500030517578
2016-01-12,147.0399932861328
2016-01-13,144.1300048828125
2016-01-14,143.25
2016-01-15,142.75
2016-01-19,145.6199951171875
2016-01-20,145.13999938964844
2016-01-21,143.4499969482422
2016-01-22,148.75999450683594
2016-01-25,148.25
2016-01-26,148.3800048828125
2016-01-27,146.11000061035156
2016-01-28,151.82000732421875
2016-01-29,152.47999572753906
2016-02-01,154.36000061035156
2016-02-02,152.50999450683594
2016-02-03,150.39999389648438
2016-02-04,146.9499969482422
2016-02-05,137.9499969482422
2016-02-08,134.9499969482422
2016-02-09,136.08999633789062
2016-02-10,138.8000030517578
2016-02-11,135.61000061035156
2016-02-12,138.02999877929688
2016-02-16,139.2899932861328
2016-02-17,142.00999450683594
2016-02-18,140.3300018310547
2016-02-19,139.50999450683594
2016-02-22,140.60000610351562
2016-02-23,139.47000122070312
2016-02-24,139.0800018310547
2016-02-25,143.63999938964844
2016-02-26,142.0500030517578
2016-02-29,141.42999267578125
2016-03-01,144.52000427246094
2016-03-02,143.77999877929688
2016-03-03,144.4499969482422
2016-03-04,143.89999389648438
2016-03-07,138.7100067138672
2016-03-08,139.97000122070312
2016-03-09,140.27999877929688
2016-03-10,140.5
2016-03-11,142.05999755859375
2016-03-14,141.89999389648438
2016-03-15,144.1300048828125
2016-03-16,144.5399932861328
2016-03-17,146.83999633789062
2016-03-18,147.0399932861328
2016-03-21,147.1999969482422
2016-03-22,149.4199981689453
2016-03-23,150.11000061035156
2016-03-24,149.89999389648438
2016-03-28,149.41000366210938
2016-03-29,149.7100067138672
2016-03-30,151.60000610351562
2016-03-31,151.08999633789062
2016-04-01,152.67999267578125
2016-04-04,151.47000122070312
2016-04-05,151.36000061035156
2016-04-06,160.33999633789062
2016-04-07,157.3699951171875
2016-04-08,159.00999450683594
2016-04-11,157.47000122070312
2016-04-12,156.9499969482422
2016-04-13,156.0500030517578
2016-04-14,156.83999633789062
2016-04-15,156.7100067138672
2016-04-18,158.0500030517578
2016-04-19,157.3000030517578
2016-04-20,156.00999450683594
2016-04-21,155.16000366210938
2016-04-22,154.85000610351562
2016-04-25,156.83999633789062
2016-04-26,156.25
2016-04-27,156.63999938964844
2016-04-28,155.5800018310547
2016-04-29,156.05999755859375
2016-05-02,157.77000427246094
2016-05-03,158.49000549316406
2016-05-04,158.8300018310547
2016-05-05,159.19000244140625
2016-05-06,159.58999633789062
2016-05-09,161.11000061035156
2016-05-10,163.52000427246094
