Date,AVB
2019-01-18,184.08999633789062
2019-01-22,184.02999877929688
2019-01-23,184.94000244140625
2019-01-24,184.9499969482422
2019-01-25,186.64999389648438
2019-01-28,188.83999633789062
2019-01-29,190.72999572753906
2019-01-30,191.22999572753906
2019-01-31,192.9199981689453
2019-02-01,190.1999969482422
2019-02-04,192.33999633789062
2019-02-05,194.5
2019-02-06,193.9600067138672
2019-02-07,195.27999877929688
2019-02-08,194.5
2019-02-11,195.0500030517578
2019-02-12,193.4600067138672
2019-02-13,196.07000732421875
2019-02-14,195.72000122070312
2019-02-15,196.07000732421875
2019-02-19,196.4499969482422
2019-02-20,194.10000610351562
2019-02-21,195.91000366210938
2019-02-22,196.0399932861328
2019-02-25,194.6199951171875
2019-02-26,194.92999267578125
2019-02-27,194.27000427246094
2019-02-28,194.6300048828125
2019-03-01,194.25
2019-03-04,195.6699981689453
2019-03-05,196.44000244140625
2019-03-06,195.47000122070312
2019-03-07,195.5
2019-03-08,196.44000244140625
2019-03-11,197.44000244140625
2019-03-12,198.86000061035156
2019-03-13,199.3699951171875
2019-03-14,200.07000732421875
2019-03-15,198.97000122070312
2019-03-18,197.1999969482422
2019-03-19,196.4199981689453
2019-03-20,196.66000366210938
2019-03-21,198.67999267578125
2019-03-22,199.58999633789062
2019-03-25,199.1699981689453
2019-03-26,200.8699951171875
2019-03-27,200.85000610351562
2019-03-28,200.9199981689453
2019-03-29,200.72999572753906
2019-04-01,200.67999267578125
2019-04-02,202.2100067138672
2019-04-03,202.36000061035156
2019-04-04,201.72999572753906
2019-04-05,202.17999267578125
2019-04-08,201.50999450683594
2019-04-09,200.60000610351562
2019-04-10,202.1999969482422
2019-04-11,203.14999389648438
2019-04-12,204.0800018310547
2019-04-15,204.1300048828125
2019-04-16,197.94000244140625
2019-04-17,193.8300018310547
2019-04-18,196.14999389648438
2019-04-22,193.64999389648438
2019-04-23,196.25999450683594
2019-04-24,198.16000366210938
2019-04-25,199.9499969482422
2019-04-26,200.52000427246094
2019-04-29,198.00999450683594
2019-04-30,200.92999267578125
2019-05-01,201.16000366210938
2019-05-02,201.44000244140625
2019-05-03,202.16000366210938
2019-05-06,200.57000732421875
2019-05-07,196.7899932861328
2019-05-08,196.4499969482422
2019-05-09,198.52999877929688
2019-05-10,200.7100067138672
2019-05-13,200.63999938964844
2019-05-14,199.75
2019-05-15,200.6999969482422
2019-05-16,202.75999450683594
2019-05-17,203.13999938964844
2019-05-20,200.5500030517578
2019-05-21,202.2100067138672
2019-05-22,203.30999755859375
2019-05-23,203.74000549316406
2019-05-24,205.27999877929688
2019-05-28,202.7100067138672
2019-05-29,201.30999755859375
2019-05-30,201.38999938964844
2019-05-31,203.00999450683594
2019-06-03,203.83999633789062
2019-06-04,202.0
2019-06-05,207.75999450683594
2019-06-06,208.74000549316406
2019-06-07,209.05999755859375
2019-06-10,209.36000061035156
2019-06-11,209.33999633789062
2019-06-12,207.19000244140625
2019-06-13,207.08999633789062
2019-06-14,208.08999633789062
2019-06-17,209.6300048828125
2019-06-18,208.6199951171875
2019-06-19,209.19000244140625
2019-06-20,210.47000122070312
2019-06-21,207.8000030517578
2019-06-24,208.13999938964844
2019-06-25,204.41000366210938
2019-06-26,201.27999877929688
2019-06-27,201.44000244140625
2019-06-28,203.17999267578125
2019-07-01,202.30999755859375
2019-07-02,205.55999755859375
2019-07-03,209.3300018310547
2019-07-05,207.8699951171875
2019-07-08,210.11000061035156
2019-07-09,211.50999450683594
2019-07-10,213.77000427246094
2019-07-11,211.39999389648438
2019-07-12,210.47999572753906
2019-07-15,211.2899932861328
2019-07-16,211.00999450683594
2019-07-17,210.97000122070312
2019-07-18,210.19000244140625
2019-07-19,206.8300018310547
2019-07-22,205.14999389648438
2019-07-23,206.83999633789062
2019-07-24,206.85000610351562
2019-07-25,206.85000610351562
2019-07-26,208.3800048828125
2019-07-29,210.44000244140625
2019-07-30,210.86000061035156
2019-07-31,208.7899932861328
2019-08-01,203.13999938964844
2019-08-02,205.75999450683594
2019-08-05,200.6199951171875
2019-08-06,203.08999633789062
2019-08-07,204.27000427246094
2019-08-08,206.52000427246094
2019-08-09,206.00999450683594
2019-08-12,205.55999755859375
2019-08-13,204.1999969482422
2019-08-14,201.58999633789062
2019-08-15,204.4199981689453
2019-08-16,205.83999633789062
2019-08-19,207.7100067138672
2019-08-20,206.5399932861328
2019-08-21,207.9499969482422
2019-08-22,208.8800048828125
2019-08-23,206.16000366210938
2019-08-26,208.7100067138672
2019-08-27,208.0800018310547
2019-08-28,209.4499969482422
2019-08-29,211.97000122070312
2019-08-30,212.55999755859375
2019-09-03,214.08999633789062
2019-09-04,216.16000366210938
2019-09-05,214.7100067138672
2019-09-06,215.75
2019-09-09,213.8800048828125
2019-09-10,210.25
2019-09-11,209.72000122070312
2019-09-12,209.52999877929688
2019-09-13,207.11000061035156
2019-09-16,209.89999389648438
2019-09-17,211.50999450683594
2019-09-18,211.30999755859375
2019-09-19,210.75999450683594
2019-09-20,209.05999755859375
2019-09-23,210.44000244140625
2019-09-24,211.3699951171875
2019-09-25,212.74000549316406
2019-09-26,215.5800018310547
2019-09-27,214.27000427246094
2019-09-30,215.3300018310547
2019-10-01,214.0
2019-10-02,215.0
2019-10-03,217.97000122070312
2019-10-04,219.0
2019-10-07,219.1999969482422
2019-10-08,217.72999572753906
2019-10-09,218.75
2019-10-10,218.67999267578125
2019-10-11,218.0800018310547
2019-10-14,218.0800018310547
2019-10-15,217.3699951171875
2019-10-16,219.2100067138672
2019-10-17,219.0800018310547
2019-10-18,220.1699981689453
2019-10-21,222.0399932861328
2019-10-22,221.8300018310547
2019-10-23,221.52999877929688
2019-10-24,220.24000549316406
2019-10-25,219.41000366210938
2019-10-28,216.99000549316406
2019-10-29,215.30999755859375
2019-10-30,218.97999572753906
2019-10-31,217.66000366210938
2019-11-01,217.24000549316406
2019-11-04,214.24000549316406
2019-11-05,210.66000366210938
