Date,TPL
2024-07-01,241.6199951171875
2024-07-02,245.0
2024-07-03,249.26666259765625
2024-07-05,249.17999267578125
2024-07-08,250.49667358398438
2024-07-09,250.0
2024-07-10,258.9866638183594
2024-07-11,261.7033386230469
2024-07-12,267.086669921875
2024-07-15,274.25665283203125
2024-07-16,274.69000244140625
2024-07-17,272.8399963378906
2024-07-18,272.32000732421875
2024-07-19,271.49334716796875
2024-07-22,269.1300048828125
2024-07-23,266.6499938964844
2024-07-24,264.489990234375
2024-07-25,269.1866760253906
2024-07-26,272.95001220703125
2024-07-29,272.30999755859375
2024-07-30,275.4433288574219
2024-07-31,281.6333312988281
2024-08-01,274.336669921875
2024-08-02,260.92999267578125
2024-08-05,252.01666259765625
2024-08-06,257.6400146484375
2024-08-07,257.663330078125
2024-08-08,275.9266662597656
2024-08-09,274.19000244140625
2024-08-12,277.57000732421875
2024-08-13,273.1933288574219
2024-08-14,273.1000061035156
2024-08-15,276.2733459472656
2024-08-16,273.8299865722656
2024-08-19,280.76666259765625
2024-08-20,272.5033264160156
2024-08-21,275.1199951171875
2024-08-22,276.6433410644531
2024-08-23,286.336669921875
2024-08-26,287.32666015625
2024-08-27,286.1066589355469
2024-08-28,291.0033264160156
2024-08-29,290.25665283203125
2024-08-30,289.6300048828125
2024-09-03,271.67999267578125
2024-09-04,267.9200134277344
2024-09-05,264.24334716796875
2024-09-06,266.1700134277344
2024-09-09,263.8399963378906
2024-09-10,262.54998779296875
2024-09-11,263.0833435058594
2024-09-12,264.89666748046875
2024-09-13,269.663330078125
2024-09-16,279.53668212890625
2024-09-17,291.1700134277344
2024-09-18,293.9333190917969
2024-09-19,305.2200012207031
2024-09-20,312.09332275390625
2024-09-23,317.3766784667969
2024-09-24,313.5333251953125
2024-09-25,309.24334716796875
2024-09-26,291.29998779296875
2024-09-27,295.6933288574219
2024-09-30,294.913330078125
2024-10-01,304.7799987792969
2024-10-02,310.0033264160156
2024-10-03,323.4866638183594
2024-10-04,327.1233215332031
2024-10-07,328.5233459472656
2024-10-08,323.6199951171875
2024-10-09,326.7166748046875
2024-10-10,334.0666809082031
2024-10-11,352.8066711425781
2024-10-14,355.39666748046875
2024-10-15,345.5566711425781
2024-10-16,349.32000732421875
2024-10-17,355.3399963378906
2024-10-18,352.84332275390625
2024-10-21,358.19000244140625
2024-10-22,363.9100036621094
2024-10-23,361.4200134277344
2024-10-24,363.3233337402344
2024-10-25,366.0033264160156
2024-10-28,363.4366760253906
2024-10-29,369.6333312988281
2024-10-30,384.5433349609375
2024-10-31,388.6666564941406
2024-11-01,390.8733215332031
2024-11-04,402.52667236328125
2024-11-05,414.3833312988281
2024-11-06,443.2066650390625
2024-11-07,445.10333251953125
2024-11-08,458.0199890136719
2024-11-11,466.6266784667969
2024-11-12,468.9200134277344
2024-11-13,455.47332763671875
2024-11-14,453.73333740234375
2024-11-15,453.3133239746094
2024-11-18,466.25
2024-11-19,473.3766784667969
2024-11-20,483.5666809082031
2024-11-21,505.1766662597656
2024-11-22,576.6666870117188
2024-11-25,538.0
2024-11-26,523.92333984375
2024-11-27,545.5633544921875
2024-11-29,533.3633422851562
2024-12-02,500.1166687011719
2024-12-03,523.3099975585938
2024-12-04,462.6400146484375
2024-12-05,448.8800048828125
2024-12-06,446.14666748046875
2024-12-09,442.3466796875
2024-12-10,432.0299987792969
2024-12-11,402.3333435058594
2024-12-12,398.9533386230469
2024-12-13,399.65667724609375
