Date,VTRS
2020-07-01,15.760000228881836
2020-07-02,15.930000305175781
2020-07-06,16.540000915527344
2020-07-07,16.110000610351562
2020-07-08,16.190000534057617
2020-07-09,15.880000114440918
2020-07-10,16.100000381469727
2020-07-13,16.1299991607666
2020-07-14,16.520000457763672
2020-07-15,16.979999542236328
2020-07-16,16.84000015258789
2020-07-17,16.809999465942383
2020-07-20,16.649999618530273
2020-07-21,16.3700008392334
2020-07-22,16.56999969482422
2020-07-23,16.079999923706055
2020-07-24,15.960000038146973
2020-07-27,16.219999313354492
2020-07-28,16.15999984741211
2020-07-29,17.0
2020-07-30,16.329999923706055
2020-07-31,16.110000610351562
2020-08-03,16.360000610351562
2020-08-04,16.31999969482422
2020-08-05,16.899999618530273
2020-08-06,16.420000076293945
2020-08-07,16.360000610351562
2020-08-10,16.360000610351562
2020-08-11,16.639999389648438
2020-08-12,16.18000030517578
2020-08-13,16.139999389648438
2020-08-14,16.190000534057617
2020-08-17,16.25
2020-08-18,16.190000534057617
2020-08-19,16.510000228881836
2020-08-20,16.34000015258789
2020-08-21,15.989999771118164
2020-08-24,16.329999923706055
2020-08-25,16.030000686645508
2020-08-26,16.309999465942383
2020-08-27,16.18000030517578
2020-08-28,16.229999542236328
2020-08-31,16.3799991607666
2020-09-01,15.5
2020-09-02,15.710000038146973
2020-09-03,15.460000038146973
2020-09-04,15.8100004196167
2020-09-08,15.640000343322754
2020-09-09,15.25
2020-09-10,15.0600004196167
2020-09-11,15.329999923706055
2020-09-14,15.770000457763672
2020-09-15,15.949999809265137
2020-09-16,16.0
2020-09-17,16.15999984741211
2020-09-18,15.729999542236328
2020-09-21,14.779999732971191
2020-09-22,14.819999694824219
2020-09-23,14.369999885559082
2020-09-24,14.210000038146973
2020-09-25,14.420000076293945
2020-09-28,14.640000343322754
2020-09-29,14.569999694824219
2020-09-30,14.829999923706055
2020-10-01,14.800000190734863
2020-10-02,14.890000343322754
2020-10-05,15.09000015258789
2020-10-06,14.869999885559082
2020-10-07,14.90999984741211
2020-10-08,15.720000267028809
2020-10-09,15.640000343322754
2020-10-12,15.979999542236328
2020-10-13,15.59000015258789
2020-10-14,15.550000190734863
2020-10-15,15.739999771118164
2020-10-16,15.710000038146973
2020-10-19,15.420000076293945
2020-10-20,15.3100004196167
2020-10-21,15.140000343322754
2020-10-22,15.600000381469727
2020-10-23,15.6899995803833
2020-10-26,15.050000190734863
2020-10-27,14.460000038146973
2020-10-28,14.300000190734863
2020-10-29,14.369999885559082
2020-10-30,14.539999961853027
2020-11-02,15.140000343322754
2020-11-03,15.140000343322754
2020-11-04,15.079999923706055
2020-11-05,15.140000343322754
2020-11-06,14.649999618530273
2020-11-09,15.119999885559082
2020-11-10,15.640000343322754
2020-11-11,15.699999809265137
2020-11-12,15.510000228881836
2020-11-13,15.550000190734863
2020-11-16,15.859999656677246
2020-11-17,16.34000015258789
2020-11-18,16.190000534057617
2020-11-19,18.110000610351562
2020-11-20,17.1299991607666
2020-11-23,16.770000457763672
2020-11-24,16.899999618530273
2020-11-25,17.06999969482422
2020-11-27,17.049999237060547
2020-11-30,16.81999969482422
2020-12-01,17.010000228881836
2020-12-02,17.1299991607666
2020-12-03,17.3700008392334
2020-12-04,17.600000381469727
2020-12-07,17.56999969482422
2020-12-08,17.84000015258789
2020-12-09,17.520000457763672
2020-12-10,17.690000534057617
2020-12-11,17.34000015258789
2020-12-14,17.329999923706055
2020-12-15,17.729999542236328
2020-12-16,17.860000610351562
2020-12-17,17.719999313354492
2020-12-18,17.75
2020-12-21,17.389999389648438
2020-12-22,17.739999771118164
2020-12-23,17.8799991607666
2020-12-24,17.770000457763672
2020-12-28,17.739999771118164
2020-12-29,17.75
2020-12-30,18.1299991607666
2020-12-31,18.739999771118164
2021-01-04,18.540000915527344
2021-01-05,18.100000381469727
2021-01-06,18.489999771118164
2021-01-07,18.520000457763672
2021-01-08,18.299999237060547
2021-01-11,18.469999313354492
2021-01-12,18.239999771118164
2021-01-13,18.399999618530273
2021-01-14,17.309999465942383
2021-01-15,17.049999237060547
2021-01-19,17.440000534057617
2021-01-20,17.690000534057617
2021-01-21,17.309999465942383
2021-01-22,17.43000030517578
2021-01-25,17.229999542236328
2021-01-26,17.09000015258789
2021-01-27,16.860000610351562
2021-01-28,17.190000534057617
2021-01-29,16.989999771118164
2021-02-01,17.450000762939453
2021-02-02,17.3799991607666
2021-02-03,18.09000015258789
2021-02-04,18.0
2021-02-05,17.899999618530273
2021-02-08,18.0
2021-02-09,18.469999313354492
2021-02-10,18.389999389648438
2021-02-11,18.239999771118164
2021-02-12,18.239999771118164
2021-02-16,18.34000015258789
2021-02-17,18.520000457763672
2021-02-18,18.270000457763672
2021-02-19,18.209999084472656
2021-02-22,15.5
2021-02-23,15.220000267028809
2021-02-24,15.300000190734863
2021-02-25,15.050000190734863
2021-02-26,14.850000381469727
2021-03-01,14.720000267028809
2021-03-02,14.289999961853027
2021-03-03,13.880000114440918
2021-03-04,13.59000015258789
2021-03-05,13.90999984741211
2021-03-08,13.829999923706055
2021-03-09,13.90999984741211
2021-03-10,14.0600004196167
2021-03-11,14.100000381469727
2021-03-12,14.359999656677246
2021-03-15,14.670000076293945
2021-03-16,14.529999732971191
2021-03-17,15.079999923706055
2021-03-18,14.59000015258789
2021-03-19,14.779999732971191
2021-03-22,14.789999961853027
2021-03-23,14.170000076293945
2021-03-24,14.010000228881836
2021-03-25,14.020000457763672
2021-03-26,14.359999656677246
2021-03-29,14.319999694824219
2021-03-30,14.149999618530273
2021-03-31,13.970000267028809
2021-04-01,13.899999618530273
2021-04-05,14.050000190734863
2021-04-06,13.829999923706055
2021-04-07,13.390000343322754
2021-04-08,13.289999961853027
2021-04-09,13.399999618530273
2021-04-12,13.260000228881836
2021-04-13,12.970000267028809
2021-04-14,13.210000038146973
2021-04-15,13.279999732971191
2021-04-16,13.399999618530273
2021-04-19,13.25
2021-04-20,13.109999656677246
2021-04-21,13.300000190734863
2021-04-22,13.359999656677246
2021-04-23,13.359999656677246
2021-04-26,13.550000190734863
2021-04-27,13.279999732971191
2021-04-28,13.460000038146973
