Date,CL
2015-07-01,66.16000366210938
2015-07-02,66.16000366210938
2015-07-06,65.95999908447266
2015-07-07,67.30999755859375
2015-07-08,66.44999694824219
2015-07-09,66.16999816894531
2015-07-10,66.63999938964844
2015-07-13,67.44000244140625
2015-07-14,67.2699966430664
2015-07-15,66.91000366210938
2015-07-16,67.62000274658203
2015-07-17,67.5
2015-07-20,67.80000305175781
2015-07-21,66.94000244140625
2015-07-22,67.0
2015-07-23,67.04000091552734
2015-07-24,67.0
2015-07-27,67.30000305175781
2015-07-28,68.38999938964844
2015-07-29,68.93000030517578
2015-07-30,68.0199966430664
2015-07-31,68.0199966430664
2015-08-03,68.41999816894531
2015-08-04,68.44999694824219
2015-08-05,69.08000183105469
2015-08-06,68.6500015258789
2015-08-07,68.48999786376953
2015-08-10,68.73999786376953
2015-08-11,68.26000213623047
2015-08-12,68.0
2015-08-13,67.66000366210938
2015-08-14,67.79000091552734
2015-08-17,67.66000366210938
2015-08-18,67.69000244140625
2015-08-19,66.73999786376953
2015-08-20,65.98999786376953
2015-08-21,64.9800033569336
2015-08-24,61.95000076293945
2015-08-25,60.369998931884766
2015-08-26,62.22999954223633
2015-08-27,63.09000015258789
2015-08-28,63.349998474121094
2015-08-31,62.810001373291016
2015-09-01,61.27000045776367
2015-09-02,62.18000030517578
2015-09-03,62.91999816894531
2015-09-04,61.459999084472656
2015-09-08,63.43000030517578
2015-09-09,62.38999938964844
2015-09-10,61.93000030517578
2015-09-11,61.91999816894531
2015-09-14,62.11000061035156
2015-09-15,62.43000030517578
2015-09-16,63.06999969482422
2015-09-17,63.27000045776367
2015-09-18,62.689998626708984
2015-09-21,63.099998474121094
2015-09-22,62.15999984741211
2015-09-23,62.099998474121094
2015-09-24,62.25
2015-09-25,63.13999938964844
2015-09-28,62.15999984741211
2015-09-29,63.06999969482422
2015-09-30,63.459999084472656
2015-10-01,63.720001220703125
2015-10-02,64.27999877929688
2015-10-05,65.3499984741211
2015-10-06,64.79000091552734
2015-10-07,65.3499984741211
2015-10-08,65.9000015258789
2015-10-09,66.33999633789062
2015-10-12,66.25
2015-10-13,65.97000122070312
2015-10-14,65.75
2015-10-15,66.56999969482422
2015-10-16,67.12000274658203
2015-10-19,67.25
2015-10-20,67.05999755859375
2015-10-21,66.83000183105469
2015-10-22,68.63999938964844
2015-10-23,68.94000244140625
2015-10-26,68.72000122070312
2015-10-27,68.94999694824219
2015-10-28,68.83000183105469
2015-10-29,69.2300033569336
2015-10-30,66.3499984741211
2015-11-02,67.48999786376953
2015-11-03,68.0
2015-11-04,67.4800033569336
2015-11-05,67.5999984741211
2015-11-06,65.81999969482422
2015-11-09,65.7699966430664
2015-11-10,66.37999725341797
2015-11-11,66.44999694824219
2015-11-12,65.2699966430664
2015-11-13,64.55999755859375
2015-11-16,65.56999969482422
2015-11-17,65.31999969482422
2015-11-18,66.05999755859375
2015-11-19,66.37999725341797
2015-11-20,66.0999984741211
2015-11-23,66.88999938964844
2015-11-24,66.81999969482422
2015-11-25,66.43000030517578
2015-11-27,66.55999755859375
2015-11-30,65.68000030517578
2015-12-01,65.83000183105469
2015-12-02,65.68000030517578
2015-12-03,65.58000183105469
2015-12-04,66.33999633789062
2015-12-07,66.33999633789062
2015-12-08,66.18000030517578
2015-12-09,66.08000183105469
2015-12-10,66.12999725341797
2015-12-11,65.20999908447266
2015-12-14,65.8499984741211
2015-12-15,66.76000213623047
2015-12-16,68.33000183105469
2015-12-17,67.33000183105469
2015-12-18,65.56999969482422
2015-12-21,65.9800033569336
2015-12-22,66.58000183105469
2015-12-23,67.16000366210938
2015-12-24,66.98999786376953
2015-12-28,66.88999938964844
2015-12-29,67.6500015258789
2015-12-30,67.52999877929688
2015-12-31,66.62000274658203
2016-01-04,64.70999908447266
2016-01-05,65.0
2016-01-06,64.13999938964844
2016-01-07,63.0099983215332
2016-01-08,62.54999923706055
2016-01-11,62.810001373291016
2016-01-12,63.380001068115234
2016-01-13,62.90999984741211
2016-01-14,63.529998779296875
2016-01-15,63.349998474121094
2016-01-19,64.29000091552734
2016-01-20,62.45000076293945
2016-01-21,63.650001525878906
2016-01-22,64.61000061035156
2016-01-25,63.93000030517578
2016-01-26,64.33000183105469
2016-01-27,64.30000305175781
2016-01-28,65.0199966430664
2016-01-29,67.52999877929688
2016-02-01,66.19999694824219
2016-02-02,65.36000061035156
2016-02-03,66.02999877929688
2016-02-04,65.98999786376953
2016-02-05,66.19000244140625
2016-02-08,66.06999969482422
2016-02-09,65.87999725341797
2016-02-10,65.80999755859375
2016-02-11,64.44000244140625
2016-02-12,65.69999694824219
2016-02-16,65.80999755859375
2016-02-17,67.05999755859375
2016-02-18,67.22000122070312
2016-02-19,67.45999908447266
2016-02-22,67.61000061035156
2016-02-23,67.19999694824219
2016-02-24,66.31999969482422
2016-02-25,67.41999816894531
2016-02-26,66.27999877929688
2016-02-29,65.63999938964844
2016-03-01,67.33000183105469
2016-03-02,67.08000183105469
2016-03-03,67.61000061035156
2016-03-04,68.16000366210938
2016-03-07,67.56999969482422
2016-03-08,67.52999877929688
2016-03-09,67.9800033569336
2016-03-10,68.2300033569336
2016-03-11,68.37000274658203
2016-03-14,68.23999786376953
2016-03-15,68.58999633789062
2016-03-16,68.68000030517578
2016-03-17,69.86000061035156
2016-03-18,70.4800033569336
2016-03-21,70.43000030517578
2016-03-22,69.55999755859375
2016-03-23,69.80000305175781
2016-03-24,69.91000366210938
2016-03-28,69.91000366210938
2016-03-29,70.51000213623047
2016-03-30,70.72000122070312
2016-03-31,70.6500015258789
2016-04-01,71.19999694824219
2016-04-04,71.16000366210938
2016-04-05,71.13999938964844
