Date,GL
2019-07-01,91.12999725341797
2019-07-02,90.51000213623047
2019-07-03,91.62999725341797
2019-07-05,91.7699966430664
2019-07-08,90.87000274658203
2019-07-09,91.54000091552734
2019-07-10,91.12000274658203
2019-07-11,91.68000030517578
2019-07-12,92.05000305175781
2019-07-15,92.26000213623047
2019-07-16,91.91000366210938
2019-07-17,91.30999755859375
2019-07-18,91.83000183105469
2019-07-19,91.04000091552734
2019-07-22,91.0999984741211
2019-07-23,91.31999969482422
2019-07-24,90.87999725341797
2019-07-25,92.1500015258789
2019-07-26,92.93000030517578
2019-07-29,91.9000015258789
2019-07-30,91.72000122070312
2019-07-31,91.31999969482422
2019-08-01,88.61000061035156
2019-08-02,87.6500015258789
2019-08-05,84.70999908447266
2019-08-06,86.37999725341797
2019-08-07,85.98999786376953
2019-08-08,88.0999984741211
2019-08-09,88.01000213623047
2019-08-12,87.30000305175781
2019-08-13,88.5
2019-08-14,85.06999969482422
2019-08-15,85.80999755859375
2019-08-16,87.16999816894531
2019-08-19,87.69999694824219
2019-08-20,86.55999755859375
2019-08-21,87.70999908447266
2019-08-22,88.31999969482422
2019-08-23,86.12999725341797
2019-08-26,87.12000274658203
2019-08-27,86.5199966430664
2019-08-28,87.08000183105469
2019-08-29,88.06999969482422
2019-08-30,89.26000213623047
2019-09-03,88.13999938964844
2019-09-04,88.76000213623047
2019-09-05,90.83999633789062
2019-09-06,91.68000030517578
2019-09-09,93.0999984741211
2019-09-10,94.2699966430664
2019-09-11,95.12999725341797
2019-09-12,94.7300033569336
2019-09-13,95.3499984741211
2019-09-16,93.72000122070312
2019-09-17,94.33999633789062
2019-09-18,94.94000244140625
2019-09-19,94.31999969482422
2019-09-20,94.6500015258789
2019-09-23,95.3499984741211
2019-09-24,95.04000091552734
2019-09-25,95.44000244140625
2019-09-26,96.05999755859375
2019-09-27,96.19999694824219
2019-09-30,95.76000213623047
2019-10-01,94.29000091552734
2019-10-02,92.48999786376953
2019-10-03,92.6500015258789
2019-10-04,94.51000213623047
2019-10-07,93.80000305175781
2019-10-08,92.36000061035156
2019-10-09,92.8499984741211
2019-10-10,93.20999908447266
2019-10-11,94.25
2019-10-14,94.08000183105469
2019-10-15,95.1500015258789
2019-10-16,94.2699966430664
2019-10-17,94.52999877929688
2019-10-18,94.68000030517578
2019-10-21,95.68000030517578
2019-10-22,95.93000030517578
2019-10-23,95.66999816894531
2019-10-24,96.47000122070312
2019-10-25,96.38999938964844
2019-10-28,96.83999633789062
2019-10-29,97.80000305175781
2019-10-30,97.25
2019-10-31,97.33000183105469
2019-11-01,98.0999984741211
2019-11-04,97.95999908447266
2019-11-05,98.12999725341797
2019-11-06,98.5199966430664
2019-11-07,98.94000244140625
2019-11-08,98.93000030517578
2019-11-11,98.70999908447266
2019-11-12,99.36000061035156
2019-11-13,99.56999969482422
2019-11-14,100.13999938964844
2019-11-15,99.2300033569336
2019-11-18,99.52999877929688
2019-11-19,99.38999938964844
2019-11-20,100.08999633789062
2019-11-21,100.33999633789062
2019-11-22,100.94000244140625
2019-11-25,101.37000274658203
2019-11-26,102.3499984741211
2019-11-27,103.12999725341797
2019-11-29,102.76000213623047
2019-12-02,102.41000366210938
2019-12-03,100.7300033569336
2019-12-04,101.62000274658203
2019-12-05,102.08999633789062
2019-12-06,103.30000305175781
2019-12-09,103.91000366210938
2019-12-10,104.3499984741211
2019-12-11,104.88999938964844
2019-12-12,106.3499984741211
2019-12-13,105.62000274658203
2019-12-16,106.13999938964844
2019-12-17,106.44999694824219
2019-12-18,106.05999755859375
2019-12-19,105.76000213623047
2019-12-20,106.62999725341797
2019-12-23,105.77999877929688
2019-12-24,106.13999938964844
2019-12-26,105.97000122070312
2019-12-27,105.86000061035156
2019-12-30,105.19000244140625
2019-12-31,105.25
2020-01-02,105.55999755859375
2020-01-03,104.30000305175781
2020-01-06,103.75
2020-01-07,103.6500015258789
2020-01-08,103.5999984741211
2020-01-09,104.6500015258789
2020-01-10,104.25
2020-01-13,104.08999633789062
2020-01-14,103.93000030517578
2020-01-15,103.72000122070312
