Date,Q
2025-10-27,95.30000305175781
2025-10-28,94.73999786376953
2025-10-29,94.04000091552734
2025-10-30,93.4000015258789
2025-10-31,95.0
2025-11-03,97.0
2025-11-04,100.91000366210938
2025-11-05,99.6500015258789
2025-11-06,93.33000183105469
2025-11-07,92.30999755859375
2025-11-10,96.5999984741211
2025-11-11,96.52999877929688
2025-11-12,91.95999908447266
2025-11-13,85.9000015258789
2025-11-14,83.4800033569336
2025-11-17,81.45999908447266
2025-11-18,78.9800033569336
2025-11-19,79.62000274658203
2025-11-20,74.9000015258789
2025-11-21,75.80000305175781
2025-11-24,73.54000091552734
2025-11-25,78.01000213623047
2025-11-26,79.2300033569336
2025-11-28,81.08999633789062
2025-12-01,77.5999984741211
2025-12-02,79.75
2025-12-03,80.27999877929688
2025-12-04,83.45999908447266
2025-12-05,82.04000091552734
2025-12-08,84.30000305175781
2025-12-09,85.08999633789062
2025-12-10,86.19999694824219
2025-12-11,84.80000305175781
2025-12-12,78.94000244140625
2025-12-15,76.62999725341797
2025-12-16,78.5
2025-12-17,76.26000213623047
2025-12-18,79.02999877929688
2025-12-19,79.69999694824219
2025-12-22,81.88999938964844
2025-12-23,83.16999816894531
2025-12-24,83.37000274658203
2025-12-26,84.20999908447266
2025-12-29,83.58999633789062
2025-12-30,84.01000213623047
