Date,EA
2015-07-01,68.0
2015-07-02,67.80000305175781
2015-07-06,68.01000213623047
2015-07-07,69.88999938964844
2015-07-08,69.0
2015-07-09,70.5
2015-07-10,72.06999969482422
2015-07-13,73.54000091552734
2015-07-14,72.25
2015-07-15,72.5
2015-07-16,72.97000122070312
2015-07-17,73.47000122070312
2015-07-20,74.79000091552734
2015-07-21,73.68000030517578
2015-07-22,72.91999816894531
2015-07-23,71.80999755859375
2015-07-24,72.29000091552734
2015-07-27,71.22000122070312
2015-07-28,71.80000305175781
2015-07-29,72.18000030517578
2015-07-30,72.30000305175781
2015-07-31,71.55000305175781
2015-08-03,70.97000122070312
2015-08-04,71.80000305175781
2015-08-05,75.16000366210938
2015-08-06,74.01000213623047
2015-08-07,73.36000061035156
2015-08-10,73.97000122070312
2015-08-11,73.81999969482422
2015-08-12,73.72000122070312
2015-08-13,73.37999725341797
2015-08-14,72.81999969482422
2015-08-17,73.69999694824219
2015-08-18,73.8499984741211
2015-08-19,71.61000061035156
2015-08-20,67.70999908447266
2015-08-21,65.52999877929688
2015-08-24,63.70000076293945
2015-08-25,63.540000915527344
2015-08-26,66.33999633789062
2015-08-27,67.16000366210938
2015-08-28,67.91000366210938
2015-08-31,66.1500015258789
2015-09-01,63.43000030517578
2015-09-02,64.66999816894531
2015-09-03,65.79000091552734
2015-09-04,66.37000274658203
2015-09-08,68.5
2015-09-09,67.77999877929688
2015-09-10,68.73999786376953
2015-09-11,68.91000366210938
2015-09-14,68.3499984741211
2015-09-15,69.37999725341797
2015-09-16,70.27999877929688
2015-09-17,71.05999755859375
2015-09-18,70.06999969482422
2015-09-21,70.58000183105469
2015-09-22,68.69000244140625
2015-09-23,69.45999908447266
2015-09-24,68.80999755859375
2015-09-25,69.48999786376953
2015-09-28,66.45999908447266
2015-09-29,66.0
2015-09-30,67.75
2015-10-01,67.19999694824219
2015-10-02,66.48999786376953
2015-10-05,67.58999633789062
2015-10-06,66.55000305175781
2015-10-07,66.11000061035156
2015-10-08,65.80000305175781
2015-10-09,65.04000091552734
2015-10-12,68.11000061035156
2015-10-13,68.41999816894531
2015-10-14,70.56999969482422
2015-10-15,70.97000122070312
2015-10-16,71.70999908447266
2015-10-19,72.29000091552734
2015-10-20,72.30000305175781
2015-10-21,72.79000091552734
2015-10-22,74.54000091552734
2015-10-23,74.91999816894531
2015-10-26,74.08000183105469
2015-10-27,75.2699966430664
2015-10-28,76.7699966430664
2015-10-29,76.05999755859375
2015-10-30,72.06999969482422
2015-11-02,72.0
2015-11-03,71.9000015258789
2015-11-04,74.29000091552734
2015-11-05,74.05999755859375
2015-11-06,72.37999725341797
2015-11-09,70.94000244140625
2015-11-10,70.83000183105469
2015-11-11,71.30000305175781
2015-11-12,71.66000366210938
2015-11-13,69.88999938964844
2015-11-16,67.98999786376953
2015-11-17,68.0999984741211
2015-11-18,68.41999816894531
2015-11-19,71.08000183105469
2015-11-20,72.41999816894531
2015-11-23,68.9800033569336
2015-11-24,67.05999755859375
2015-11-25,69.51000213623047
2015-11-27,68.87999725341797
2015-11-30,67.79000091552734
2015-12-01,68.62999725341797
2015-12-02,69.33999633789062
2015-12-03,67.22000122070312
2015-12-04,70.37999725341797
2015-12-07,70.79000091552734
2015-12-08,70.98999786376953
2015-12-09,67.08999633789062
2015-12-10,66.37000274658203
2015-12-11,67.16999816894531
2015-12-14,69.66000366210938
2015-12-15,72.33000183105469
2015-12-16,72.04000091552734
2015-12-17,71.12000274658203
2015-12-18,68.9800033569336
2015-12-21,68.70999908447266
2015-12-22,69.06999969482422
2015-12-23,68.63999938964844
2015-12-24,68.94999694824219
2015-12-28,69.19000244140625
2015-12-29,69.8499984741211
2015-12-30,69.6500015258789
2015-12-31,68.72000122070312
2016-01-04,66.0999984741211
2016-01-05,64.94000244140625
2016-01-06,63.68000030517578
2016-01-07,62.459999084472656
2016-01-08,63.130001068115234
2016-01-11,64.20999908447266
2016-01-12,65.62000274658203
2016-01-13,63.380001068115234
2016-01-14,64.4800033569336
2016-01-15,66.05999755859375
2016-01-19,67.37000274658203
2016-01-20,66.8499984741211
2016-01-21,67.02999877929688
2016-01-22,69.36000061035156
2016-01-25,69.91999816894531
2016-01-26,70.83000183105469
2016-01-27,69.48999786376953
2016-01-28,69.79000091552734
2016-01-29,64.55000305175781
2016-02-01,64.19999694824219
2016-02-02,60.65999984741211
2016-02-03,59.61000061035156
2016-02-04,58.72999954223633
2016-02-05,55.5
2016-02-08,56.31999969482422
2016-02-09,58.25
2016-02-10,58.97999954223633
2016-02-11,58.189998626708984
2016-02-12,59.25
2016-02-16,59.36000061035156
2016-02-17,59.84000015258789
2016-02-18,58.349998474121094
2016-02-19,59.56999969482422
2016-02-22,63.27000045776367
2016-02-23,61.52000045776367
2016-02-24,63.20000076293945
2016-02-25,64.68000030517578
2016-02-26,64.44999694824219
2016-02-29,64.23999786376953
2016-03-01,65.4800033569336
2016-03-02,66.08999633789062
2016-03-03,64.80000305175781
2016-03-04,64.43000030517578
2016-03-07,63.59000015258789
2016-03-08,62.959999084472656
2016-03-09,63.91999816894531
2016-03-10,63.5
2016-03-11,64.47000122070312
2016-03-14,64.79000091552734
2016-03-15,65.72000122070312
2016-03-16,66.0
2016-03-17,64.66999816894531
2016-03-18,64.31999969482422
2016-03-21,63.939998626708984
2016-03-22,63.869998931884766
2016-03-23,65.05000305175781
2016-03-24,64.23999786376953
2016-03-28,64.63999938964844
2016-03-29,66.02999877929688
2016-03-30,66.41000366210938
2016-03-31,66.11000061035156
2016-04-01,65.91999816894531
2016-04-04,65.73999786376953
2016-04-05,65.44999694824219
2016-04-06,65.83000183105469
2016-04-07,63.93000030517578
2016-04-08,64.23999786376953
2016-04-11,63.15999984741211
2016-04-12,62.959999084472656
2016-04-13,64.7699966430664
2016-04-14,64.94000244140625
2016-04-15,66.83999633789062
2016-04-18,66.5199966430664
2016-04-19,66.19000244140625
2016-04-20,65.80000305175781
2016-04-21,66.18000030517578
2016-04-22,65.87000274658203
2016-04-25,65.93000030517578
2016-04-26,65.33000183105469
2016-04-27,63.349998474121094
2016-04-28,62.31999969482422
2016-04-29,61.849998474121094
2016-05-02,62.88999938964844
2016-05-03,62.08000183105469
2016-05-04,61.880001068115234
2016-05-05,62.2400016784668
2016-05-06,63.939998626708984
2016-05-09,64.5199966430664
2016-05-10,64.54000091552734
2016-05-11,73.37999725341797
2016-05-12,75.01000213623047
2016-05-13,75.19999694824219
2016-05-16,76.62000274658203
2016-05-17,75.13999938964844
2016-05-18,74.48999786376953
2016-05-19,73.5
2016-05-20,73.11000061035156
2016-05-23,73.23999786376953
2016-05-24,75.3499984741211
2016-05-25,74.94000244140625
2016-05-26,75.11000061035156
2016-05-27,75.69999694824219
2016-05-31,76.75
2016-06-01,76.62000274658203
2016-06-02,76.58000183105469
2016-06-03,76.36000061035156
2016-06-06,76.48999786376953
2016-06-07,77.25
2016-06-08,76.27999877929688
2016-06-09,76.25
2016-06-10,75.27999877929688
2016-06-13,74.23999786376953
2016-06-14,74.5199966430664
2016-06-15,74.38999938964844
2016-06-16,75.0
2016-06-17,74.5199966430664
2016-06-20,75.30999755859375
2016-06-21,75.51000213623047
2016-06-22,74.80000305175781
2016-06-23,76.05000305175781
2016-06-24,73.20999908447266
2016-06-27,71.5
2016-06-28,72.5999984741211
2016-06-29,73.73999786376953
2016-06-30,75.76000213623047
2016-07-01,75.87000274658203
2016-07-05,75.88999938964844
2016-07-06,76.73999786376953
2016-07-07,76.62000274658203
2016-07-08,78.26000213623047
2016-07-11,79.16999816894531
2016-07-12,79.51000213623047
2016-07-13,77.62000274658203
2016-07-14,78.05000305175781
2016-07-15,77.83000183105469
2016-07-18,78.26000213623047
2016-07-19,76.5
2016-07-20,76.69999694824219
2016-07-21,75.37999725341797
2016-07-22,76.33000183105469
2016-07-25,76.9000015258789
2016-07-26,76.83999633789062
2016-07-27,76.66999816894531
2016-07-28,76.27999877929688
2016-07-29,76.31999969482422
2016-08-01,76.62999725341797
2016-08-02,76.77999877929688
2016-08-03,78.62999725341797
2016-08-04,78.2300033569336
2016-08-05,79.83999633789062
2016-08-08,79.2699966430664
2016-08-09,78.69000244140625
2016-08-10,78.56999969482422
2016-08-11,77.8499984741211
2016-08-12,77.43000030517578
2016-08-15,79.4800033569336
2016-08-16,78.05000305175781
2016-08-17,79.7699966430664
2016-08-18,80.9800033569336
2016-08-19,81.76000213623047
2016-08-22,81.48999786376953
2016-08-23,82.30999755859375
2016-08-24,82.41999816894531
2016-08-25,81.55000305175781
2016-08-26,81.20999908447266
2016-08-29,81.51000213623047
2016-08-30,81.7300033569336
2016-08-31,81.2300033569336
2016-09-01,81.76000213623047
2016-09-02,83.45999908447266
2016-09-06,83.87000274658203
2016-09-07,82.75
2016-09-08,82.16000366210938
2016-09-09,79.86000061035156
2016-09-12,80.83999633789062
2016-09-13,80.87000274658203
2016-09-14,80.83000183105469
2016-09-15,83.37000274658203
2016-09-16,82.88999938964844
2016-09-19,82.7699966430664
2016-09-20,82.98999786376953
2016-09-21,83.47000122070312
2016-09-22,83.16999816894531
2016-09-23,84.26000213623047
2016-09-26,83.5
2016-09-27,85.19999694824219
2016-09-28,85.0
2016-09-29,84.26000213623047
2016-09-30,85.4000015258789
2016-10-03,85.41000366210938
2016-10-04,85.55999755859375
2016-10-05,85.47000122070312
2016-10-06,84.58000183105469
2016-10-07,83.80999755859375
2016-10-10,84.73999786376953
2016-10-11,83.37000274658203
2016-10-12,82.52999877929688
2016-10-13,81.76000213623047
2016-10-14,82.58999633789062
2016-10-17,82.31999969482422
2016-10-18,84.01000213623047
2016-10-19,82.76000213623047
2016-10-20,82.5199966430664
2016-10-21,82.87000274658203
2016-10-24,84.1500015258789
2016-10-25,82.94000244140625
2016-10-26,82.58000183105469
2016-10-27,82.72000122070312
2016-10-28,79.44999694824219
2016-10-31,78.5199966430664
2016-11-01,77.83999633789062
2016-11-02,79.12000274658203
2016-11-03,80.5199966430664
2016-11-04,80.22000122070312
2016-11-07,81.08000183105469
2016-11-08,81.48999786376953
2016-11-09,79.44000244140625
2016-11-10,76.79000091552734
2016-11-11,77.44999694824219
2016-11-14,76.37999725341797
2016-11-15,77.62000274658203
2016-11-16,78.83000183105469
2016-11-17,79.62000274658203
2016-11-18,78.98999786376953
