Date,ROK
2015-07-01,126.2699966430664
2015-07-02,126.12999725341797
2015-07-06,125.41999816894531
2015-07-07,125.19999694824219
2015-07-08,120.72000122070312
2015-07-09,121.48999786376953
2015-07-10,122.16999816894531
2015-07-13,124.4000015258789
2015-07-14,125.0
2015-07-15,122.88999938964844
2015-07-16,123.5
2015-07-17,123.73999786376953
2015-07-20,123.37999725341797
2015-07-21,120.80999755859375
2015-07-22,120.30000305175781
2015-07-23,117.9000015258789
2015-07-24,117.5199966430664
2015-07-27,116.31999969482422
2015-07-28,119.2300033569336
2015-07-29,116.36000061035156
2015-07-30,117.0999984741211
2015-07-31,116.77999877929688
2015-08-03,115.30999755859375
2015-08-04,114.95999908447266
2015-08-05,116.02999877929688
2015-08-06,116.41999816894531
2015-08-07,115.9000015258789
2015-08-10,118.94000244140625
2015-08-11,116.73999786376953
2015-08-12,115.83999633789062
2015-08-13,115.19000244140625
2015-08-14,116.16999816894531
2015-08-17,117.0
2015-08-18,115.68000030517578
2015-08-19,114.01000213623047
2015-08-20,111.2300033569336
2015-08-21,108.94000244140625
2015-08-24,105.16999816894531
2015-08-25,103.56999969482422
2015-08-26,107.0999984741211
2015-08-27,111.22000122070312
2015-08-28,111.66999816894531
2015-08-31,111.83000183105469
2015-09-01,107.55000305175781
2015-09-02,108.3499984741211
2015-09-03,107.98999786376953
2015-09-04,106.26000213623047
2015-09-08,109.62000274658203
2015-09-09,106.19000244140625
2015-09-10,105.1500015258789
2015-09-11,105.9000015258789
2015-09-14,104.94000244140625
2015-09-15,106.55000305175781
2015-09-16,107.58000183105469
2015-09-17,105.83999633789062
2015-09-18,103.79000091552734
2015-09-21,104.01000213623047
2015-09-22,103.0999984741211
2015-09-23,101.4000015258789
2015-09-24,101.05000305175781
2015-09-25,100.27999877929688
2015-09-28,99.9000015258789
2015-09-29,100.36000061035156
2015-09-30,101.47000122070312
2015-10-01,100.36000061035156
2015-10-02,102.41000366210938
2015-10-05,104.02999877929688
2015-10-06,104.33000183105469
2015-10-07,103.12000274658203
2015-10-08,105.41999816894531
2015-10-09,105.58000183105469
2015-10-12,105.5199966430664
2015-10-13,104.54000091552734
2015-10-14,103.8499984741211
2015-10-15,105.23999786376953
2015-10-16,104.27999877929688
2015-10-19,103.16000366210938
2015-10-20,104.3499984741211
2015-10-21,103.91999816894531
2015-10-22,107.05000305175781
2015-10-23,108.04000091552734
2015-10-26,107.56999969482422
2015-10-27,105.23999786376953
2015-10-28,108.72000122070312
2015-10-29,108.55999755859375
2015-10-30,109.16000366210938
2015-11-02,110.55999755859375
2015-11-03,110.13999938964844
2015-11-04,109.62999725341797
2015-11-05,108.94999694824219
2015-11-06,109.0
2015-11-09,107.79000091552734
2015-11-10,104.18000030517578
2015-11-11,103.91000366210938
2015-11-12,102.37999725341797
2015-11-13,102.63999938964844
2015-11-16,104.6500015258789
2015-11-17,103.05000305175781
2015-11-18,106.06999969482422
2015-11-19,105.76000213623047
2015-11-20,105.18000030517578
2015-11-23,104.47000122070312
2015-11-24,104.01000213623047
