Date,ED
2015-07-01,58.279998779296875
2015-07-02,59.13999938964844
2015-07-06,59.599998474121094
2015-07-07,61.08000183105469
2015-07-08,61.22999954223633
2015-07-09,60.4900016784668
2015-07-10,60.810001373291016
2015-07-13,60.689998626708984
2015-07-14,60.41999816894531
2015-07-15,60.790000915527344
2015-07-16,61.720001220703125
2015-07-17,61.29999923706055
2015-07-20,61.400001525878906
2015-07-21,61.47999954223633
2015-07-22,62.20000076293945
2015-07-23,61.150001525878906
2015-07-24,60.900001525878906
2015-07-27,61.619998931884766
2015-07-28,61.900001525878906
2015-07-29,62.34000015258789
2015-07-30,63.150001525878906
2015-07-31,63.59000015258789
2015-08-03,63.790000915527344
2015-08-04,63.2400016784668
2015-08-05,63.40999984741211
2015-08-06,63.720001220703125
2015-08-07,65.1500015258789
2015-08-10,65.1500015258789
2015-08-11,65.8499984741211
2015-08-12,66.5999984741211
2015-08-13,66.91999816894531
2015-08-14,67.31999969482422
2015-08-17,66.70999908447266
2015-08-18,66.51000213623047
2015-08-19,66.87000274658203
2015-08-20,66.81999969482422
2015-08-21,66.05999755859375
2015-08-24,63.369998931884766
2015-08-25,62.20000076293945
2015-08-26,63.47999954223633
2015-08-27,63.900001525878906
2015-08-28,63.599998474121094
2015-08-31,62.90999984741211
2015-09-01,61.58000183105469
2015-09-02,61.650001525878906
2015-09-03,61.880001068115234
2015-09-04,60.86000061035156
2015-09-08,62.34000015258789
2015-09-09,61.29999923706055
2015-09-10,61.56999969482422
2015-09-11,62.38999938964844
2015-09-14,62.63999938964844
2015-09-15,62.65999984741211
2015-09-16,63.54999923706055
2015-09-17,64.51000213623047
2015-09-18,65.05000305175781
2015-09-21,65.02999877929688
2015-09-22,64.98999786376953
2015-09-23,65.52999877929688
2015-09-24,65.94999694824219
2015-09-25,66.26000213623047
2015-09-28,65.81999969482422
2015-09-29,65.9000015258789
2015-09-30,66.8499984741211
2015-10-01,65.62999725341797
2015-10-02,66.63999938964844
2015-10-05,67.08000183105469
2015-10-06,65.6500015258789
2015-10-07,65.41000366210938
2015-10-08,66.2699966430664
2015-10-09,65.43000030517578
2015-10-12,65.7699966430664
2015-10-13,65.54000091552734
2015-10-14,65.4800033569336
2015-10-15,66.47000122070312
2015-10-16,67.0199966430664
2015-10-19,66.93000030517578
2015-10-20,67.16000366210938
2015-10-21,66.97000122070312
2015-10-22,67.77999877929688
2015-10-23,67.04000091552734
2015-10-26,67.04000091552734
2015-10-27,67.25
2015-10-28,66.41000366210938
2015-10-29,65.33999633789062
2015-10-30,65.75
2015-11-02,65.58999633789062
2015-11-03,65.63999938964844
2015-11-04,65.91999816894531
2015-11-05,65.3499984741211
2015-11-06,61.95000076293945
2015-11-09,61.93000030517578
2015-11-10,62.66999816894531
2015-11-11,62.91999816894531
2015-11-12,62.540000915527344
2015-11-13,61.90999984741211
2015-11-16,62.720001220703125
2015-11-17,62.459999084472656
2015-11-18,62.79999923706055
2015-11-19,63.189998626708984
2015-11-20,63.310001373291016
2015-11-23,62.81999969482422
2015-11-24,62.349998474121094
2015-11-25,62.029998779296875
2015-11-27,62.209999084472656
2015-11-30,62.150001525878906
2015-12-01,62.59000015258789
2015-12-02,61.470001220703125
2015-12-03,60.5
2015-12-04,62.150001525878906
2015-12-07,62.779998779296875
2015-12-08,63.470001220703125
2015-12-09,63.02000045776367
2015-12-10,61.150001525878906
2015-12-11,60.810001373291016
2015-12-14,62.040000915527344
2015-12-15,62.66999816894531
2015-12-16,64.22000122070312
2015-12-17,64.22000122070312
2015-12-18,63.290000915527344
2015-12-21,63.40999984741211
2015-12-22,63.70000076293945
2015-12-23,64.79000091552734
2015-12-24,64.75
2015-12-28,65.08999633789062
2015-12-29,65.13999938964844
2015-12-30,65.25
2015-12-31,64.2699966430664
2016-01-04,64.4000015258789
2016-01-05,64.91000366210938
2016-01-06,65.22000122070312
2016-01-07,65.72000122070312
2016-01-08,66.43000030517578
2016-01-11,66.30999755859375
2016-01-12,65.5
2016-01-13,66.68000030517578
2016-01-14,67.62000274658203
2016-01-15,67.68000030517578
2016-01-19,69.06999969482422
2016-01-20,68.25
2016-01-21,67.69000244140625
2016-01-22,67.97000122070312
2016-01-25,67.80999755859375
2016-01-26,67.98999786376953
2016-01-27,68.33000183105469
2016-01-28,69.1500015258789
2016-01-29,69.38999938964844
2016-02-01,70.41999816894531
2016-02-02,71.12000274658203
2016-02-03,71.66999816894531
2016-02-04,71.52999877929688
2016-02-05,72.04000091552734
2016-02-08,73.08000183105469
2016-02-09,73.61000061035156
2016-02-10,73.38999938964844
2016-02-11,72.1500015258789
2016-02-12,70.72000122070312
2016-02-16,70.97000122070312
2016-02-17,69.97000122070312
2016-02-18,71.30999755859375
2016-02-19,70.87000274658203
2016-02-22,71.58000183105469
2016-02-23,72.05000305175781
2016-02-24,71.56999969482422
2016-02-25,72.44999694824219
2016-02-26,70.3499984741211
2016-02-29,70.01000213623047
2016-03-01,69.77999877929688
2016-03-02,70.30000305175781
2016-03-03,70.62999725341797
2016-03-04,71.38999938964844
2016-03-07,71.69000244140625
2016-03-08,72.87999725341797
2016-03-09,72.7300033569336
2016-03-10,73.05999755859375
2016-03-11,73.2699966430664
2016-03-14,73.47000122070312
2016-03-15,73.9000015258789
2016-03-16,74.44000244140625
2016-03-17,75.4800033569336
2016-03-18,75.25
2016-03-21,74.75
2016-03-22,74.55999755859375
2016-03-23,75.3499984741211
2016-03-24,75.55999755859375
2016-03-28,75.55000305175781
2016-03-29,76.63999938964844
2016-03-30,76.4800033569336
2016-03-31,76.62000274658203
2016-04-01,76.98999786376953
2016-04-04,76.87000274658203
2016-04-05,75.7300033569336
2016-04-06,75.41000366210938
2016-04-07,75.97000122070312
2016-04-08,76.04000091552734
2016-04-11,75.58000183105469
2016-04-12,76.05000305175781
2016-04-13,75.25
2016-04-14,75.27999877929688
2016-04-15,75.8499984741211
2016-04-18,75.7699966430664
2016-04-19,76.01000213623047
2016-04-20,73.45999908447266
2016-04-21,71.0999984741211
2016-04-22,71.58000183105469
2016-04-25,72.25
2016-04-26,72.04000091552734
