Date,CVX
2015-07-01,96.08999633789062
2015-07-02,95.87000274658203
2015-07-06,94.7699966430664
2015-07-07,95.2699966430664
2015-07-08,93.55999755859375
2015-07-09,93.77999877929688
2015-07-10,94.41000366210938
2015-07-13,94.5999984741211
2015-07-14,95.55000305175781
2015-07-15,94.23999786376953
2015-07-16,94.4800033569336
2015-07-17,93.1500015258789
2015-07-20,92.94000244140625
2015-07-21,93.9000015258789
2015-07-22,93.51000213623047
2015-07-23,92.94000244140625
2015-07-24,90.5999984741211
2015-07-27,89.13999938964844
2015-07-28,92.4000015258789
2015-07-29,93.25
2015-07-30,93.02999877929688
2015-07-31,88.4800033569336
2015-08-03,85.5999984741211
2015-08-04,85.20999908447266
2015-08-05,84.02999877929688
2015-08-06,85.19000244140625
2015-08-07,83.75
2015-08-10,85.88999938964844
2015-08-11,85.77999877929688
2015-08-12,86.79000091552734
2015-08-13,85.8499984741211
2015-08-14,85.98999786376953
2015-08-17,83.2300033569336
2015-08-18,83.44000244140625
2015-08-19,80.91000366210938
2015-08-20,79.23999786376953
2015-08-21,75.76000213623047
2015-08-24,72.12000274658203
2015-08-25,70.0199966430664
2015-08-26,73.08999633789062
2015-08-27,77.63999938964844
2015-08-28,80.43000030517578
2015-08-31,80.98999786376953
2015-09-01,78.19000244140625
2015-09-02,78.05999755859375
2015-09-03,78.26000213623047
2015-09-04,76.66999816894531
2015-09-08,76.83999633789062
2015-09-09,74.91999816894531
2015-09-10,75.66000366210938
2015-09-11,75.79000091552734
2015-09-14,75.7699966430664
2015-09-15,77.16999816894531
2015-09-16,79.0199966430664
2015-09-17,79.41000366210938
2015-09-18,77.73999786376953
2015-09-21,78.08999633789062
2015-09-22,77.25
2015-09-23,76.12000274658203
2015-09-24,76.88999938964844
2015-09-25,77.69999694824219
2015-09-28,75.7699966430664
2015-09-29,76.25
2015-09-30,78.87999725341797
2015-10-01,78.33999633789062
2015-10-02,81.55000305175781
2015-10-05,84.02999877929688
2015-10-06,86.98999786376953
2015-10-07,88.12000274658203
2015-10-08,89.91000366210938
2015-10-09,89.56999969482422
2015-10-12,88.73999786376953
2015-10-13,88.37999725341797
2015-10-14,89.76000213623047
2015-10-15,90.72000122070312
2015-10-16,91.29000091552734
2015-10-19,90.02999877929688
2015-10-20,89.98999786376953
2015-10-21,89.33000183105469
2015-10-22,91.62000274658203
2015-10-23,91.23999786376953
2015-10-26,88.7699966430664
2015-10-27,87.69999694824219
2015-10-28,89.79000091552734
2015-10-29,89.88999938964844
2015-10-30,90.87999725341797
2015-11-02,94.95999908447266
2015-11-03,98.13999938964844
2015-11-04,96.7699966430664
2015-11-05,94.55000305175781
2015-11-06,94.02999877929688
2015-11-09,92.31999969482422
2015-11-10,93.2300033569336
2015-11-11,92.19000244140625
2015-11-12,89.86000061035156
2015-11-13,88.68000030517578
2015-11-16,91.44999694824219
2015-11-17,91.02999877929688
2015-11-18,92.20999908447266
2015-11-19,90.83000183105469
2015-11-20,89.01000213623047
2015-11-23,90.01000213623047
2015-11-24,91.3499984741211
2015-11-25,90.87000274658203
2015-11-27,90.37000274658203
2015-11-30,91.31999969482422
2015-12-01,92.4800033569336
2015-12-02,90.25
2015-12-03,88.8499984741211
2015-12-04,89.70999908447266
2015-12-07,87.27999877929688
2015-12-08,86.44000244140625
2015-12-09,87.5999984741211
2015-12-10,89.30000305175781
2015-12-11,86.44000244140625
2015-12-14,89.33000183105469
