Date,CRL
2021-01-04,249.6699981689453
2021-01-05,252.58999633789062
2021-01-06,254.75999450683594
2021-01-07,263.1600036621094
2021-01-08,271.010009765625
2021-01-11,276.30999755859375
2021-01-12,268.239990234375
2021-01-13,267.489990234375
2021-01-14,266.9100036621094
2021-01-15,273.7200012207031
2021-01-19,278.8900146484375
2021-01-20,282.94000244140625
2021-01-21,281.239990234375
2021-01-22,280.17999267578125
2021-01-25,273.5400085449219
2021-01-26,265.4800109863281
2021-01-27,252.8699951171875
2021-01-28,260.8800048828125
2021-01-29,259.04998779296875
2021-02-01,266.0
2021-02-02,272.3999938964844
2021-02-03,267.8500061035156
2021-02-04,269.9599914550781
2021-02-05,275.760009765625
2021-02-08,276.6499938964844
2021-02-09,277.8500061035156
2021-02-10,280.54998779296875
2021-02-11,289.25
2021-02-12,292.79998779296875
2021-02-16,286.739990234375
2021-02-17,299.4800109863281
2021-02-18,292.510009765625
2021-02-19,289.54998779296875
2021-02-22,283.5899963378906
2021-02-23,282.9800109863281
2021-02-24,288.2200012207031
2021-02-25,280.17999267578125
2021-02-26,286.1400146484375
2021-03-01,289.6099853515625
2021-03-02,287.4599914550781
2021-03-03,278.2699890136719
2021-03-04,268.1600036621094
2021-03-05,273.82000732421875
2021-03-08,270.9700012207031
2021-03-09,278.44000244140625
2021-03-10,276.5899963378906
2021-03-11,285.0
2021-03-12,286.7900085449219
2021-03-15,292.0899963378906
2021-03-16,288.5299987792969
2021-03-17,292.70001220703125
2021-03-18,288.2799987792969
2021-03-19,286.67999267578125
2021-03-22,288.1300048828125
2021-03-23,280.30999755859375
2021-03-24,276.2099914550781
2021-03-25,281.95001220703125
2021-03-26,288.0400085449219
2021-03-29,282.95001220703125
2021-03-30,287.9599914550781
2021-03-31,289.8299865722656
2021-04-01,294.1700134277344
2021-04-05,297.8900146484375
2021-04-06,302.19000244140625
2021-04-07,296.5299987792969
2021-04-08,305.20001220703125
2021-04-09,306.3999938964844
2021-04-12,305.2300109863281
2021-04-13,309.82000732421875
2021-04-14,309.1700134277344
2021-04-15,320.3699951171875
2021-04-16,323.3800048828125
2021-04-19,324.5899963378906
2021-04-20,322.3699951171875
2021-04-21,324.0199890136719
2021-04-22,327.70001220703125
2021-04-23,334.3399963378906
2021-04-26,336.44000244140625
2021-04-27,334.3699951171875
2021-04-28,334.79998779296875
2021-04-29,333.8699951171875
2021-04-30,332.45001220703125
2021-05-03,331.95001220703125
2021-05-04,338.9599914550781
2021-05-05,345.2099914550781
2021-05-06,336.8399963378906
2021-05-07,342.54998779296875
2021-05-10,332.8800048828125
2021-05-11,320.5
2021-05-12,316.760009765625
2021-05-13,321.010009765625
2021-05-14,329.07000732421875
2021-05-17,322.7099914550781
2021-05-18,319.70001220703125
2021-05-19,319.0
2021-05-20,326.70001220703125
2021-05-21,327.2300109863281
2021-05-24,331.1700134277344
2021-05-25,329.5199890136719
2021-05-26,324.510009765625
2021-05-27,332.20001220703125
2021-05-28,337.989990234375
2021-06-01,332.8999938964844
2021-06-02,329.5199890136719
2021-06-03,331.70001220703125
2021-06-04,336.8399963378906
2021-06-07,340.239990234375
2021-06-08,343.0199890136719
2021-06-09,345.9100036621094
2021-06-10,354.7799987792969
2021-06-11,352.0899963378906
2021-06-14,355.3299865722656
2021-06-15,354.3599853515625
2021-06-16,352.9200134277344
2021-06-17,357.7799987792969
2021-06-18,353.70001220703125
2021-06-21,360.5899963378906
2021-06-22,364.0
2021-06-23,366.95001220703125
2021-06-24,366.7799987792969
2021-06-25,367.8999938964844
2021-06-28,366.05999755859375
2021-06-29,371.6499938964844
2021-06-30,369.9200134277344
2021-07-01,372.6400146484375
2021-07-02,374.2200012207031
2021-07-06,377.45001220703125
2021-07-07,383.17999267578125
2021-07-08,379.20001220703125
2021-07-09,384.8900146484375
2021-07-12,384.1300048828125
2021-07-13,383.0899963378906
2021-07-14,382.2900085449219
2021-07-15,382.1499938964844
2021-07-16,384.489990234375
2021-07-19,378.29998779296875
2021-07-20,385.4800109863281
2021-07-21,385.7699890136719
2021-07-22,393.25
2021-07-23,396.32000732421875
2021-07-26,393.2699890136719
2021-07-27,392.75
2021-07-28,399.6199951171875
2021-07-29,405.5199890136719
2021-07-30,406.9200134277344
2021-08-02,405.6000061035156
2021-08-03,411.239990234375
2021-08-04,416.30999755859375
2021-08-05,409.9700012207031
2021-08-06,408.4100036621094
2021-08-09,409.4100036621094
2021-08-10,407.2900085449219
2021-08-11,399.260009765625
2021-08-12,407.7799987792969
2021-08-13,411.2200012207031
2021-08-16,416.0299987792969
2021-08-17,417.45001220703125
2021-08-18,416.0799865722656
2021-08-19,420.3299865722656
2021-08-20,424.75
2021-08-23,425.80999755859375
2021-08-24,427.510009765625
2021-08-25,432.8900146484375
2021-08-26,437.6499938964844
2021-08-27,436.75
2021-08-30,444.67999267578125
2021-08-31,443.8599853515625
2021-09-01,443.7900085449219
2021-09-02,449.0400085449219
2021-09-03,449.54998779296875
2021-09-07,449.1700134277344
