Date,TYL
2020-01-02,306.239990234375
2020-01-03,306.6700134277344
2020-01-06,310.2099914550781
2020-01-07,311.2699890136719
2020-01-08,310.989990234375
2020-01-09,311.3900146484375
2020-01-10,310.2300109863281
2020-01-13,309.6199951171875
2020-01-14,308.57000732421875
2020-01-15,311.30999755859375
2020-01-16,312.19000244140625
2020-01-17,309.0299987792969
2020-01-21,310.8399963378906
2020-01-22,311.4800109863281
2020-01-23,311.75
2020-01-24,309.8999938964844
2020-01-27,308.70001220703125
2020-01-28,313.69000244140625
2020-01-29,316.2300109863281
2020-01-30,321.42999267578125
2020-01-31,323.67999267578125
2020-02-03,329.2699890136719
2020-02-04,337.44000244140625
2020-02-05,330.239990234375
2020-02-06,333.010009765625
2020-02-07,329.739990234375
2020-02-10,332.19000244140625
2020-02-11,335.2900085449219
2020-02-12,338.42999267578125
2020-02-13,334.1700134277344
2020-02-14,338.25
2020-02-18,332.9200134277344
2020-02-19,331.5899963378906
2020-02-20,334.1600036621094
2020-02-21,330.1499938964844
2020-02-24,326.44000244140625
2020-02-25,322.0299987792969
2020-02-26,324.32000732421875
2020-02-27,315.6499938964844
2020-02-28,313.3500061035156
2020-03-02,331.6600036621094
2020-03-03,323.9700012207031
2020-03-04,336.57000732421875
2020-03-05,323.44000244140625
2020-03-06,321.6499938964844
2020-03-09,301.9800109863281
2020-03-10,299.1400146484375
2020-03-11,288.4200134277344
2020-03-12,274.7099914550781
2020-03-13,287.1300048828125
2020-03-16,264.8299865722656
2020-03-17,286.32000732421875
2020-03-18,265.8599853515625
2020-03-19,264.1499938964844
2020-03-20,260.760009765625
2020-03-23,265.6600036621094
2020-03-24,270.9800109863281
2020-03-25,262.1400146484375
2020-03-26,289.0799865722656
2020-03-27,282.8299865722656
2020-03-30,300.80999755859375
2020-03-31,296.55999755859375
2020-04-01,291.5799865722656
2020-04-02,280.3399963378906
2020-04-03,284.82000732421875
2020-04-06,299.8500061035156
2020-04-07,294.0299987792969
2020-04-08,308.92999267578125
2020-04-09,311.989990234375
2020-04-13,306.0299987792969
2020-04-14,327.1300048828125
2020-04-15,323.45001220703125
2020-04-16,326.5
2020-04-17,326.7200012207031
2020-04-20,328.04998779296875
2020-04-21,312.8999938964844
2020-04-22,318.2200012207031
2020-04-23,319.3599853515625
2020-04-24,314.7099914550781
2020-04-27,320.94000244140625
2020-04-28,312.010009765625
2020-04-29,320.989990234375
2020-04-30,320.69000244140625
2020-05-01,314.7799987792969
2020-05-04,314.739990234375
2020-05-05,322.55999755859375
2020-05-06,326.3599853515625
2020-05-07,332.5899963378906
2020-05-08,330.2300109863281
2020-05-11,335.6099853515625
2020-05-12,331.8999938964844
2020-05-13,331.739990234375
2020-05-14,334.0400085449219
2020-05-15,354.75
2020-05-18,352.0799865722656
2020-05-19,352.8500061035156
2020-05-20,361.6300048828125
2020-05-21,354.42999267578125
2020-05-22,360.04998779296875
2020-05-26,352.7799987792969
2020-05-27,365.0
2020-05-28,370.45001220703125
2020-05-29,375.30999755859375
2020-06-01,375.8500061035156
2020-06-02,382.6600036621094
2020-06-03,378.1499938964844
2020-06-04,371.5799865722656
2020-06-05,358.42999267578125
2020-06-08,358.1700134277344
2020-06-09,355.6099853515625
2020-06-10,363.8299865722656
2020-06-11,351.8999938964844
2020-06-12,342.7099914550781
2020-06-15,341.0799865722656
2020-06-16,342.79998779296875
2020-06-17,339.04998779296875
2020-06-18,342.54998779296875
2020-06-19,333.2099914550781
2020-06-22,338.29998779296875
2020-06-23,334.4700012207031
2020-06-24,338.4700012207031
2020-06-25,340.32000732421875
2020-06-26,340.7900085449219
2020-06-29,339.8599853515625
2020-06-30,346.8800048828125
2020-07-01,350.32000732421875
2020-07-02,355.2200012207031
2020-07-06,352.4700012207031
2020-07-07,352.5199890136719
2020-07-08,355.0400085449219
2020-07-09,361.2900085449219
2020-07-10,359.7300109863281
2020-07-13,344.9700012207031
2020-07-14,347.57000732421875
2020-07-15,351.2200012207031
2020-07-16,351.32000732421875
2020-07-17,355.79998779296875
2020-07-20,370.3999938964844
2020-07-21,369.0
2020-07-22,367.8599853515625
2020-07-23,363.4599914550781
2020-07-24,357.19000244140625
2020-07-27,359.0899963378906
2020-07-28,347.260009765625
