Date,BALL
2022-01-03,93.26000213623047
2022-01-04,90.01000213623047
2022-01-05,91.41999816894531
2022-01-06,91.55999755859375
2022-01-07,90.51000213623047
2022-01-10,89.94000244140625
2022-01-11,89.8499984741211
2022-01-12,90.94000244140625
2022-01-13,91.0199966430664
2022-01-14,90.58999633789062
2022-01-18,89.55000305175781
2022-01-19,91.75
2022-01-20,90.54000091552734
2022-01-21,88.33000183105469
2022-01-24,87.2300033569336
2022-01-25,86.4000015258789
2022-01-26,86.56999969482422
2022-01-27,93.98999786376953
2022-01-28,93.5
2022-01-31,97.0999984741211
2022-02-01,96.56999969482422
2022-02-02,94.45999908447266
2022-02-03,93.12000274658203
2022-02-04,93.68000030517578
2022-02-07,92.41000366210938
2022-02-08,93.44999694824219
2022-02-09,94.05000305175781
2022-02-10,92.66999816894531
2022-02-11,92.44000244140625
2022-02-14,92.27999877929688
2022-02-15,91.83999633789062
2022-02-16,92.04000091552734
2022-02-17,90.91999816894531
2022-02-18,90.61000061035156
2022-02-22,90.04000091552734
2022-02-23,88.55999755859375
2022-02-24,87.8499984741211
2022-02-25,90.87000274658203
2022-02-28,89.73999786376953
2022-03-01,86.83999633789062
2022-03-02,88.16999816894531
2022-03-03,90.13999938964844
2022-03-04,90.19999694824219
2022-03-07,89.69000244140625
2022-03-08,87.79000091552734
2022-03-09,86.41000366210938
2022-03-10,87.05999755859375
2022-03-11,85.55999755859375
2022-03-14,88.44000244140625
2022-03-15,90.75
2022-03-16,90.4000015258789
2022-03-17,91.56999969482422
2022-03-18,93.0
2022-03-21,93.58000183105469
2022-03-22,94.19000244140625
2022-03-23,91.41000366210938
2022-03-24,92.94999694824219
2022-03-25,94.2300033569336
2022-03-28,93.27999877929688
2022-03-29,90.88999938964844
2022-03-30,91.48999786376953
2022-03-31,90.0
2022-04-01,89.22000122070312
2022-04-04,89.83999633789062
2022-04-05,89.73999786376953
2022-04-06,88.37000274658203
2022-04-07,87.7300033569336
2022-04-08,87.41999816894531
2022-04-11,88.05000305175781
2022-04-12,86.30999755859375
2022-04-13,87.94999694824219
2022-04-14,87.1500015258789
2022-04-18,86.11000061035156
2022-04-19,87.62999725341797
2022-04-20,89.0
2022-04-21,88.62999725341797
2022-04-22,86.44999694824219
2022-04-25,85.95999908447266
2022-04-26,80.88999938964844
2022-04-27,81.01000213623047
2022-04-28,82.93000030517578
2022-04-29,81.16000366210938
2022-05-02,80.63999938964844
2022-05-03,81.70999908447266
2022-05-04,83.22000122070312
2022-05-05,76.80000305175781
2022-05-06,71.91000366210938
2022-05-09,69.48999786376953
2022-05-10,69.08999633789062
2022-05-11,67.27999877929688
2022-05-12,69.26000213623047
2022-05-13,69.75
2022-05-16,71.70999908447266
2022-05-17,73.30000305175781
2022-05-18,71.20999908447266
2022-05-19,69.69999694824219
2022-05-20,68.9800033569336
2022-05-23,70.80999755859375
2022-05-24,70.11000061035156
2022-05-25,70.29000091552734
2022-05-26,71.76000213623047
2022-05-27,73.7300033569336
2022-05-31,70.88999938964844
2022-06-01,71.2699966430664
2022-06-02,72.51000213623047
2022-06-03,73.5999984741211
2022-06-06,73.7699966430664
2022-06-07,74.16999816894531
2022-06-08,72.68000030517578
2022-06-09,70.41999816894531
2022-06-10,68.4800033569336
2022-06-13,67.41999816894531
2022-06-14,66.5
2022-06-15,66.2699966430664
2022-06-16,63.310001373291016
2022-06-17,64.91000366210938
2022-06-21,65.48999786376953
