Date,WSM
2025-01-02,187.5500030517578
2025-01-03,192.6999969482422
2025-01-06,200.32000732421875
2025-01-07,195.3699951171875
2025-01-08,194.58999633789062
2025-01-10,196.97000122070312
2025-01-13,195.25999450683594
2025-01-14,192.60000610351562
2025-01-15,198.52999877929688
2025-01-16,199.1300048828125
2025-01-17,202.8300018310547
2025-01-21,209.82000732421875
2025-01-22,212.11000061035156
2025-01-23,211.74000549316406
2025-01-24,213.60000610351562
2025-01-27,211.63999938964844
2025-01-28,214.6999969482422
2025-01-29,216.6999969482422
2025-01-30,217.5399932861328
2025-01-31,211.3699951171875
2025-02-03,204.47999572753906
2025-02-04,208.19000244140625
2025-02-05,209.49000549316406
2025-02-06,211.0
2025-02-07,207.24000549316406
2025-02-10,209.36000061035156
2025-02-11,206.39999389648438
2025-02-12,203.8699951171875
2025-02-13,207.05999755859375
2025-02-14,214.60000610351562
2025-02-18,217.7100067138672
2025-02-19,213.64999389648438
2025-02-20,209.3300018310547
2025-02-21,195.17999267578125
2025-02-24,194.6699981689453
2025-02-25,196.36000061035156
2025-02-26,198.3300018310547
2025-02-27,192.27999877929688
2025-02-28,194.5800018310547
2025-03-03,187.69000244140625
2025-03-04,183.5399932861328
2025-03-05,187.6199951171875
2025-03-06,182.42999267578125
2025-03-07,188.41000366210938
2025-03-10,185.22000122070312
2025-03-11,174.9199981689453
2025-03-12,174.89999389648438
2025-03-13,165.07000732421875
2025-03-14,167.5
2025-03-17,175.0
2025-03-18,172.27999877929688
2025-03-19,166.27000427246094
2025-03-20,164.99000549316406
2025-03-21,163.64999389648438
2025-03-24,170.3000030517578
2025-03-25,169.1699981689453
2025-03-26,165.36000061035156
2025-03-27,164.4199981689453
2025-03-28,158.97999572753906
2025-03-31,158.10000610351562
2025-04-01,158.8699951171875
2025-04-02,165.00999450683594
2025-04-03,138.86000061035156
2025-04-04,141.67999267578125
2025-04-07,145.08999633789062
2025-04-08,139.2100067138672
2025-04-09,158.25
2025-04-10,147.88999938964844
2025-04-11,148.25
2025-04-14,145.25999450683594
2025-04-15,142.89999389648438
2025-04-16,137.6199951171875
2025-04-17,139.2100067138672
2025-04-21,137.8699951171875
2025-04-22,141.92999267578125
2025-04-23,145.8800048828125
2025-04-24,151.39999389648438
2025-04-25,151.19000244140625
2025-04-28,152.5399932861328
2025-04-29,153.39999389648438
2025-04-30,154.47000122070312
2025-05-01,155.82000732421875
2025-05-02,160.55999755859375
2025-05-05,158.38999938964844
2025-05-06,154.41000366210938
2025-05-07,157.63999938964844
2025-05-08,160.88999938964844
2025-05-09,160.30999755859375
2025-05-12,173.8000030517578
2025-05-13,174.44000244140625
2025-05-14,171.6199951171875
2025-05-15,171.6699981689453
2025-05-16,173.83999633789062
2025-05-19,174.27999877929688
2025-05-20,172.52000427246094
