Date,J
2019-07-01,70.14234924316406
2019-07-02,69.79495239257812
2019-07-03,70.13407897949219
2019-07-05,70.06790924072266
2019-07-08,69.10841369628906
2019-07-09,69.48062896728516
2019-07-10,69.33174133300781
2019-07-11,69.52198791503906
2019-07-12,70.48148345947266
2019-07-15,70.13407897949219
2019-07-16,70.92814636230469
2019-07-17,70.09272766113281
2019-07-18,69.43099975585938
2019-07-19,69.40618896484375
2019-07-22,69.58816528320312
2019-07-23,70.24988555908203
2019-07-24,70.84542846679688
2019-07-25,69.89420318603516
2019-07-26,70.27469635009766
2019-07-29,69.6295166015625
2019-07-30,69.67914581298828
2019-07-31,68.24817657470703
2019-08-01,66.64350891113281
2019-08-02,65.8990707397461
2019-08-05,66.99918365478516
2019-08-06,69.62124633789062
2019-08-07,69.1745834350586
2019-08-08,70.74617004394531
2019-08-09,71.05221557617188
2019-08-12,68.61212158203125
2019-08-13,69.3896484375
2019-08-14,66.8089370727539
2019-08-15,67.5616455078125
2019-08-16,69.0505142211914
2019-08-19,69.47235870361328
2019-08-20,69.12495422363281
2019-08-21,71.15974426269531
2019-08-22,71.5898666381836
2019-08-23,70.31605529785156
2019-08-26,70.81234741210938
2019-08-27,70.32432556152344
2019-08-28,70.72135925292969
2019-08-29,72.61553192138672
2019-08-30,73.50057983398438
2019-09-03,73.85625457763672
2019-09-04,75.16315460205078
2019-09-05,75.5684585571289
2019-09-06,76.3625259399414
2019-09-09,76.19709014892578
2019-09-10,74.41871643066406
2019-09-11,74.27810668945312
2019-09-12,74.75785064697266
2019-09-13,75.44438934326172
2019-09-16,76.65202331542969
2019-09-17,77.37992095947266
2019-09-18,77.06559753417969
2019-09-19,76.29634857177734
2019-09-20,75.92413330078125
2019-09-23,75.51055908203125
2019-09-24,74.79093933105469
2019-09-25,75.4940185546875
2019-09-26,75.25414276123047
2019-09-27,75.01426696777344
2019-09-30,75.68425750732422
2019-10-01,74.04650115966797
2019-10-02,72.69824981689453
2019-10-03,72.7975082397461
2019-10-04,74.29464721679688
2019-10-07,73.5336685180664
2019-10-08,73.07046508789062
2019-10-09,73.666015625
2019-10-10,74.14575958251953
2019-10-11,75.97376251220703
2019-10-14,75.56018829345703
