Date,DE
2015-07-01,96.19000244140625
2015-07-02,96.3499984741211
2015-07-06,95.56999969482422
2015-07-07,96.27999877929688
2015-07-08,94.95999908447266
2015-07-09,94.54000091552734
2015-07-10,95.16999816894531
2015-07-13,96.2699966430664
2015-07-14,96.4000015258789
2015-07-15,96.5199966430664
2015-07-16,97.33000183105469
2015-07-17,96.97000122070312
2015-07-20,96.22000122070312
2015-07-21,95.51000213623047
2015-07-22,94.81999969482422
2015-07-23,93.26000213623047
2015-07-24,92.41999816894531
2015-07-27,91.25
2015-07-28,92.47000122070312
2015-07-29,93.62999725341797
2015-07-30,93.51000213623047
2015-07-31,94.56999969482422
2015-08-03,93.41999816894531
2015-08-04,93.11000061035156
2015-08-05,95.5199966430664
2015-08-06,95.5999984741211
2015-08-07,95.8499984741211
2015-08-10,97.13999938964844
2015-08-11,96.23999786376953
2015-08-12,93.63999938964844
2015-08-13,93.0999984741211
2015-08-14,94.33999633789062
2015-08-17,94.18000030517578
2015-08-18,93.91000366210938
2015-08-19,91.9800033569336
2015-08-20,90.6500015258789
2015-08-21,83.29000091552734
2015-08-24,80.7699966430664
2015-08-25,79.08999633789062
2015-08-26,81.2300033569336
2015-08-27,82.38999938964844
2015-08-28,82.47000122070312
2015-08-31,81.77999877929688
2015-09-01,80.0
2015-09-02,80.77999877929688
2015-09-03,80.98999786376953
2015-09-04,79.22000122070312
2015-09-08,80.0999984741211
2015-09-09,79.56999969482422
2015-09-10,80.06999969482422
2015-09-11,79.25
2015-09-14,79.68000030517578
2015-09-15,81.41000366210938
2015-09-16,81.3499984741211
2015-09-17,80.43000030517578
2015-09-18,79.54000091552734
2015-09-21,79.16000366210938
2015-09-22,78.83999633789062
2015-09-23,77.69000244140625
2015-09-24,75.76000213623047
2015-09-25,75.80999755859375
2015-09-28,73.76000213623047
2015-09-29,73.62000274658203
2015-09-30,74.0
2015-10-01,72.88999938964844
2015-10-02,73.56999969482422
2015-10-05,78.20999908447266
2015-10-06,78.44000244140625
2015-10-07,78.88999938964844
2015-10-08,80.91000366210938
2015-10-09,79.87000274658203
2015-10-12,78.43000030517578
2015-10-13,76.93000030517578
2015-10-14,76.27999877929688
2015-10-15,76.2300033569336
2015-10-16,76.0
2015-10-19,75.97000122070312
2015-10-20,76.38999938964844
2015-10-21,76.6500015258789
2015-10-22,79.3499984741211
2015-10-23,80.26000213623047
2015-10-26,77.51000213623047
2015-10-27,76.12000274658203
2015-10-28,78.94999694824219
2015-10-29,78.23999786376953
2015-10-30,78.0
2015-11-02,80.19000244140625
2015-11-03,79.54000091552734
2015-11-04,78.23999786376953
2015-11-05,77.93000030517578
2015-11-06,77.51000213623047
2015-11-09,76.23999786376953
2015-11-10,76.2699966430664
2015-11-11,75.05000305175781
2015-11-12,73.2699966430664
2015-11-13,74.6500015258789
2015-11-16,74.70999908447266
2015-11-17,73.80000305175781
2015-11-18,74.5199966430664
2015-11-19,74.94000244140625
2015-11-20,75.4800033569336
2015-11-23,74.61000061035156
2015-11-24,76.33999633789062
2015-11-25,80.0
2015-11-27,79.08999633789062
2015-11-30,79.56999969482422
2015-12-01,79.48999786376953
2015-12-02,79.33000183105469
2015-12-03,78.30000305175781
2015-12-04,79.58999633789062
2015-12-07,79.0999984741211
2015-12-08,79.25
2015-12-09,79.23999786376953
2015-12-10,78.5999984741211
2015-12-11,77.16000366210938
2015-12-14,78.94000244140625
2015-12-15,77.25
2015-12-16,78.19000244140625
2015-12-17,76.91000366210938
2015-12-18,74.97000122070312
2015-12-21,75.70999908447266
2015-12-22,77.58999633789062
2015-12-23,79.22000122070312
2015-12-24,78.79000091552734
2015-12-28,77.97000122070312
2015-12-29,77.63999938964844
2015-12-30,77.5
2015-12-31,76.2699966430664
2016-01-04,76.08000183105469
2016-01-05,76.5199966430664
2016-01-06,75.66000366210938
2016-01-07,74.98999786376953
2016-01-08,73.76000213623047
2016-01-11,74.1500015258789
2016-01-12,74.5199966430664
2016-01-13,73.22000122070312
2016-01-14,73.5999984741211
2016-01-15,73.12000274658203
2016-01-19,72.45999908447266
2016-01-20,72.0
2016-01-21,73.02999877929688
2016-01-22,74.61000061035156
2016-01-25,71.77999877929688
2016-01-26,73.56999969482422
2016-01-27,73.62999725341797
2016-01-28,74.80999755859375
2016-01-29,77.01000213623047
2016-02-01,76.80000305175781
2016-02-02,74.58000183105469
2016-02-03,75.41000366210938
2016-02-04,78.69999694824219
2016-02-05,78.41999816894531
2016-02-08,77.06999969482422
2016-02-09,78.08000183105469
2016-02-10,77.41000366210938
2016-02-11,76.41000366210938
2016-02-12,78.2699966430664
2016-02-16,79.80999755859375
2016-02-17,81.43000030517578
2016-02-18,80.33000183105469
2016-02-19,77.0
2016-02-22,78.4000015258789
2016-02-23,77.13999938964844
2016-02-24,79.0
2016-02-25,79.5999984741211
2016-02-26,79.47000122070312
2016-02-29,80.18000030517578
2016-03-01,81.05000305175781
2016-03-02,81.83999633789062
2016-03-03,83.66999816894531
2016-03-04,84.87999725341797
2016-03-07,85.68000030517578
2016-03-08,83.8499984741211
2016-03-09,83.04000091552734
2016-03-10,82.37999725341797
2016-03-11,82.94999694824219
2016-03-14,81.8499984741211
2016-03-15,80.6500015258789
2016-03-16,81.41000366210938
2016-03-17,83.05999755859375
2016-03-18,82.62999725341797
2016-03-21,82.72000122070312
2016-03-22,82.26000213623047
2016-03-23,80.83999633789062
2016-03-24,80.23999786376953
2016-03-28,80.16999816894531
2016-03-29,80.5
2016-03-30,80.12000274658203
2016-03-31,76.98999786376953
2016-04-01,76.5
2016-04-04,75.9000015258789
2016-04-05,76.06999969482422
2016-04-06,76.33999633789062
2016-04-07,76.18000030517578
2016-04-08,76.30999755859375
2016-04-11,75.75
2016-04-12,76.5999984741211
2016-04-13,78.45999908447266
2016-04-14,77.66000366210938
2016-04-15,77.44000244140625
2016-04-18,78.31999969482422
2016-04-19,82.36000061035156
2016-04-20,84.26000213623047
2016-04-21,82.80000305175781
2016-04-22,82.80000305175781
2016-04-25,82.41000366210938
2016-04-26,83.41999816894531
2016-04-27,84.70999908447266
2016-04-28,83.93000030517578
2016-04-29,84.11000061035156
2016-05-02,84.29000091552734
2016-05-03,83.4000015258789
2016-05-04,82.18000030517578
2016-05-05,81.19999694824219
2016-05-06,81.44999694824219
2016-05-09,80.58000183105469
2016-05-10,83.80999755859375
2016-05-11,83.9000015258789
2016-05-12,84.1500015258789
2016-05-13,82.47000122070312
2016-05-16,83.62999725341797
2016-05-17,83.19999694824219
2016-05-18,82.5999984741211
2016-05-19,82.25
2016-05-20,77.73999786376953
2016-05-23,77.87999725341797
2016-05-24,79.63999938964844
2016-05-25,80.48999786376953
2016-05-26,80.2699966430664
2016-05-27,80.5
2016-05-31,82.29000091552734
2016-06-01,82.83000183105469
2016-06-02,84.05999755859375
2016-06-03,85.56999969482422
2016-06-06,87.4800033569336
2016-06-07,87.30999755859375
2016-06-08,87.18000030517578
2016-06-09,86.94999694824219
2016-06-10,85.66999816894531
2016-06-13,85.31999969482422
2016-06-14,85.1500015258789
2016-06-15,84.83000183105469
2016-06-16,85.12000274658203
2016-06-17,86.0
2016-06-20,85.58999633789062
2016-06-21,84.08999633789062
2016-06-22,83.91999816894531
2016-06-23,84.29000091552734
2016-06-24,81.72000122070312
2016-06-27,80.58000183105469
2016-06-28,81.37999725341797
2016-06-29,81.51000213623047
2016-06-30,81.04000091552734
2016-07-01,80.9000015258789
2016-07-05,79.16999816894531
2016-07-06,79.47000122070312
2016-07-07,79.37000274658203
2016-07-08,80.97000122070312
2016-07-11,80.98999786376953
2016-07-12,82.41999816894531
2016-07-13,82.95999908447266
2016-07-14,83.63999938964844
2016-07-15,83.41000366210938
2016-07-18,83.81999969482422
2016-07-19,83.26000213623047
2016-07-20,82.80999755859375
2016-07-21,82.22000122070312
2016-07-22,80.12000274658203
2016-07-25,77.91999816894531
2016-07-26,78.98999786376953
2016-07-27,78.44999694824219
2016-07-28,78.16999816894531
2016-07-29,77.70999908447266
2016-08-01,77.69000244140625
2016-08-02,77.69999694824219
2016-08-03,78.30999755859375
2016-08-04,77.73999786376953
2016-08-05,78.33999633789062
2016-08-08,78.91999816894531
2016-08-09,78.88999938964844
2016-08-10,78.1500015258789
2016-08-11,77.98999786376953
2016-08-12,77.0
2016-08-15,78.27999877929688
2016-08-16,78.1500015258789
2016-08-17,77.43000030517578
2016-08-18,76.94000244140625
2016-08-19,87.31999969482422
