Date,KO
2015-07-01,39.5
2015-07-02,39.4900016784668
2015-07-06,39.41999816894531
2015-07-07,40.25
2015-07-08,39.86000061035156
2015-07-09,39.91999816894531
2015-07-10,40.38999938964844
2015-07-13,40.65999984741211
2015-07-14,41.16999816894531
2015-07-15,41.130001068115234
2015-07-16,41.47999954223633
2015-07-17,41.25
2015-07-20,41.380001068115234
2015-07-21,41.189998626708984
2015-07-22,40.900001525878906
2015-07-23,40.84000015258789
2015-07-24,40.439998626708984
2015-07-27,40.540000915527344
2015-07-28,40.54999923706055
2015-07-29,40.59000015258789
2015-07-30,40.560001373291016
2015-07-31,41.08000183105469
2015-08-03,41.540000915527344
2015-08-04,41.849998474121094
2015-08-05,42.119998931884766
2015-08-06,41.91999816894531
2015-08-07,41.77000045776367
2015-08-10,41.68000030517578
2015-08-11,41.47999954223633
2015-08-12,41.2599983215332
2015-08-13,41.099998474121094
2015-08-14,41.25
2015-08-17,41.349998474121094
2015-08-18,41.29999923706055
2015-08-19,40.779998779296875
2015-08-20,40.54999923706055
2015-08-21,39.529998779296875
2015-08-24,38.380001068115234
2015-08-25,37.9900016784668
2015-08-26,38.72999954223633
2015-08-27,39.27000045776367
2015-08-28,39.45000076293945
2015-08-31,39.31999969482422
2015-09-01,38.75
2015-09-02,38.900001525878906
2015-09-03,39.15999984741211
2015-09-04,38.52000045776367
2015-09-08,38.900001525878906
2015-09-09,38.29999923706055
2015-09-10,38.41999816894531
2015-09-11,38.130001068115234
2015-09-14,38.099998474121094
2015-09-15,38.5
2015-09-16,39.150001525878906
2015-09-17,39.380001068115234
2015-09-18,38.97999954223633
2015-09-21,39.189998626708984
2015-09-22,38.790000915527344
2015-09-23,38.7599983215332
2015-09-24,39.150001525878906
2015-09-25,39.619998931884766
2015-09-28,39.529998779296875
2015-09-29,39.65999984741211
2015-09-30,40.119998931884766
2015-10-01,39.79999923706055
2015-10-02,40.38999938964844
2015-10-05,41.0099983215332
2015-10-06,40.959999084472656
2015-10-07,41.52000045776367
2015-10-08,41.97999954223633
2015-10-09,42.02000045776367
2015-10-12,42.0
2015-10-13,41.650001525878906
2015-10-14,41.68000030517578
2015-10-15,41.91999816894531
2015-10-16,42.02000045776367
2015-10-19,41.9900016784668
2015-10-20,42.290000915527344
2015-10-21,42.189998626708984
2015-10-22,43.2400016784668
