Date,AFL
2015-07-01,31.21500015258789
2015-07-02,30.979999542236328
2015-07-06,30.790000915527344
2015-07-07,30.885000228881836
2015-07-08,30.229999542236328
2015-07-09,30.329999923706055
2015-07-10,30.854999542236328
2015-07-13,30.709999084472656
2015-07-14,30.704999923706055
2015-07-15,30.895000457763672
2015-07-16,31.110000610351562
2015-07-17,30.795000076293945
2015-07-20,30.780000686645508
2015-07-21,30.899999618530273
2015-07-22,30.940000534057617
2015-07-23,30.93000030517578
2015-07-24,30.959999084472656
2015-07-27,30.764999389648438
2015-07-28,31.165000915527344
2015-07-29,32.27000045776367
2015-07-30,32.02000045776367
2015-07-31,32.025001525878906
2015-08-03,32.01499938964844
2015-08-04,31.96500015258789
2015-08-05,32.04999923706055
2015-08-06,31.84000015258789
2015-08-07,32.02000045776367
2015-08-10,32.459999084472656
2015-08-11,32.119998931884766
2015-08-12,32.05500030517578
2015-08-13,32.084999084472656
2015-08-14,32.380001068115234
2015-08-17,32.26499938964844
2015-08-18,32.290000915527344
2015-08-19,31.524999618530273
2015-08-20,30.625
2015-08-21,29.600000381469727
2015-08-24,28.145000457763672
2015-08-25,27.614999771118164
2015-08-26,28.459999084472656
2015-08-27,29.315000534057617
2015-08-28,29.334999084472656
2015-08-31,29.299999237060547
2015-09-01,28.325000762939453
2015-09-02,28.725000381469727
2015-09-03,28.774999618530273
2015-09-04,28.19499969482422
2015-09-08,28.78499984741211
2015-09-09,28.4950008392334
2015-09-10,28.850000381469727
2015-09-11,29.06999969482422
2015-09-14,28.899999618530273
2015-09-15,29.28499984741211
2015-09-16,29.420000076293945
2015-09-17,29.05500030517578
2015-09-18,28.575000762939453
2015-09-21,28.850000381469727
2015-09-22,28.520000457763672
2015-09-23,28.709999084472656
2015-09-24,28.7450008392334
2015-09-25,28.915000915527344
2015-09-28,28.5049991607666
2015-09-29,28.860000610351562
2015-09-30,29.065000534057617
2015-10-01,28.979999542236328
2015-10-02,29.235000610351562
2015-10-05,29.65999984741211
2015-10-06,29.71500015258789
2015-10-07,30.145000457763672
2015-10-08,30.405000686645508
2015-10-09,30.3799991607666
2015-10-12,30.415000915527344
2015-10-13,30.2549991607666
2015-10-14,29.8700008392334
2015-10-15,30.450000762939453
2015-10-16,30.670000076293945
2015-10-19,30.514999389648438
2015-10-20,30.639999389648438
2015-10-21,30.670000076293945
