Date,CPAY
2024-01-02,281.55999755859375
2024-01-03,278.989990234375
2024-01-04,280.8800048828125
2024-01-05,280.760009765625
2024-01-08,284.3900146484375
2024-01-09,283.69000244140625
2024-01-10,280.260009765625
2024-01-11,279.4800109863281
2024-01-12,283.989990234375
2024-01-16,283.989990234375
2024-01-17,277.92999267578125
2024-01-18,277.55999755859375
2024-01-19,282.8599853515625
2024-01-22,287.4599914550781
2024-01-23,288.4599914550781
2024-01-24,287.3999938964844
2024-01-25,293.79998779296875
2024-01-26,294.010009765625
2024-01-29,297.2699890136719
2024-01-30,296.92999267578125
2024-01-31,289.92999267578125
2024-02-01,294.54998779296875
2024-02-02,295.95001220703125
2024-02-05,291.5799865722656
2024-02-06,286.989990234375
2024-02-07,291.989990234375
2024-02-08,265.1199951171875
2024-02-09,273.3999938964844
2024-02-12,270.9599914550781
2024-02-13,268.75
2024-02-14,272.3800048828125
2024-02-15,275.3800048828125
2024-02-16,271.6199951171875
2024-02-20,272.9100036621094
2024-02-21,274.29998779296875
2024-02-22,275.8299865722656
2024-02-23,281.20001220703125
2024-02-26,278.30999755859375
2024-02-27,278.54998779296875
2024-02-28,275.6600036621094
2024-02-29,279.2699890136719
2024-03-01,276.6000061035156
2024-03-04,281.6700134277344
2024-03-05,280.6099853515625
2024-03-06,285.239990234375
2024-03-07,293.07000732421875
2024-03-08,294.0299987792969
2024-03-11,293.5199890136719
2024-03-12,294.6700134277344
2024-03-13,298.92999267578125
2024-03-14,295.8999938964844
2024-03-15,295.6400146484375
2024-03-18,299.4200134277344
2024-03-19,306.3900146484375
2024-03-20,306.25
2024-03-21,305.79998779296875
2024-03-22,303.260009765625
2024-03-25,307.6600036621094
2024-03-26,304.17999267578125
2024-03-27,305.5199890136719
2024-03-28,308.5400085449219
2024-04-01,305.8999938964844
2024-04-02,310.3699951171875
2024-04-03,316.1400146484375
2024-04-04,304.8299865722656
2024-04-05,306.20001220703125
2024-04-08,306.8599853515625
2024-04-09,304.5899963378906
2024-04-10,303.7900085449219
2024-04-11,305.7200012207031
2024-04-12,299.9100036621094
2024-04-15,296.2900085449219
2024-04-16,298.7300109863281
2024-04-17,296.2699890136719
2024-04-18,295.6400146484375
2024-04-19,294.2900085449219
2024-04-22,300.8999938964844
2024-04-23,306.6099853515625
2024-04-24,307.4200134277344
2024-04-25,302.0799865722656
2024-04-26,303.79998779296875
2024-04-29,305.0899963378906
2024-04-30,302.1400146484375
2024-05-01,296.25
2024-05-02,298.94000244140625
2024-05-03,299.2900085449219
2024-05-06,302.6000061035156
2024-05-07,304.7200012207031
2024-05-08,304.5
2024-05-09,283.2200012207031
2024-05-10,283.44000244140625
2024-05-13,287.510009765625
2024-05-14,283.29998779296875
2024-05-15,279.05999755859375
2024-05-16,282.8599853515625
2024-05-17,279.5299987792969
2024-05-20,278.94000244140625
2024-05-21,273.1099853515625
2024-05-22,272.7699890136719
2024-05-23,269.95001220703125
2024-05-24,267.92999267578125
2024-05-28,263.1600036621094
2024-05-29,264.010009765625
2024-05-30,266.42999267578125
2024-05-31,267.6700134277344
2024-06-03,258.3500061035156
2024-06-04,257.9200134277344
2024-06-05,258.4200134277344
2024-06-06,261.5
2024-06-07,259.010009765625
2024-06-10,259.19000244140625
2024-06-11,256.6199951171875
2024-06-12,253.6699981689453
2024-06-13,252.0
2024-06-14,249.66000366210938
2024-06-17,252.10000610351562
2024-06-18,252.4499969482422
2024-06-20,262.45001220703125
2024-06-21,267.1499938964844
2024-06-24,269.6700134277344
