Date,ABNB
2023-07-03,132.35000610351562
2023-07-05,131.69000244140625
2023-07-06,128.16000366210938
2023-07-07,130.32000732421875
2023-07-10,131.7100067138672
2023-07-11,137.5399932861328
2023-07-12,137.02000427246094
2023-07-13,140.08999633789062
2023-07-14,143.33999633789062
2023-07-17,145.36000061035156
2023-07-18,146.52999877929688
2023-07-19,145.53500366210938
2023-07-20,145.27999877929688
2023-07-21,148.77000427246094
2023-07-24,147.6199951171875
2023-07-25,148.64999389648438
2023-07-26,150.1699981689453
2023-07-27,148.5
2023-07-28,153.3300018310547
2023-07-31,152.19000244140625
2023-08-01,148.91000366210938
2023-08-02,144.55999755859375
2023-08-03,140.8800048828125
2023-08-04,140.1699981689453
2023-08-07,143.1999969482422
2023-08-08,139.5500030517578
2023-08-09,137.8699951171875
2023-08-10,135.97000122070312
2023-08-11,133.67999267578125
2023-08-14,133.24000549316406
2023-08-15,129.85000610351562
2023-08-16,128.8300018310547
2023-08-17,127.98999786376953
2023-08-18,125.05999755859375
2023-08-21,124.0
2023-08-22,127.08000183105469
2023-08-23,128.1300048828125
2023-08-24,124.72000122070312
2023-08-25,125.79000091552734
2023-08-28,126.15499877929688
2023-08-29,132.25
2023-08-30,130.61000061035156
2023-08-31,131.5500030517578
2023-09-01,132.69000244140625
2023-09-05,142.2899932861328
2023-09-06,141.77000427246094
2023-09-07,143.27000427246094
2023-09-08,145.82000732421875
2023-09-11,147.3300018310547
2023-09-12,147.5
2023-09-13,144.71499633789062
2023-09-14,144.1199951171875
2023-09-15,142.75
2023-09-18,142.5500030517578
2023-09-19,141.85000610351562
2023-09-20,138.00999450683594
2023-09-21,132.75
2023-09-22,132.1999969482422
2023-09-25,134.13999938964844
2023-09-26,132.27999877929688
2023-09-27,134.02999877929688
2023-09-28,136.47000122070312
2023-09-29,137.2100067138672
2023-10-02,136.55999755859375
2023-10-03,127.7300033569336
2023-10-04,127.41000366210938
2023-10-05,124.98999786376953
2023-10-06,126.36000061035156
2023-10-09,127.7699966430664
2023-10-10,131.58999633789062
2023-10-11,130.0
2023-10-12,125.97000122070312
2023-10-13,124.08000183105469
2023-10-16,125.19000244140625
2023-10-17,125.70999908447266
2023-10-18,122.16999816894531
2023-10-19,119.97000122070312
2023-10-20,116.48999786376953
2023-10-23,120.38999938964844
2023-10-24,122.01000213623047
2023-10-25,118.5
2023-10-26,115.47000122070312
2023-10-27,114.08999633789062
2023-10-30,116.94999694824219
2023-10-31,118.29000091552734
2023-11-01,119.47000122070312
2023-11-02,115.5
2023-11-03,122.63999938964844
2023-11-06,118.16999816894531
2023-11-07,121.08000183105469
2023-11-08,117.66000366210938
2023-11-09,115.5199966430664
2023-11-10,118.1500015258789
2023-11-13,119.1500015258789
2023-11-14,126.68000030517578
2023-11-15,128.35000610351562
2023-11-16,126.27999877929688
2023-11-17,127.1500015258789
2023-11-20,129.6999969482422
2023-11-21,126.81999969482422
2023-11-22,129.0399932861328
2023-11-24,128.3699951171875
2023-11-27,129.0
2023-11-28,127.55999755859375
2023-11-29,126.4800033569336
2023-11-30,126.33999633789062
2023-12-01,135.02000427246094
2023-12-04,133.6999969482422
2023-12-05,133.7100067138672
2023-12-06,135.30999755859375
2023-12-07,139.83999633789062
2023-12-08,140.67999267578125
2023-12-11,142.91000366210938
2023-12-12,140.5500030517578
2023-12-13,144.50999450683594
2023-12-14,147.25999450683594
2023-12-15,146.60000610351562
2023-12-18,147.5
2023-12-19,146.91000366210938
2023-12-20,141.07000732421875
2023-12-21,142.08999633789062
2023-12-22,140.8000030517578
2023-12-26,138.72000122070312
2023-12-27,136.5500030517578
2023-12-28,137.0
2023-12-29,136.13999938964844
2024-01-02,134.47999572753906
2024-01-03,133.4199981689453
2024-01-04,133.72000122070312
2024-01-05,135.97999572753906
2024-01-08,140.0800018310547
2024-01-09,139.52999877929688
2024-01-10,139.75999450683594
2024-01-11,139.4499969482422
2024-01-12,137.13999938964844
2024-01-16,135.02000427246094
2024-01-17,134.97999572753906
2024-01-18,137.0399932861328
2024-01-19,139.92999267578125
2024-01-22,142.00999450683594
2024-01-23,142.3000030517578
2024-01-24,141.19000244140625
2024-01-25,142.11000061035156
2024-01-26,149.6199951171875
2024-01-29,152.6999969482422
2024-01-30,149.44000244140625
2024-01-31,144.13999938964844
2024-02-01,146.49000549316406
2024-02-02,146.5500030517578
2024-02-05,144.77999877929688
2024-02-06,144.52999877929688
2024-02-07,147.5500030517578
2024-02-08,150.5399932861328
2024-02-09,147.59500122070312
2024-02-12,153.8000030517578
2024-02-13,150.82000732421875
2024-02-14,148.1999969482422
2024-02-15,157.69000244140625
2024-02-16,152.50999450683594
2024-02-20,148.14999389648438
2024-02-21,149.24000549316406
2024-02-22,155.25999450683594
2024-02-23,152.66000366210938
2024-02-26,149.27000427246094
2024-02-27,152.05999755859375
2024-02-28,153.42999267578125
2024-02-29,157.47000122070312
2024-03-01,159.72000122070312
2024-03-04,158.08999633789062
2024-03-05,159.3300018310547
2024-03-06,163.8699951171875
2024-03-07,163.5399932861328
2024-03-08,164.91000366210938
2024-03-11,162.99000549316406
2024-03-12,166.6699981689453
2024-03-13,164.75999450683594
2024-03-14,166.44000244140625
2024-03-15,160.63999938964844
2024-03-18,161.86000061035156
2024-03-19,161.7899932861328
