Date,IBM
2015-07-01,157.25621032714844
2015-07-02,157.829833984375
2015-07-06,157.48565673828125
2015-07-07,157.74378967285156
2015-07-08,155.98471069335938
2015-07-09,156.6443634033203
2015-07-10,159.6080322265625
2015-07-13,161.93116760253906
2015-07-14,161.1950225830078
2015-07-15,161.11854553222656
2015-07-16,163.47991943359375
2015-07-17,164.92352294921875
2015-07-20,165.602294921875
2015-07-21,155.89866638183594
2015-07-22,153.29827880859375
2015-07-23,154.61758422851562
2015-07-24,152.72467041015625
2015-07-27,152.07456970214844
2015-07-28,153.011474609375
2015-07-29,154.0057373046875
2015-07-30,153.88145446777344
2015-07-31,154.86614990234375
2015-08-03,151.73040771484375
2015-08-04,150.66921997070312
2015-08-05,150.95602416992188
2015-08-06,149.4455108642578
2015-08-07,148.29827880859375
2015-08-10,149.85659790039062
2015-08-11,148.67112731933594
2015-08-12,149.29254150390625
2015-08-13,148.25047302246094
2015-08-14,148.90057373046875
2015-08-17,149.43594360351562
2015-08-18,149.14913940429688
2015-08-19,147.170166015625
2015-08-20,145.9464569091797
2015-08-21,142.30401611328125
2015-08-24,137.16061401367188
2015-08-25,134.76100158691406
2015-08-26,140.24856567382812
2015-08-27,142.0076446533203
2015-08-28,141.47227478027344
2015-08-31,141.38623046875
2015-09-01,136.4053497314453
2015-09-02,138.67112731933594
2015-09-03,140.32504272460938
2015-09-04,137.3804931640625
2015-09-08,140.75526428222656
2015-09-09,138.67112731933594
2015-09-10,139.7705535888672
2015-09-11,140.88909912109375
2015-09-14,139.24473571777344
2015-09-15,141.0420684814453
2015-09-16,141.88336181640625
2015-09-17,141.625244140625
2015-09-18,138.15487670898438
2015-09-21,140.03823852539062
2015-09-22,138.07839965820312
2015-09-23,137.34225463867188
2015-09-24,138.0592803955078
2015-09-25,139.0248565673828
2015-09-28,136.2523956298828
2015-09-29,136.20458984375
2015-09-30,138.5946502685547
2015-10-01,137.27532958984375
2015-10-02,138.2218017578125
2015-10-05,142.48565673828125
2015-10-06,142.23709106445312
2015-10-07,143.48948669433594
2015-10-08,145.5831756591797
2015-10-09,145.68833923339844
2015-10-12,144.49330139160156
2015-10-13,143.04014587402344
2015-10-14,143.41299438476562
2015-10-15,143.48948669433594
2015-10-16,143.7762908935547
2015-10-19,142.65774536132812
2015-10-20,134.45506286621094
2015-10-21,134.72274780273438
2015-10-22,137.7533416748047
2015-10-23,138.31739807128906
2015-10-26,137.34225463867188
2015-10-27,131.7973175048828
2015-10-28,134.63670349121094
2015-10-29,134.3690185546875
2015-10-30,133.91969299316406
2015-11-02,134.1969451904297
2015-11-03,135.64053344726562
2015-11-04,135.4015350341797
2015-11-05,133.73805236816406
2015-11-06,132.170166015625
2015-11-09,129.35946655273438
2015-11-10,129.51242065429688
2015-11-11,129.08221435546875
2015-11-12,127.18929290771484
2015-11-13,125.95602416992188
2015-11-16,127.82982635498047
2015-11-17,127.93498992919922
2015-11-18,129.84703063964844
2015-11-19,130.72657775878906
2015-11-20,132.4091796875
2015-11-23,132.37094116210938
2015-11-24,132.50477600097656
2015-11-25,131.93116760253906
2015-11-27,132.37094116210938
2015-11-30,133.28871154785156
2015-12-01,135.06692504882812
2015-12-02,133.55641174316406
2015-12-03,132.81069946289062
2015-12-04,134.25430297851562
2015-12-07,133.41299438476562
2015-12-08,131.97897338867188
2015-12-09,130.602294921875
2015-12-10,130.7648162841797
2015-12-11,128.65200805664062
2015-12-14,129.9521942138672
2015-12-15,131.73040771484375
2015-12-16,133.1644287109375
2015-12-17,130.73614501953125
2015-12-18,128.96749877929688
2015-12-21,129.54110717773438
2015-12-22,131.86424255371094
