Date,COIN
2025-01-02,257.2099914550781
2025-01-03,270.6499938964844
2025-01-06,287.760009765625
2025-01-07,264.3299865722656
2025-01-08,260.010009765625
2025-01-10,258.7799987792969
2025-01-13,251.1999969482422
2025-01-14,255.3699951171875
2025-01-15,274.92999267578125
2025-01-16,281.6300048828125
2025-01-17,295.4800109863281
2025-01-21,294.19000244140625
2025-01-22,295.8500061035156
2025-01-23,296.010009765625
2025-01-24,298.0
2025-01-27,277.989990234375
2025-01-28,281.82000732421875
2025-01-29,291.0
2025-01-30,301.29998779296875
2025-01-31,291.3299865722656
2025-02-03,284.4100036621094
2025-02-04,280.3900146484375
2025-02-05,275.1400146484375
2025-02-06,270.3699951171875
2025-02-07,274.489990234375
2025-02-10,280.2200012207031
2025-02-11,266.8999938964844
2025-02-12,274.8999938964844
2025-02-13,298.1099853515625
2025-02-14,274.30999755859375
2025-02-18,264.6300048828125
2025-02-19,258.6700134277344
2025-02-20,256.5899963378906
2025-02-21,235.3800048828125
2025-02-24,227.07000732421875
2025-02-25,212.49000549316406
2025-02-26,212.9600067138672
2025-02-27,208.3699951171875
2025-02-28,215.6199951171875
2025-03-03,205.75
2025-03-04,212.5500030517578
2025-03-05,222.4499969482422
2025-03-06,214.1699981689453
2025-03-07,217.4499969482422
2025-03-10,179.22999572753906
2025-03-11,191.69000244140625
2025-03-12,191.72999572753906
2025-03-13,177.49000549316406
2025-03-14,183.1199951171875
2025-03-17,188.9600067138672
2025-03-18,181.13999938964844
2025-03-19,189.75
2025-03-20,190.3800048828125
2025-03-21,189.86000061035156
2025-03-24,203.0399932861328
2025-03-25,204.22999572753906
2025-03-26,193.9499969482422
2025-03-27,188.5800018310547
2025-03-28,173.92999267578125
2025-03-31,172.22999572753906
2025-04-01,174.52000427246094
2025-04-02,182.9499969482422
2025-04-03,170.75999450683594
2025-04-04,160.5500030517578
2025-04-07,157.27999877929688
2025-04-08,151.47000122070312
2025-04-09,177.08999633789062
2025-04-10,169.6199951171875
2025-04-11,175.5
2025-04-14,176.5800018310547
2025-04-15,175.57000732421875
2025-04-16,172.2100067138672
2025-04-17,175.02999877929688
2025-04-21,175.0
2025-04-22,190.0
2025-04-23,194.8000030517578
2025-04-24,203.8699951171875
2025-04-25,209.63999938964844
2025-04-28,205.27000427246094
2025-04-29,206.1300048828125
2025-04-30,202.88999938964844
2025-05-01,201.3000030517578
2025-05-02,204.92999267578125
2025-05-05,199.39999389648438
2025-05-06,196.88999938964844
2025-05-07,196.55999755859375
2025-05-08,206.5
2025-05-09,199.32000732421875
2025-05-12,207.22000122070312
2025-05-13,256.8999938964844
2025-05-14,263.4100036621094
2025-05-15,244.44000244140625
2025-05-16,266.4599914550781
2025-05-19,263.989990234375
2025-05-20,261.3800048828125
2025-05-21,258.989990234375
2025-05-22,271.95001220703125
2025-05-23,263.1600036621094
2025-05-27,266.3999938964844
2025-05-28,254.2899932861328
2025-05-29,248.83999633789062
2025-05-30,246.6199951171875
2025-06-02,246.72000122070312
2025-06-03,258.9100036621094
2025-06-04,256.0
2025-06-05,244.1999969482422
2025-06-06,251.27000427246094
2025-06-09,256.6300048828125
2025-06-10,254.94000244140625
2025-06-11,250.67999267578125
2025-06-12,241.0500030517578
2025-06-13,242.7100067138672
2025-06-16,261.57000732421875
2025-06-17,253.85000610351562
2025-06-18,295.2900085449219
2025-06-20,308.3800048828125
2025-06-23,307.5899963378906
