Date,JBL
2023-07-03,108.83000183105469
2023-07-05,108.83999633789062
2023-07-06,108.05999755859375
2023-07-07,109.19000244140625
2023-07-10,111.30999755859375
2023-07-11,111.63999938964844
2023-07-12,110.80000305175781
2023-07-13,112.86000061035156
2023-07-14,111.61000061035156
2023-07-17,112.7699966430664
2023-07-18,114.83999633789062
2023-07-19,115.13999938964844
2023-07-20,113.41000366210938
2023-07-21,112.4000015258789
2023-07-24,111.5
2023-07-25,111.97000122070312
2023-07-26,110.8499984741211
2023-07-27,108.94999694824219
2023-07-28,108.93000030517578
2023-07-31,110.66999816894531
2023-08-01,108.95999908447266
2023-08-02,108.19999694824219
2023-08-03,108.8499984741211
2023-08-04,108.62999725341797
2023-08-07,108.80000305175781
2023-08-08,108.30999755859375
2023-08-09,107.22000122070312
2023-08-10,106.62999725341797
2023-08-11,105.83000183105469
2023-08-14,106.91000366210938
2023-08-15,105.91999816894531
2023-08-16,103.44999694824219
2023-08-17,102.38999938964844
2023-08-18,102.41000366210938
2023-08-21,102.87000274658203
2023-08-22,103.31999969482422
2023-08-23,104.72000122070312
2023-08-24,103.61000061035156
2023-08-25,103.22000122070312
2023-08-28,112.37000274658203
2023-08-29,115.4000015258789
2023-08-30,115.7699966430664
2023-08-31,114.41999816894531
2023-09-01,115.41999816894531
2023-09-05,112.76000213623047
2023-09-06,111.68000030517578
2023-09-07,108.6500015258789
2023-09-08,107.33000183105469
2023-09-11,107.62000274658203
2023-09-12,107.20999908447266
2023-09-13,107.41000366210938
2023-09-14,108.68000030517578
2023-09-15,106.05999755859375
2023-09-18,106.83000183105469
2023-09-19,107.0999984741211
2023-09-20,107.33000183105469
2023-09-21,105.37000274658203
2023-09-22,107.5999984741211
2023-09-25,107.7300033569336
2023-09-26,105.0
2023-09-27,105.18000030517578
2023-09-28,124.94999694824219
2023-09-29,126.88999938964844
2023-10-02,128.8699951171875
2023-10-03,127.58000183105469
2023-10-04,130.22999572753906
2023-10-05,129.0
2023-10-06,129.9499969482422
2023-10-09,134.0
2023-10-10,134.3300018310547
2023-10-11,138.5
2023-10-12,139.1199951171875
2023-10-13,135.97999572753906
2023-10-16,137.13999938964844
2023-10-17,137.4199981689453
2023-10-18,135.39999389648438
2023-10-19,130.33999633789062
2023-10-20,125.0199966430664
2023-10-23,124.2300033569336
2023-10-24,124.47000122070312
2023-10-25,121.77999877929688
2023-10-26,121.91999816894531
2023-10-27,122.55000305175781
2023-10-30,120.41999816894531
2023-10-31,122.80000305175781
2023-11-01,124.81999969482422
2023-11-02,124.94000244140625
2023-11-03,128.39999389648438
2023-11-06,127.16000366210938
2023-11-07,126.30000305175781
2023-11-08,126.58999633789062
2023-11-09,125.62999725341797
2023-11-10,128.25999450683594
2023-11-13,129.57000732421875
2023-11-14,131.8800048828125
2023-11-15,132.72999572753906
2023-11-16,130.77999877929688
2023-11-17,131.38999938964844
2023-11-20,132.4199981689453
2023-11-21,130.97000122070312
2023-11-22,130.5
2023-11-24,131.1699981689453
2023-11-27,131.32000732421875
2023-11-28,130.67999267578125
2023-11-29,115.23999786376953
2023-11-30,115.31999969482422
2023-12-01,116.91000366210938
2023-12-04,115.3499984741211
2023-12-05,114.26000213623047
2023-12-06,114.38999938964844
2023-12-07,116.41999816894531
2023-12-08,119.0
2023-12-11,120.98999786376953
2023-12-12,120.1500015258789
2023-12-13,120.5999984741211
2023-12-14,136.4199981689453
2023-12-15,132.91000366210938
2023-12-18,130.2100067138672
2023-12-19,131.22999572753906
2023-12-20,128.58999633789062
2023-12-21,128.75
2023-12-22,127.87999725341797
2023-12-26,128.4499969482422
2023-12-27,127.44999694824219
