Date,AEE
2015-07-01,37.97999954223633
2015-07-02,38.5
2015-07-06,38.560001373291016
2015-07-07,39.599998474121094
2015-07-08,39.279998779296875
2015-07-09,38.68000030517578
2015-07-10,39.02000045776367
2015-07-13,38.90999984741211
2015-07-14,38.86000061035156
2015-07-15,38.9900016784668
2015-07-16,39.65999984741211
2015-07-17,39.38999938964844
2015-07-20,39.119998931884766
2015-07-21,38.70000076293945
2015-07-22,38.65999984741211
2015-07-23,38.27000045776367
2015-07-24,38.529998779296875
2015-07-27,39.02000045776367
2015-07-28,39.34000015258789
2015-07-29,39.650001525878906
2015-07-30,39.77000045776367
2015-07-31,41.08000183105469
2015-08-03,41.59000015258789
2015-08-04,41.0099983215332
2015-08-05,41.36000061035156
2015-08-06,41.689998626708984
2015-08-07,42.119998931884766
2015-08-10,41.81999969482422
2015-08-11,42.099998474121094
2015-08-12,42.650001525878906
2015-08-13,42.619998931884766
2015-08-14,42.7400016784668
2015-08-17,43.400001525878906
2015-08-18,43.20000076293945
2015-08-19,43.54999923706055
2015-08-20,43.310001373291016
2015-08-21,42.5099983215332
2015-08-24,40.68000030517578
2015-08-25,39.77000045776367
2015-08-26,40.54999923706055
2015-08-27,41.02000045776367
2015-08-28,41.06999969482422
2015-08-31,40.290000915527344
2015-09-01,39.119998931884766
2015-09-02,39.08000183105469
2015-09-03,39.25
2015-09-04,38.560001373291016
2015-09-08,38.97999954223633
2015-09-09,38.459999084472656
2015-09-10,38.43000030517578
2015-09-11,38.81999969482422
2015-09-14,38.97999954223633
2015-09-15,39.20000076293945
2015-09-16,39.689998626708984
2015-09-17,40.540000915527344
2015-09-18,40.369998931884766
2015-09-21,40.81999969482422
2015-09-22,40.5
2015-09-23,40.79999923706055
2015-09-24,41.04999923706055
2015-09-25,41.369998931884766
2015-09-28,41.540000915527344
2015-09-29,41.689998626708984
2015-09-30,42.27000045776367
2015-10-01,41.779998779296875
2015-10-02,42.31999969482422
2015-10-05,42.619998931884766
2015-10-06,42.310001373291016
2015-10-07,42.209999084472656
2015-10-08,43.119998931884766
2015-10-09,43.119998931884766
2015-10-12,43.720001220703125
2015-10-13,43.650001525878906
2015-10-14,43.38999938964844
2015-10-15,43.939998626708984
2015-10-16,44.099998474121094
2015-10-19,44.290000915527344
2015-10-20,44.31999969482422
2015-10-21,44.150001525878906
2015-10-22,44.5
2015-10-23,43.9900016784668
2015-10-26,44.40999984741211
2015-10-27,44.4900016784668
2015-10-28,44.029998779296875
2015-10-29,43.40999984741211
2015-10-30,43.68000030517578
2015-11-02,43.91999816894531
2015-11-03,43.869998931884766
2015-11-04,44.209999084472656
2015-11-05,44.02000045776367
2015-11-06,42.54999923706055
2015-11-09,43.13999938964844
2015-11-10,43.810001373291016
2015-11-11,44.220001220703125
2015-11-12,43.5
2015-11-13,43.130001068115234
2015-11-16,43.93000030517578
2015-11-17,42.86000061035156
2015-11-18,43.220001220703125
2015-11-19,43.70000076293945
2015-11-20,44.11000061035156
2015-11-23,43.34000015258789
2015-11-24,43.220001220703125
2015-11-25,43.15999984741211
2015-11-27,43.310001373291016
2015-11-30,43.7599983215332
