Date,SCHW
2015-07-01,33.119998931884766
2015-07-02,32.849998474121094
2015-07-06,32.5
2015-07-07,32.38999938964844
2015-07-08,31.530000686645508
2015-07-09,32.18000030517578
2015-07-10,32.83000183105469
2015-07-13,33.470001220703125
2015-07-14,33.77000045776367
2015-07-15,33.650001525878906
2015-07-16,34.7599983215332
2015-07-17,34.790000915527344
2015-07-20,34.9900016784668
2015-07-21,34.93000030517578
2015-07-22,35.25
2015-07-23,34.959999084472656
2015-07-24,34.810001373291016
2015-07-27,34.08000183105469
2015-07-28,34.47999954223633
2015-07-29,34.81999969482422
2015-07-30,35.189998626708984
2015-07-31,34.880001068115234
2015-08-03,34.70000076293945
2015-08-04,35.209999084472656
2015-08-05,35.380001068115234
2015-08-06,35.099998474121094
2015-08-07,35.029998779296875
2015-08-10,35.41999816894531
2015-08-11,34.7400016784668
2015-08-12,33.849998474121094
2015-08-13,34.060001373291016
2015-08-14,34.33000183105469
2015-08-17,34.040000915527344
2015-08-18,33.91999816894531
2015-08-19,33.099998474121094
2015-08-20,32.189998626708984
2015-08-21,30.93000030517578
2015-08-24,29.549999237060547
2015-08-25,28.799999237060547
2015-08-26,29.739999771118164
2015-08-27,30.360000610351562
2015-08-28,30.700000762939453
2015-08-31,30.3799991607666
2015-09-01,29.09000015258789
2015-09-02,29.399999618530273
2015-09-03,29.760000228881836
2015-09-04,29.100000381469727
2015-09-08,31.100000381469727
2015-09-09,30.579999923706055
2015-09-10,30.600000381469727
2015-09-11,30.489999771118164
2015-09-14,30.229999542236328
2015-09-15,30.81999969482422
2015-09-16,31.110000610351562
2015-09-17,29.780000686645508
2015-09-18,28.450000762939453
2015-09-21,29.049999237060547
2015-09-22,28.329999923706055
2015-09-23,28.479999542236328
2015-09-24,27.8799991607666
2015-09-25,28.420000076293945
2015-09-28,27.280000686645508
2015-09-29,27.579999923706055
2015-09-30,28.559999465942383
2015-10-01,28.549999237060547
2015-10-02,27.600000381469727
2015-10-05,28.3700008392334
2015-10-06,27.65999984741211
2015-10-07,28.1299991607666
2015-10-08,28.329999923706055
2015-10-09,28.219999313354492
2015-10-12,28.389999389648438
2015-10-13,28.09000015258789
2015-10-14,27.780000686645508
2015-10-15,28.600000381469727
2015-10-16,28.68000030517578
2015-10-19,28.5
2015-10-20,29.350000381469727
2015-10-21,28.860000610351562
2015-10-22,29.450000762939453
2015-10-23,30.43000030517578
2015-10-26,30.450000762939453
2015-10-27,29.850000381469727
2015-10-28,30.940000534057617
2015-10-29,31.0
2015-10-30,30.520000457763672
2015-11-02,31.3700008392334
2015-11-03,31.489999771118164
2015-11-04,31.440000534057617
2015-11-05,31.56999969482422
2015-11-06,33.5099983215332
2015-11-09,33.4900016784668
2015-11-10,33.33000183105469
