Date,GME
2015-07-01,11.029999732971191
2015-07-02,10.890000343322754
2015-07-06,11.079999923706055
2015-07-07,11.507499694824219
2015-07-08,11.4350004196167
2015-07-09,11.725000381469727
2015-07-10,11.739999771118164
2015-07-13,11.837499618530273
2015-07-14,11.682499885559082
2015-07-15,11.604999542236328
2015-07-16,11.807499885559082
2015-07-17,11.667499542236328
2015-07-20,11.707500457763672
2015-07-21,11.734999656677246
2015-07-22,11.800000190734863
2015-07-23,11.734999656677246
2015-07-24,11.3725004196167
2015-07-27,11.329999923706055
2015-07-28,11.319999694824219
2015-07-29,11.467499732971191
2015-07-30,11.539999961853027
2015-07-31,11.462499618530273
2015-08-03,11.237500190734863
2015-08-04,11.392499923706055
2015-08-05,11.59749984741211
2015-08-06,11.337499618530273
2015-08-07,11.292499542236328
2015-08-10,11.452500343322754
2015-08-11,11.430000305175781
2015-08-12,11.404999732971191
2015-08-13,11.524999618530273
2015-08-14,11.859999656677246
2015-08-17,11.737500190734863
2015-08-18,11.7475004196167
2015-08-19,11.612500190734863
2015-08-20,11.307499885559082
2015-08-21,11.207500457763672
2015-08-24,10.739999771118164
2015-08-25,10.97249984741211
2015-08-26,11.34000015258789
2015-08-27,11.550000190734863
2015-08-28,10.6225004196167
2015-08-31,10.619999885559082
2015-09-01,10.295000076293945
2015-09-02,10.452500343322754
2015-09-03,10.427499771118164
2015-09-04,10.3125
2015-09-08,10.447500228881836
2015-09-09,10.447500228881836
2015-09-10,10.587499618530273
2015-09-11,10.694999694824219
2015-09-14,10.792499542236328
2015-09-15,10.75
2015-09-16,10.994999885559082
2015-09-17,10.90250015258789
2015-09-18,10.567500114440918
2015-09-21,10.430000305175781
2015-09-22,10.337499618530273
2015-09-23,10.270000457763672
2015-09-24,10.300000190734863
2015-09-25,10.25
2015-09-28,10.074999809265137
2015-09-29,10.107500076293945
2015-09-30,10.302499771118164
2015-10-01,10.130000114440918
2015-10-02,10.375
2015-10-05,10.619999885559082
2015-10-06,10.835000038146973
2015-10-07,10.859999656677246
2015-10-08,10.994999885559082
2015-10-09,11.102499961853027
2015-10-12,10.984999656677246
2015-10-13,10.880000114440918
2015-10-14,10.762499809265137
2015-10-15,10.982500076293945
2015-10-16,11.114999771118164
2015-10-19,11.180000305175781
2015-10-20,11.274999618530273
2015-10-21,11.510000228881836
2015-10-22,11.744999885559082
2015-10-23,11.337499618530273
2015-10-26,11.167499542236328
2015-10-27,11.0625
2015-10-28,11.387499809265137
2015-10-29,11.427499771118164
2015-10-30,11.517499923706055
2015-11-02,11.545000076293945
2015-11-03,11.6875
2015-11-04,11.712499618530273
2015-11-05,11.734999656677246
2015-11-06,11.704999923706055
2015-11-09,11.375
2015-11-10,11.484999656677246
2015-11-11,11.145000457763672
2015-11-12,11.132499694824219
2015-11-13,9.295000076293945
2015-11-16,9.522500038146973
2015-11-17,9.289999961853027
2015-11-18,9.452500343322754
2015-11-19,9.614999771118164
2015-11-20,9.8149995803833
2015-11-23,9.40250015258789
2015-11-24,9.477499961853027
2015-11-25,9.15999984741211
2015-11-27,9.0024995803833
2015-11-30,8.757499694824219
2015-12-01,8.675000190734863
2015-12-02,8.467499732971191
2015-12-03,8.194999694824219
2015-12-04,8.324999809265137
2015-12-07,8.267499923706055
2015-12-08,8.4350004196167
2015-12-09,8.109999656677246
2015-12-10,8.0024995803833
2015-12-11,7.5
2015-12-14,7.567500114440918
2015-12-15,7.635000228881836
2015-12-16,7.639999866485596
2015-12-17,7.262499809265137
2015-12-18,7.190000057220459
2015-12-21,7.1875
2015-12-22,7.150000095367432
2015-12-23,7.1875
2015-12-24,7.09250020980835
2015-12-28,7.117499828338623
2015-12-29,7.107500076293945
2015-12-30,7.119999885559082
