Date,CSGP
2022-07-01,61.31999969482422
2022-07-05,61.869998931884766
2022-07-06,62.06999969482422
2022-07-07,61.68000030517578
2022-07-08,61.79999923706055
2022-07-11,61.459999084472656
2022-07-12,59.70000076293945
2022-07-13,59.29999923706055
2022-07-14,57.939998626708984
2022-07-15,59.90999984741211
2022-07-18,59.08000183105469
2022-07-19,61.130001068115234
2022-07-20,62.29999923706055
2022-07-21,62.59000015258789
2022-07-22,61.810001373291016
2022-07-25,61.59000015258789
2022-07-26,60.70000076293945
2022-07-27,69.68000030517578
2022-07-28,70.91999816894531
2022-07-29,72.58999633789062
2022-08-01,71.16000366210938
2022-08-02,70.98999786376953
2022-08-03,72.5199966430664
2022-08-04,72.87000274658203
2022-08-05,72.87000274658203
2022-08-08,72.87000274658203
2022-08-09,72.88999938964844
2022-08-10,74.7300033569336
2022-08-11,73.86000061035156
2022-08-12,75.05999755859375
2022-08-15,75.38999938964844
2022-08-16,75.12999725341797
2022-08-17,73.5
2022-08-18,73.5
2022-08-19,71.73999786376953
2022-08-22,71.56999969482422
2022-08-23,71.44000244140625
2022-08-24,71.05000305175781
2022-08-25,72.5
2022-08-26,70.31999969482422
2022-08-29,69.88999938964844
2022-08-30,69.70999908447266
2022-08-31,69.63999938964844
2022-09-01,69.98999786376953
2022-09-02,70.88999938964844
2022-09-06,76.19999694824219
2022-09-07,78.06999969482422
2022-09-08,78.55999755859375
2022-09-09,78.41999816894531
2022-09-12,78.44000244140625
2022-09-13,76.63999938964844
2022-09-14,73.97000122070312
2022-09-15,72.48999786376953
2022-09-16,70.44999694824219
2022-09-19,72.06999969482422
2022-09-20,70.77999877929688
2022-09-21,69.6500015258789
2022-09-22,70.0999984741211
2022-09-23,69.56999969482422
2022-09-26,69.58999633789062
2022-09-27,70.01000213623047
2022-09-28,72.2300033569336
2022-09-29,70.69000244140625
2022-09-30,69.6500015258789
2022-10-03,71.98999786376953
2022-10-04,73.7699966430664
2022-10-05,74.4000015258789
2022-10-06,75.20999908447266
2022-10-07,73.47000122070312
2022-10-10,72.70999908447266
2022-10-11,72.37000274658203
2022-10-12,71.44999694824219
2022-10-13,71.66999816894531
