Date,HII
2018-01-02,228.00999450683594
2018-01-03,229.38999938964844
2018-01-04,232.66000366210938
2018-01-05,233.75
2018-01-08,236.0399932861328
2018-01-09,239.1999969482422
2018-01-10,237.3300018310547
2018-01-11,239.27000427246094
2018-01-12,247.42999267578125
2018-01-16,235.14999389648438
2018-01-17,237.24000549316406
2018-01-18,236.8800048828125
2018-01-19,242.1199951171875
2018-01-22,238.8800048828125
2018-01-23,235.0399932861328
2018-01-24,238.13999938964844
2018-01-25,241.25
2018-01-26,247.75999450683594
2018-01-29,247.6999969482422
2018-01-30,244.7899932861328
2018-01-31,237.5399932861328
2018-02-01,241.47000122070312
2018-02-02,243.77000427246094
2018-02-05,228.61000061035156
2018-02-06,227.6699981689453
2018-02-07,234.82000732421875
2018-02-08,225.3699951171875
2018-02-09,230.30999755859375
2018-02-12,234.92999267578125
2018-02-13,237.4600067138672
2018-02-14,241.39999389648438
2018-02-15,255.38999938964844
2018-02-16,265.70001220703125
2018-02-20,266.1099853515625
2018-02-21,270.8800048828125
2018-02-22,262.8299865722656
2018-02-23,265.0199890136719
2018-02-26,266.1700134277344
2018-02-27,262.760009765625
2018-02-28,262.010009765625
2018-03-01,260.30999755859375
2018-03-02,260.8500061035156
2018-03-05,260.0799865722656
2018-03-06,258.6199951171875
2018-03-07,259.54998779296875
2018-03-08,260.95001220703125
2018-03-09,264.0299987792969
2018-03-12,258.1600036621094
2018-03-13,258.6700134277344
2018-03-14,255.50999450683594
2018-03-15,253.8699951171875
2018-03-16,254.08999633789062
2018-03-19,254.0
2018-03-20,256.5199890136719
2018-03-21,255.6699981689453
2018-03-22,249.14999389648438
2018-03-23,253.97999572753906
2018-03-26,262.239990234375
2018-03-27,254.77999877929688
2018-03-28,253.17999267578125
2018-03-29,257.760009765625
2018-04-02,253.41000366210938
2018-04-03,259.1300048828125
2018-04-04,259.9100036621094
2018-04-05,260.989990234375
2018-04-06,256.30999755859375
2018-04-09,257.1400146484375
2018-04-10,254.8000030517578
2018-04-11,254.52000427246094
2018-04-12,257.2099914550781
2018-04-13,256.6700134277344
2018-04-16,258.70001220703125
2018-04-17,260.989990234375
2018-04-18,263.79998779296875
2018-04-19,265.5899963378906
2018-04-20,263.55999755859375
2018-04-23,264.9700012207031
2018-04-24,255.77999877929688
2018-04-25,252.5
2018-04-26,251.5
2018-04-27,245.77000427246094
2018-04-30,243.2100067138672
2018-05-01,234.72000122070312
2018-05-02,231.75999450683594
2018-05-03,207.3300018310547
2018-05-04,210.66000366210938
2018-05-07,215.83999633789062
2018-05-08,221.80999755859375
2018-05-09,221.5399932861328
2018-05-10,222.39999389648438
2018-05-11,220.1699981689453
2018-05-14,218.4499969482422
2018-05-15,218.32000732421875
2018-05-16,220.58999633789062
2018-05-17,220.8800048828125
2018-05-18,221.6699981689453
2018-05-21,222.75
2018-05-22,220.74000549316406
2018-05-23,222.4600067138672
2018-05-24,227.49000549316406
2018-05-25,224.72999572753906
2018-05-29,219.44000244140625
2018-05-30,222.69000244140625
2018-05-31,221.07000732421875
2018-06-01,223.25999450683594
2018-06-04,224.27999877929688
2018-06-05,222.7100067138672
2018-06-06,225.17999267578125
2018-06-07,222.5500030517578
2018-06-08,226.35000610351562
2018-06-11,225.80999755859375
2018-06-12,221.7899932861328
2018-06-13,220.66000366210938
2018-06-14,219.9499969482422
2018-06-15,220.52000427246094
2018-06-18,221.75
2018-06-19,214.52999877929688
2018-06-20,213.91000366210938
2018-06-21,211.69000244140625
2018-06-22,212.9600067138672
2018-06-25,214.02000427246094
2018-06-26,214.08999633789062
