Date,TRGP
2022-07-01,61.0
2022-07-05,58.959999084472656
2022-07-06,56.279998779296875
2022-07-07,59.81999969482422
2022-07-08,59.720001220703125
2022-07-11,58.93000030517578
2022-07-12,59.04999923706055
2022-07-13,58.720001220703125
2022-07-14,57.79999923706055
2022-07-15,58.86000061035156
2022-07-18,60.5099983215332
2022-07-19,62.63999938964844
2022-07-20,63.18000030517578
2022-07-21,62.70000076293945
2022-07-22,61.709999084472656
2022-07-25,64.1500015258789
2022-07-26,65.41000366210938
2022-07-27,66.62000274658203
2022-07-28,67.3499984741211
2022-07-29,69.11000061035156
2022-08-01,68.41999816894531
2022-08-02,67.95999908447266
2022-08-03,67.5999984741211
2022-08-04,63.939998626708984
2022-08-05,63.720001220703125
2022-08-08,65.0
2022-08-09,67.0
2022-08-10,67.54000091552734
2022-08-11,70.38999938964844
2022-08-12,69.52999877929688
2022-08-15,68.16999816894531
2022-08-16,68.2300033569336
2022-08-17,67.44000244140625
2022-08-18,70.08999633789062
2022-08-19,68.88999938964844
2022-08-22,67.87999725341797
2022-08-23,69.70999908447266
2022-08-24,71.26000213623047
2022-08-25,72.19999694824219
2022-08-26,70.20999908447266
2022-08-29,71.11000061035156
2022-08-30,68.0999984741211
2022-08-31,68.2300033569336
2022-09-01,67.63999938964844
2022-09-02,69.62000274658203
2022-09-06,68.05000305175781
2022-09-07,68.18000030517578
2022-09-08,70.13999938964844
2022-09-09,71.86000061035156
2022-09-12,72.72000122070312
2022-09-13,69.05999755859375
2022-09-14,72.44999694824219
2022-09-15,72.1500015258789
2022-09-16,68.73999786376953
2022-09-19,69.36000061035156
2022-09-20,68.5199966430664
2022-09-21,66.88999938964844
2022-09-22,65.44999694824219
2022-09-23,59.75
2022-09-26,57.279998779296875
2022-09-27,58.20000076293945
2022-09-28,61.099998474121094
2022-09-29,60.79999923706055
2022-09-30,60.34000015258789
2022-10-03,62.97999954223633
2022-10-04,65.37000274658203
2022-10-05,66.12999725341797
2022-10-06,64.87000274658203
2022-10-07,63.77000045776367
2022-10-10,63.36000061035156
2022-10-11,65.8499984741211
2022-10-12,64.83999633789062
2022-10-13,68.37999725341797
2022-10-14,64.95999908447266
2022-10-17,66.08000183105469
2022-10-18,67.13999938964844
2022-10-19,67.12000274658203
2022-10-20,65.7699966430664
2022-10-21,67.79000091552734
2022-10-24,66.2699966430664
2022-10-25,66.72000122070312
2022-10-26,67.30999755859375
2022-10-27,67.9000015258789
2022-10-28,67.16000366210938
2022-10-31,68.37000274658203
2022-11-01,68.5
2022-11-02,67.0
2022-11-03,69.69000244140625
2022-11-04,70.37000274658203
2022-11-07,71.33999633789062
2022-11-08,72.19000244140625
2022-11-09,68.30999755859375
2022-11-10,71.58999633789062
2022-11-11,72.63999938964844
2022-11-14,71.91000366210938
2022-11-15,74.19000244140625
2022-11-16,72.1500015258789
2022-11-17,70.97000122070312
2022-11-18,72.33000183105469
2022-11-21,70.62999725341797
2022-11-22,74.02999877929688
2022-11-23,73.38999938964844
2022-11-25,73.30999755859375
2022-11-28,72.29000091552734
2022-11-29,73.72000122070312
2022-11-30,74.38999938964844
2022-12-01,74.94999694824219
2022-12-02,75.19000244140625
2022-12-05,72.0
2022-12-06,69.6500015258789
2022-12-07,68.56999969482422
2022-12-08,68.2699966430664
2022-12-09,68.62000274658203
2022-12-12,70.41999816894531
2022-12-13,72.73999786376953
2022-12-14,73.2699966430664
2022-12-15,71.11000061035156
2022-12-16,70.0999984741211
2022-12-19,69.04000091552734
2022-12-20,69.77999877929688
2022-12-21,72.08000183105469
2022-12-22,70.70999908447266
2022-12-23,73.36000061035156
2022-12-27,73.88999938964844
2022-12-28,71.94999694824219
2022-12-29,73.63999938964844
2022-12-30,73.5
2023-01-03,70.6500015258789
2023-01-04,71.02999877929688
2023-01-05,70.93000030517578
2023-01-06,73.0999984741211
2023-01-09,74.91999816894531
2023-01-10,74.38999938964844
2023-01-11,74.6500015258789
2023-01-12,75.41000366210938
2023-01-13,75.4000015258789
2023-01-17,75.13999938964844
2023-01-18,73.41999816894531
2023-01-19,74.87000274658203
2023-01-20,75.66000366210938
2023-01-23,75.5999984741211
2023-01-24,75.08999633789062
2023-01-25,75.30999755859375
2023-01-26,76.05000305175781
2023-01-27,75.3499984741211
2023-01-30,73.83999633789062
2023-01-31,75.0199966430664
2023-02-01,74.58000183105469
2023-02-02,74.7699966430664
2023-02-03,73.41000366210938
2023-02-06,72.52999877929688
2023-02-07,74.5999984741211
2023-02-08,75.16999816894531
2023-02-09,74.37999725341797
2023-02-10,76.75
2023-02-13,76.63999938964844
2023-02-14,77.22000122070312
2023-02-15,76.5
2023-02-16,76.08000183105469
2023-02-17,73.94000244140625
2023-02-21,73.29000091552734
2023-02-22,75.55999755859375
2023-02-23,76.47000122070312
2023-02-24,75.76000213623047
2023-02-27,75.26000213623047
2023-02-28,74.0999984741211
2023-03-01,76.29000091552734
2023-03-02,77.25
2023-03-03,79.23999786376953
2023-03-06,78.47000122070312
2023-03-07,77.02999877929688
2023-03-08,76.44999694824219
2023-03-09,75.19999694824219
2023-03-10,73.55000305175781
2023-03-13,72.20999908447266
2023-03-14,72.37000274658203
2023-03-15,68.1500015258789
2023-03-16,68.66999816894531
2023-03-17,67.47000122070312
2023-03-20,68.62000274658203
2023-03-21,70.94999694824219
2023-03-22,68.19999694824219
2023-03-23,66.8499984741211
2023-03-24,67.5199966430664
2023-03-27,69.83999633789062
2023-03-28,70.26000213623047
2023-03-29,71.16000366210938
2023-03-30,71.61000061035156
2023-03-31,72.94999694824219
2023-04-03,75.41000366210938
2023-04-04,74.68000030517578
2023-04-05,75.27999877929688
2023-04-06,74.93000030517578
2023-04-10,75.4000015258789
2023-04-11,76.31999969482422
