Date,VICI
2022-01-03,29.950000762939453
2022-01-04,30.149999618530273
2022-01-05,29.030000686645508
2022-01-06,28.989999771118164
2022-01-07,28.549999237060547
2022-01-10,28.709999084472656
2022-01-11,28.959999084472656
2022-01-12,28.809999465942383
2022-01-13,28.399999618530273
2022-01-14,28.540000915527344
2022-01-18,28.100000381469727
2022-01-19,27.799999237060547
2022-01-20,27.56999969482422
2022-01-21,27.18000030517578
2022-01-24,27.5
2022-01-25,27.719999313354492
2022-01-26,27.5
2022-01-27,27.59000015258789
2022-01-28,28.229999542236328
2022-01-31,28.6200008392334
2022-02-01,28.709999084472656
2022-02-02,28.770000457763672
2022-02-03,28.31999969482422
2022-02-04,28.139999389648438
2022-02-07,28.18000030517578
2022-02-08,28.15999984741211
2022-02-09,28.860000610351562
2022-02-10,28.3700008392334
2022-02-11,28.25
2022-02-14,28.15999984741211
2022-02-15,28.860000610351562
2022-02-16,28.780000686645508
2022-02-17,27.90999984741211
2022-02-18,27.920000076293945
2022-02-22,27.309999465942383
2022-02-23,26.969999313354492
2022-02-24,27.530000686645508
2022-02-25,28.06999969482422
2022-02-28,27.959999084472656
2022-03-01,27.90999984741211
2022-03-02,28.809999465942383
2022-03-03,28.540000915527344
2022-03-04,27.8700008392334
2022-03-07,26.780000686645508
2022-03-08,26.860000610351562
2022-03-09,27.469999313354492
2022-03-10,27.350000381469727
2022-03-11,27.1299991607666
2022-03-14,26.770000457763672
2022-03-15,26.979999542236328
2022-03-16,27.290000915527344
2022-03-17,27.809999465942383
2022-03-18,27.540000915527344
2022-03-21,26.8700008392334
2022-03-22,27.610000610351562
2022-03-23,27.149999618530273
2022-03-24,27.139999389648438
2022-03-25,27.31999969482422
2022-03-28,27.860000610351562
2022-03-29,28.889999389648438
2022-03-30,28.940000534057617
2022-03-31,28.459999084472656
2022-04-01,28.920000076293945
2022-04-04,28.440000534057617
2022-04-05,28.280000686645508
2022-04-06,28.59000015258789
2022-04-07,27.799999237060547
2022-04-08,28.239999771118164
2022-04-11,28.149999618530273
2022-04-12,28.260000228881836
2022-04-13,28.829999923706055
