Date,CZR
2021-01-04,71.5999984741211
2021-01-05,74.7699966430664
2021-01-06,76.23999786376953
2021-01-07,78.05999755859375
2021-01-08,78.80000305175781
2021-01-11,78.2699966430664
2021-01-12,79.08000183105469
2021-01-13,76.5199966430664
2021-01-14,78.16000366210938
2021-01-15,80.0
2021-01-19,80.66999816894531
2021-01-20,80.05000305175781
2021-01-21,80.72000122070312
2021-01-22,79.52999877929688
2021-01-25,78.4000015258789
2021-01-26,74.36000061035156
2021-01-27,66.87000274658203
2021-01-28,73.73999786376953
2021-01-29,70.38999938964844
2021-02-01,70.80000305175781
2021-02-02,76.0
2021-02-03,76.75
2021-02-04,79.4800033569336
2021-02-05,82.87999725341797
2021-02-08,82.8499984741211
2021-02-09,81.56999969482422
2021-02-10,79.61000061035156
2021-02-11,78.47000122070312
2021-02-12,80.23999786376953
2021-02-16,78.33999633789062
2021-02-17,78.61000061035156
2021-02-18,79.2699966430664
2021-02-19,83.16000366210938
2021-02-22,84.70999908447266
2021-02-23,85.7699966430664
2021-02-24,89.80999755859375
2021-02-25,85.13999938964844
2021-02-26,93.44000244140625
2021-03-01,94.05999755859375
2021-03-02,92.9800033569336
2021-03-03,95.55999755859375
2021-03-04,90.81999969482422
2021-03-05,93.30999755859375
2021-03-08,95.06999969482422
2021-03-09,93.77999877929688
2021-03-10,98.38999938964844
2021-03-11,100.75
2021-03-12,100.62000274658203
2021-03-15,101.19999694824219
2021-03-16,95.80000305175781
2021-03-17,96.04000091552734
2021-03-18,90.5999984741211
2021-03-19,89.31999969482422
2021-03-22,88.47000122070312
2021-03-23,84.58999633789062
2021-03-24,82.9000015258789
2021-03-25,86.94000244140625
2021-03-26,87.52999877929688
2021-03-29,82.44000244140625
2021-03-30,87.12999725341797
2021-03-31,87.44999694824219
2021-04-01,88.94000244140625
2021-04-05,90.18000030517578
2021-04-06,92.5
2021-04-07,92.58999633789062
2021-04-08,96.1500015258789
2021-04-09,96.33000183105469
2021-04-12,94.33000183105469
2021-04-13,95.7300033569336
2021-04-14,93.2699966430664
2021-04-15,93.16000366210938
2021-04-16,93.63999938964844
2021-04-19,88.75
2021-04-20,89.87999725341797
2021-04-21,94.27999877929688
2021-04-22,94.12000274658203
2021-04-23,95.73999786376953
2021-04-26,96.9800033569336
2021-04-27,101.7699966430664
2021-04-28,102.5999984741211
2021-04-29,99.47000122070312
2021-04-30,97.83999633789062
2021-05-03,96.91000366210938
2021-05-04,95.52999877929688
2021-05-05,102.9800033569336
2021-05-06,102.22000122070312
2021-05-07,105.75
2021-05-10,104.68000030517578
2021-05-11,100.7699966430664
2021-05-12,92.41000366210938
2021-05-13,94.37000274658203
2021-05-14,98.61000061035156
2021-05-17,100.37000274658203
2021-05-18,100.1500015258789
2021-05-19,96.5
2021-05-20,100.58999633789062
2021-05-21,100.20999908447266
2021-05-24,105.08000183105469
2021-05-25,107.05999755859375
2021-05-26,106.5999984741211
2021-05-27,107.93000030517578
2021-05-28,107.44999694824219
2021-06-01,109.55000305175781
2021-06-02,109.69999694824219
2021-06-03,109.56999969482422
2021-06-04,110.63999938964844
2021-06-07,110.5999984741211
2021-06-08,111.69999694824219
2021-06-09,110.83000183105469
2021-06-10,111.4000015258789
2021-06-11,110.30999755859375
2021-06-14,106.62000274658203
2021-06-15,106.5
2021-06-16,107.08999633789062
2021-06-17,103.83000183105469
2021-06-18,100.05999755859375
2021-06-21,103.81999969482422
2021-06-22,104.30999755859375
2021-06-23,103.22000122070312
2021-06-24,104.7300033569336
2021-06-25,102.43000030517578
2021-06-28,100.54000091552734
2021-06-29,100.87999725341797
2021-06-30,103.75
2021-07-01,102.9000015258789
2021-07-02,102.41000366210938
2021-07-06,98.44999694824219
2021-07-07,95.55000305175781
2021-07-08,94.55999755859375
2021-07-09,96.86000061035156
2021-07-12,98.3499984741211
2021-07-13,96.7699966430664
2021-07-14,94.5199966430664
2021-07-15,94.47000122070312
2021-07-16,89.9000015258789
