Date,EVHC
2016-07-01,76.30000305175781
2016-07-05,74.25
2016-07-06,76.16000366210938
2016-07-07,76.4000015258789
2016-07-08,78.66000366210938
2016-07-11,79.7300033569336
2016-07-12,80.26000213623047
2016-07-13,80.54000091552734
2016-07-14,78.95999908447266
2016-07-15,78.7699966430664
2016-07-18,78.94000244140625
2016-07-19,78.69999694824219
2016-07-20,79.23999786376953
2016-07-21,78.55000305175781
2016-07-22,79.29000091552734
2016-07-25,77.0999984741211
2016-07-26,77.25
2016-07-27,75.83999633789062
2016-07-28,74.27999877929688
2016-07-29,75.01000213623047
2016-08-01,72.2300033569336
2016-08-02,72.04000091552734
2016-08-03,72.30999755859375
2016-08-04,70.20999908447266
2016-08-05,70.91000366210938
2016-08-08,68.31999969482422
2016-08-09,67.01000213623047
2016-08-10,66.81999969482422
2016-08-11,66.44000244140625
2016-08-12,66.80000305175781
2016-08-15,66.22000122070312
2016-08-16,64.25
2016-08-17,62.599998474121094
2016-08-18,65.55000305175781
2016-08-19,64.62999725341797
2016-08-22,63.939998626708984
2016-08-23,64.16999816894531
2016-08-24,63.04999923706055
2016-08-25,63.029998779296875
2016-08-26,63.599998474121094
2016-08-29,65.11000061035156
2016-08-30,64.80000305175781
2016-08-31,64.91999816894531
2016-09-01,65.4000015258789
2016-09-02,67.29000091552734
2016-09-06,66.30999755859375
2016-09-07,67.55000305175781
2016-09-08,69.37000274658203
2016-09-09,68.0
2016-09-12,69.41000366210938
2016-09-13,67.22000122070312
2016-09-14,65.52999877929688
2016-09-15,65.11000061035156
2016-09-16,65.45999908447266
2016-09-19,65.04000091552734
2016-09-20,62.849998474121094
2016-09-21,63.869998931884766
2016-09-22,65.54000091552734
2016-09-23,64.77999877929688
2016-09-26,64.51000213623047
2016-09-27,65.41000366210938
2016-09-28,66.58000183105469
2016-09-29,66.02999877929688
2016-09-30,67.05000305175781
2016-10-03,66.26000213623047
2016-10-04,65.79000091552734
2016-10-05,66.97000122070312
2016-10-06,66.51000213623047
2016-10-07,66.02999877929688
2016-10-10,67.37999725341797
2016-10-11,65.91999816894531
2016-10-12,63.47999954223633
2016-10-13,65.72000122070312
2016-10-14,64.88999938964844
2016-10-17,63.95000076293945
2016-10-18,65.68000030517578
2016-10-19,66.45999908447266
2016-10-20,67.0
2016-10-21,65.48999786376953
2016-10-24,65.05999755859375
2016-10-25,65.06999969482422
2016-10-26,61.650001525878906
2016-10-27,58.47999954223633
2016-10-28,58.15999984741211
2016-10-31,59.75
2016-11-01,59.75
2016-11-02,64.79000091552734
2016-11-03,62.61000061035156
2016-11-04,64.25
2016-11-07,66.81999969482422
2016-11-08,67.30999755859375
2016-11-09,59.459999084472656
2016-11-10,59.90999984741211
2016-11-11,60.7400016784668
2016-11-14,63.59000015258789
2016-11-15,65.31999969482422
2016-11-16,66.70999908447266
