Date,FAST
2015-07-01,10.542499542236328
2015-07-02,10.524999618530273
2015-07-06,10.510000228881836
2015-07-07,10.6850004196167
2015-07-08,10.5024995803833
2015-07-09,10.5
2015-07-10,10.582500457763672
2015-07-13,10.704999923706055
2015-07-14,10.27750015258789
2015-07-15,10.3725004196167
2015-07-16,10.482500076293945
2015-07-17,10.46500015258789
2015-07-20,10.547499656677246
2015-07-21,10.359999656677246
2015-07-22,10.164999961853027
2015-07-23,10.100000381469727
2015-07-24,10.015000343322754
2015-07-27,10.024999618530273
2015-07-28,10.212499618530273
2015-07-29,10.305000305175781
2015-07-30,10.22249984741211
2015-07-31,10.46500015258789
2015-08-03,10.352499961853027
2015-08-04,10.335000038146973
2015-08-05,10.220000267028809
2015-08-06,10.029999732971191
2015-08-07,10.0
2015-08-10,10.142499923706055
2015-08-11,9.942500114440918
2015-08-12,10.114999771118164
2015-08-13,10.012499809265137
2015-08-14,10.052499771118164
2015-08-17,10.09000015258789
2015-08-18,10.180000305175781
2015-08-19,10.085000038146973
2015-08-20,9.845000267028809
2015-08-21,9.795000076293945
2015-08-24,9.350000381469727
2015-08-25,9.25
2015-08-26,9.520000457763672
2015-08-27,9.744999885559082
2015-08-28,9.672499656677246
2015-08-31,9.635000228881836
2015-09-01,9.362500190734863
2015-09-02,9.582500457763672
2015-09-03,9.40999984741211
2015-09-04,9.375
2015-09-08,9.710000038146973
2015-09-09,9.59000015258789
2015-09-10,9.654999732971191
2015-09-11,9.667499542236328
2015-09-14,9.552499771118164
2015-09-15,9.670000076293945
2015-09-16,9.725000381469727
2015-09-17,9.592499732971191
2015-09-18,9.295000076293945
2015-09-21,9.295000076293945
2015-09-22,9.15250015258789
2015-09-23,9.117500305175781
2015-09-24,9.170000076293945
2015-09-25,9.177499771118164
2015-09-28,9.032500267028809
2015-09-29,9.1225004196167
2015-09-30,9.15250015258789
2015-10-01,8.875
2015-10-02,8.994999885559082
2015-10-05,9.202500343322754
2015-10-06,9.265000343322754
2015-10-07,9.510000228881836
2015-10-08,9.757499694824219
2015-10-09,9.744999885559082
2015-10-12,9.702500343322754
2015-10-13,9.487500190734863
2015-10-14,9.46500015258789
2015-10-15,9.52750015258789
2015-10-16,9.3725004196167
2015-10-19,9.260000228881836
2015-10-20,9.262499809265137
2015-10-21,9.227499961853027
2015-10-22,9.630000114440918
2015-10-23,9.6875
2015-10-26,9.619999885559082
2015-10-27,9.579999923706055
2015-10-28,9.755000114440918
2015-10-29,9.760000228881836
2015-10-30,9.789999961853027
2015-11-02,10.0625
2015-11-03,10.132499694824219
2015-11-04,10.055000305175781
2015-11-05,10.307499885559082
2015-11-06,10.270000457763672
2015-11-09,10.145000457763672
2015-11-10,10.114999771118164
2015-11-11,10.052499771118164
2015-11-12,9.662500381469727
2015-11-13,9.649999618530273
2015-11-16,9.792499542236328
2015-11-17,9.712499618530273
2015-11-18,9.922499656677246
2015-11-19,9.864999771118164
2015-11-20,9.927499771118164
2015-11-23,9.930000305175781
2015-11-24,9.952500343322754
2015-11-25,10.017499923706055
2015-11-27,10.082500457763672
2015-11-30,10.145000457763672
2015-12-01,10.229999542236328
2015-12-02,10.03499984741211
2015-12-03,9.859999656677246
2015-12-04,10.03499984741211
2015-12-07,10.207500457763672
2015-12-08,10.050000190734863
2015-12-09,10.055000305175781
2015-12-10,10.037500381469727
2015-12-11,9.867500305175781
2015-12-14,9.975000381469727
2015-12-15,9.957500457763672
2015-12-16,10.072500228881836
2015-12-17,9.9975004196167
2015-12-18,9.772500038146973
2015-12-21,9.710000038146973
2015-12-22,10.020000457763672
2015-12-23,10.3149995803833
2015-12-24,10.3774995803833
2015-12-28,10.350000381469727
2015-12-29,10.40999984741211
2015-12-30,10.3774995803833
2015-12-31,10.204999923706055
2016-01-04,10.047499656677246
2016-01-05,9.9375
2016-01-06,9.96500015258789
2016-01-07,9.762499809265137
2016-01-08,9.699999809265137
2016-01-11,9.72249984741211
2016-01-12,9.857500076293945
2016-01-13,9.692500114440918
2016-01-14,9.8125
2016-01-15,9.417499542236328
2016-01-19,9.192500114440918
2016-01-20,9.132499694824219
2016-01-21,9.28499984741211
2016-01-22,9.494999885559082
2016-01-25,9.204999923706055
2016-01-26,9.505000114440918
2016-01-27,9.510000228881836
2016-01-28,9.835000038146973
2016-01-29,10.140000343322754
2016-02-01,10.109999656677246
2016-02-02,9.782500267028809
2016-02-03,9.907500267028809
2016-02-04,10.882499694824219
2016-02-05,10.8149995803833
2016-02-08,10.914999961853027
2016-02-09,10.84000015258789
2016-02-10,10.567500114440918
2016-02-11,10.5024995803833
2016-02-12,10.760000228881836
2016-02-16,10.920000076293945
2016-02-17,11.104999542236328
2016-02-18,11.140000343322754
2016-02-19,11.162500381469727
2016-02-22,11.34000015258789
2016-02-23,11.135000228881836
2016-02-24,11.125
2016-02-25,11.267499923706055
2016-02-26,11.305000305175781
2016-02-29,11.322500228881836
2016-03-01,11.675000190734863
2016-03-02,11.625
2016-03-03,11.75
2016-03-04,11.555000305175781
2016-03-07,11.579999923706055
2016-03-08,11.642499923706055
2016-03-09,11.7475004196167
2016-03-10,11.7475004196167
2016-03-11,11.71500015258789
2016-03-14,11.734999656677246
2016-03-15,11.762499809265137
2016-03-16,11.854999542236328
2016-03-17,12.234999656677246
2016-03-18,12.262499809265137
2016-03-21,12.467499732971191
2016-03-22,12.232500076293945
2016-03-23,12.207500457763672
2016-03-24,12.225000381469727
2016-03-28,12.125
2016-03-29,12.255000114440918
2016-03-30,12.232500076293945
2016-03-31,12.25
2016-04-01,12.232500076293945
2016-04-04,11.842499732971191
2016-04-05,11.845000267028809
2016-04-06,11.77750015258789
2016-04-07,11.680000305175781
2016-04-08,11.782500267028809
2016-04-11,11.734999656677246
2016-04-12,11.335000038146973
2016-04-13,11.454999923706055
2016-04-14,11.442500114440918
2016-04-15,11.452500343322754
2016-04-18,11.432499885559082
2016-04-19,11.4350004196167
2016-04-20,11.452500343322754
2016-04-21,11.395000457763672
2016-04-22,11.407500267028809
2016-04-25,11.399999618530273
2016-04-26,11.619999885559082
2016-04-27,11.859999656677246
2016-04-28,11.817500114440918
2016-04-29,11.697500228881836
2016-05-02,11.755000114440918
2016-05-03,11.592499732971191
2016-05-04,11.392499923706055
2016-05-05,11.637499809265137
2016-05-06,11.6225004196167
2016-05-09,11.539999961853027
2016-05-10,11.667499542236328
2016-05-11,11.574999809265137
2016-05-12,11.40999984741211
2016-05-13,11.369999885559082
2016-05-16,11.430000305175781
2016-05-17,11.300000190734863
2016-05-18,11.34749984741211
2016-05-19,11.1274995803833
2016-05-20,11.21500015258789
2016-05-23,11.217499732971191
2016-05-24,11.425000190734863
2016-05-25,11.484999656677246
2016-05-26,11.520000457763672
2016-05-27,11.5
2016-05-31,11.507499694824219
2016-06-01,11.5600004196167
2016-06-02,11.6274995803833
2016-06-03,11.550000190734863
2016-06-06,11.457500457763672
2016-06-07,11.4350004196167
2016-06-08,11.4975004196167
2016-06-09,11.337499618530273
2016-06-10,11.142499923706055
2016-06-13,10.994999885559082
2016-06-14,11.0600004196167
2016-06-15,10.989999771118164
2016-06-16,11.074999809265137
2016-06-17,11.117500305175781
2016-06-20,11.260000228881836
2016-06-21,11.239999771118164
2016-06-22,11.237500190734863
2016-06-23,11.390000343322754
2016-06-24,10.9375
2016-06-27,10.675000190734863
2016-06-28,10.702500343322754
2016-06-29,10.859999656677246
2016-06-30,11.09749984741211
2016-07-01,11.322500228881836
2016-07-05,11.095000267028809
2016-07-06,11.085000038146973
2016-07-07,11.180000305175781
2016-07-08,11.307499885559082
2016-07-11,11.34000015258789
2016-07-12,10.947500228881836
2016-07-13,10.824999809265137
2016-07-14,10.824999809265137
2016-07-15,10.862500190734863
2016-07-18,10.744999885559082
2016-07-19,10.609999656677246
2016-07-20,10.637499809265137
2016-07-21,10.460000038146973
2016-07-22,10.529999732971191
2016-07-25,10.479999542236328
2016-07-26,10.494999885559082
2016-07-27,10.475000381469727
2016-07-28,10.625
2016-07-29,10.6875
2016-08-01,10.6225004196167
2016-08-02,10.452500343322754
2016-08-03,10.515000343322754
2016-08-04,10.600000381469727
2016-08-05,10.717499732971191
2016-08-08,10.712499618530273
2016-08-09,10.619999885559082
2016-08-10,10.617500305175781
2016-08-11,10.859999656677246
2016-08-12,10.859999656677246
2016-08-15,10.944999694824219
2016-08-16,10.869999885559082
2016-08-17,10.90250015258789
2016-08-18,10.97249984741211
2016-08-19,11.0
2016-08-22,11.039999961853027
2016-08-23,11.007499694824219
2016-08-24,10.925000190734863
2016-08-25,10.932499885559082
2016-08-26,10.9375
2016-08-29,11.0
2016-08-30,10.9375
2016-08-31,10.77750015258789
2016-09-01,10.704999923706055
2016-09-02,10.829999923706055
2016-09-06,10.727499961853027
2016-09-07,10.5649995803833
2016-09-08,10.542499542236328
2016-09-09,10.142499923706055
2016-09-12,10.177499771118164
2016-09-13,10.109999656677246
2016-09-14,10.069999694824219
2016-09-15,10.202500343322754
2016-09-16,10.017499923706055
2016-09-19,10.142499923706055
2016-09-20,9.979999542236328
2016-09-21,10.0600004196167
2016-09-22,10.137499809265137
2016-09-23,10.109999656677246
2016-09-26,10.050000190734863
2016-09-27,10.09749984741211
2016-09-28,10.217499732971191
2016-09-29,10.210000038146973
2016-09-30,10.444999694824219
2016-10-03,10.539999961853027
2016-10-04,10.362500190734863
2016-10-05,10.477499961853027
2016-10-06,10.682499885559082
2016-10-07,10.574999809265137
2016-10-10,10.529999732971191
2016-10-11,9.989999771118164
2016-10-12,9.765000343322754
2016-10-13,9.585000038146973
2016-10-14,9.585000038146973
2016-10-17,9.567500114440918
2016-10-18,9.539999961853027
2016-10-19,9.729999542236328
2016-10-20,9.702500343322754
2016-10-21,9.592499732971191
2016-10-24,9.734999656677246
2016-10-25,9.65999984741211
2016-10-26,9.755000114440918
2016-10-27,9.612500190734863
2016-10-28,9.6899995803833
2016-10-31,9.744999885559082
2016-11-01,9.600000381469727
2016-11-02,9.5625
2016-11-03,9.649999618530273
2016-11-04,9.859999656677246
2016-11-07,10.15250015258789
2016-11-08,10.154999732971191
2016-11-09,10.897500038146973
2016-11-10,11.229999542236328
2016-11-11,11.069999694824219
2016-11-14,11.274999618530273
2016-11-15,11.272500038146973
2016-11-16,11.272500038146973
2016-11-17,11.239999771118164
2016-11-18,11.199999809265137
2016-11-21,11.3149995803833
2016-11-22,11.479999542236328
2016-11-23,11.5600004196167
2016-11-25,11.592499732971191
2016-11-28,11.59000015258789
2016-11-29,11.7524995803833
2016-11-30,11.850000381469727
2016-12-01,11.8725004196167
2016-12-02,11.957500457763672
2016-12-05,12.145000457763672
2016-12-06,12.074999809265137
2016-12-07,12.292499542236328
2016-12-08,12.282500267028809
2016-12-09,12.2524995803833
2016-12-12,12.225000381469727
2016-12-13,12.149999618530273
2016-12-14,12.079999923706055
2016-12-15,12.107500076293945
2016-12-16,12.012499809265137
2016-12-19,12.005000114440918
2016-12-20,12.132499694824219
2016-12-21,12.03499984741211
2016-12-22,12.007499694824219
2016-12-23,12.03499984741211
2016-12-27,12.082500457763672
2016-12-28,11.845000267028809
2016-12-29,11.802499771118164
2016-12-30,11.744999885559082
2017-01-03,11.737500190734863
2017-01-04,11.792499542236328
2017-01-05,11.654999732971191
2017-01-06,11.6274995803833
2017-01-09,11.542499542236328
2017-01-10,11.6274995803833
2017-01-11,11.857500076293945
2017-01-12,12.0
2017-01-13,12.012499809265137
2017-01-17,12.0649995803833
2017-01-18,12.765000343322754
2017-01-19,12.637499809265137
2017-01-20,12.8100004196167
2017-01-23,12.744999885559082
2017-01-24,12.702500343322754
2017-01-25,12.697500228881836
2017-01-26,12.592499732971191
2017-01-27,12.542499542236328
2017-01-30,12.550000190734863
2017-01-31,12.420000076293945
2017-02-01,12.404999732971191
2017-02-02,12.25
2017-02-03,12.260000228881836
2017-02-06,12.59749984741211
2017-02-07,12.452500343322754
2017-02-08,12.454999923706055
2017-02-09,12.5625
2017-02-10,12.585000038146973
2017-02-13,12.532500267028809
2017-02-14,12.59749984741211
2017-02-15,12.614999771118164
2017-02-16,12.65250015258789
2017-02-17,12.677499771118164
2017-02-21,12.717499732971191
2017-02-22,12.717499732971191
2017-02-23,12.447500228881836
2017-02-24,12.524999618530273
2017-02-27,12.587499618530273
2017-02-28,12.507499694824219
2017-03-01,12.744999885559082
2017-03-02,12.657500267028809
2017-03-03,12.949999809265137
2017-03-06,13.055000305175781
2017-03-07,12.842499732971191
2017-03-08,12.859999656677246
2017-03-09,12.545000076293945
2017-03-10,12.699999809265137
2017-03-13,12.850000381469727
2017-03-14,12.672499656677246
2017-03-15,12.90250015258789
2017-03-16,12.8125
2017-03-17,12.967499732971191
2017-03-20,12.949999809265137
2017-03-21,12.789999961853027
2017-03-22,12.930000305175781
2017-03-23,12.7524995803833
2017-03-24,12.6899995803833
2017-03-27,12.510000228881836
2017-03-28,12.720000267028809
2017-03-29,12.805000305175781
2017-03-30,12.829999923706055
2017-03-31,12.875
2017-04-03,12.832500457763672
2017-04-04,12.9399995803833
2017-04-05,12.927499771118164
2017-04-06,12.737500190734863
2017-04-07,12.557499885559082
2017-04-10,12.607500076293945
2017-04-11,12.585000038146973
2017-04-12,11.572500228881836
2017-04-13,11.385000228881836
2017-04-17,11.449999809265137
2017-04-18,11.0649995803833
2017-04-19,11.362500190734863
2017-04-20,11.367500305175781
2017-04-21,11.4350004196167
2017-04-24,11.352499961853027
2017-04-25,11.430000305175781
2017-04-26,11.452500343322754
2017-04-27,11.345000267028809
2017-04-28,11.170000076293945
2017-05-01,11.132499694824219
2017-05-02,11.270000457763672
2017-05-03,11.3125
2017-05-04,11.382499694824219
2017-05-05,11.420000076293945
2017-05-08,11.449999809265137
2017-05-09,11.375
2017-05-10,11.3725004196167
2017-05-11,11.244999885559082
2017-05-12,11.1850004196167
2017-05-15,11.050000190734863
2017-05-16,10.989999771118164
2017-05-17,10.574999809265137
2017-05-18,10.734999656677246
2017-05-19,10.895000457763672
2017-05-22,11.092499732971191
2017-05-23,11.0600004196167
2017-05-24,10.90999984741211
2017-05-25,10.822500228881836
2017-05-26,10.867500305175781
2017-05-30,10.817500114440918
2017-05-31,10.792499542236328
2017-06-01,10.90250015258789
2017-06-02,11.067500114440918
2017-06-05,11.162500381469727
2017-06-06,10.524999618530273
2017-06-07,10.542499542236328
2017-06-08,10.604999542236328
2017-06-09,10.880000114440918
2017-06-12,10.9975004196167
2017-06-13,10.854999542236328
2017-06-14,10.797499656677246
2017-06-15,10.912500381469727
2017-06-16,11.100000381469727
2017-06-19,11.154999732971191
2017-06-20,10.802499771118164
2017-06-21,10.677499771118164
2017-06-22,10.697500228881836
2017-06-23,10.717499732971191
2017-06-26,10.662500381469727
2017-06-27,10.52750015258789
2017-06-28,10.612500190734863
2017-06-29,10.632499694824219
2017-06-30,10.882499694824219
2017-07-03,11.012499809265137
2017-07-05,11.042499542236328
2017-07-06,11.017499923706055
2017-07-07,10.97249984741211
2017-07-10,10.9375
2017-07-11,10.897500038146973
2017-07-12,10.680000305175781
2017-07-13,10.792499542236328
2017-07-14,10.720000267028809
2017-07-17,10.625
2017-07-18,10.854999542236328
2017-07-19,10.670000076293945
