Date,DAY
2024-01-02,66.0199966430664
2024-01-03,63.65999984741211
2024-01-04,63.779998779296875
2024-01-05,63.150001525878906
2024-01-08,65.58999633789062
2024-01-09,65.87000274658203
2024-01-10,65.33999633789062
2024-01-11,64.87999725341797
2024-01-12,65.30999755859375
2024-01-16,65.48999786376953
2024-01-17,64.95999908447266
2024-01-18,65.62999725341797
2024-01-19,66.26000213623047
2024-01-22,67.81999969482422
2024-01-23,69.68000030517578
2024-01-24,68.66999816894531
2024-01-25,68.5999984741211
2024-01-26,68.19999694824219
2024-01-29,69.62000274658203
2024-01-30,69.44999694824219
2024-01-31,69.5199966430664
2024-02-01,69.94000244140625
2024-02-02,71.41999816894531
2024-02-05,69.36000061035156
2024-02-06,71.25
2024-02-07,69.30999755859375
2024-02-08,69.9800033569336
2024-02-09,70.69000244140625
2024-02-12,72.73999786376953
2024-02-13,70.20999908447266
2024-02-14,72.30000305175781
2024-02-15,73.69000244140625
2024-02-16,73.26000213623047
2024-02-20,71.54000091552734
2024-02-21,69.91000366210938
2024-02-22,71.79000091552734
2024-02-23,71.41999816894531
2024-02-26,71.26000213623047
2024-02-27,71.91000366210938
2024-02-28,71.05000305175781
2024-02-29,69.76000213623047
2024-03-01,68.25
2024-03-04,66.61000061035156
2024-03-05,64.33000183105469
2024-03-06,64.36000061035156
2024-03-07,66.3499984741211
2024-03-08,66.91999816894531
2024-03-11,67.62999725341797
2024-03-12,68.20999908447266
2024-03-13,67.66999816894531
2024-03-14,67.63999938964844
2024-03-15,66.08999633789062
2024-03-18,67.58000183105469
2024-03-19,67.86000061035156
2024-03-20,69.08000183105469
2024-03-21,70.88999938964844
2024-03-22,69.16999816894531
2024-03-25,66.72000122070312
2024-03-26,65.5999984741211
2024-03-27,66.05000305175781
2024-03-28,66.20999908447266
2024-04-01,64.98999786376953
2024-04-02,64.68000030517578
2024-04-03,64.55000305175781
2024-04-04,64.20999908447266
2024-04-05,61.040000915527344
2024-04-08,62.54999923706055
2024-04-09,64.0999984741211
2024-04-10,62.2400016784668
2024-04-11,62.77000045776367
2024-04-12,60.63999938964844
