Date,MRNA
2021-07-01,235.11000061035156
2021-07-02,234.3000030517578
2021-07-06,233.33999633789062
2021-07-07,221.89999389648438
2021-07-08,232.7899932861328
2021-07-09,232.80999755859375
2021-07-12,239.33999633789062
2021-07-13,235.14999389648438
2021-07-14,246.66000366210938
2021-07-15,259.67498779296875
2021-07-16,286.42999267578125
2021-07-19,313.5899963378906
2021-07-20,307.3299865722656
2021-07-21,321.1099853515625
2021-07-22,323.4800109863281
2021-07-23,348.8299865722656
2021-07-26,335.8699951171875
2021-07-27,328.5
2021-07-28,349.32000732421875
2021-07-29,345.6400146484375
2021-07-30,353.6000061035156
2021-08-02,346.6099853515625
2021-08-03,386.510009765625
2021-08-04,419.04998779296875
2021-08-05,416.260009765625
2021-08-06,413.7200012207031
2021-08-09,484.4700012207031
2021-08-10,456.760009765625
2021-08-11,385.3299865722656
2021-08-12,391.4200134277344
2021-08-13,389.7799987792969
2021-08-16,373.8599853515625
2021-08-17,401.8599853515625
2021-08-18,398.79998779296875
2021-08-19,375.5299987792969
2021-08-20,382.9800109863281
2021-08-23,411.8900146484375
2021-08-24,394.94000244140625
2021-08-25,397.8699951171875
2021-08-26,400.29998779296875
2021-08-27,382.2200012207031
2021-08-30,370.69000244140625
2021-08-31,376.69000244140625
2021-09-01,389.94000244140625
2021-09-02,397.6600036621094
2021-09-03,416.70001220703125
2021-09-07,436.3900146484375
2021-09-08,422.8999938964844
2021-09-09,455.9200134277344
2021-09-10,449.3800048828125
2021-09-13,419.7200012207031
2021-09-14,427.7099914550781
2021-09-15,434.4599914550781
2021-09-16,440.6499938964844
2021-09-17,430.04998779296875
2021-09-20,423.3299865722656
2021-09-21,434.0400085449219
2021-09-22,440.7200012207031
2021-09-23,454.6000061035156
2021-09-24,430.1400146484375
2021-09-27,408.8399963378906
2021-09-28,384.2099914550781
2021-09-29,378.8999938964844
2021-09-30,384.8599853515625
2021-10-01,341.0899963378906
2021-10-04,325.8399963378906
2021-10-05,332.1099853515625
2021-10-06,302.4200134277344
2021-10-07,309.3599853515625
2021-10-08,304.9100036621094
2021-10-11,305.1000061035156
2021-10-12,311.1300048828125
2021-10-13,321.5
2021-10-14,331.8800048828125
2021-10-15,324.2099914550781
2021-10-18,334.8399963378906
2021-10-19,333.6099853515625
2021-10-20,333.010009765625
2021-10-21,339.57000732421875
2021-10-22,326.5400085449219
2021-10-25,349.55999755859375
2021-10-26,345.739990234375
2021-10-27,340.8800048828125
2021-10-28,347.9200134277344
2021-10-29,345.2099914550781
2021-11-01,337.1700134277344
2021-11-02,348.6400146484375
2021-11-03,345.9200134277344
2021-11-04,284.0199890136719
2021-11-05,236.99000549316406
2021-11-08,244.67999267578125
2021-11-09,236.85000610351562
2021-11-10,228.9600067138672
