Date,TSCO
2015-07-01,18.1560001373291
2015-07-02,18.06399917602539
2015-07-06,18.20800018310547
2015-07-07,18.145999908447266
2015-07-08,17.52199935913086
2015-07-09,17.743999481201172
2015-07-10,18.229999542236328
2015-07-13,18.503999710083008
2015-07-14,18.65999984741211
2015-07-15,18.68400001525879
2015-07-16,18.784000396728516
2015-07-17,18.899999618530273
2015-07-20,18.625999450683594
2015-07-21,18.70599937438965
2015-07-22,18.95599937438965
2015-07-23,19.091999053955078
2015-07-24,18.714000701904297
2015-07-27,18.416000366210938
2015-07-28,18.3439998626709
2015-07-29,18.45599937438965
2015-07-30,18.398000717163086
2015-07-31,18.503999710083008
2015-08-03,18.26799964904785
2015-08-04,18.45400047302246
2015-08-05,18.670000076293945
2015-08-06,18.233999252319336
2015-08-07,18.34000015258789
2015-08-10,18.621999740600586
2015-08-11,18.694000244140625
2015-08-12,18.552000045776367
2015-08-13,18.639999389648438
2015-08-14,18.6200008392334
2015-08-17,18.788000106811523
2015-08-18,18.81800079345703
2015-08-19,18.670000076293945
2015-08-20,17.93000030517578
2015-08-21,17.118000030517578
2015-08-24,16.715999603271484
2015-08-25,16.607999801635742
2015-08-26,17.007999420166016
2015-08-27,17.423999786376953
2015-08-28,17.077999114990234
2015-08-31,17.062000274658203
2015-09-01,16.445999145507812
2015-09-02,16.738000869750977
2015-09-03,16.790000915527344
2015-09-04,16.63800048828125
2015-09-08,17.27199935913086
2015-09-09,17.15999984741211
2015-09-10,17.33799934387207
2015-09-11,17.591999053955078
2015-09-14,17.222000122070312
2015-09-15,17.299999237060547
2015-09-16,17.591999053955078
2015-09-17,17.398000717163086
2015-09-18,17.253999710083008
2015-09-21,16.97800064086914
2015-09-22,16.562000274658203
2015-09-23,16.607999801635742
2015-09-24,16.469999313354492
2015-09-25,16.79400062561035
2015-09-28,16.336000442504883
2015-09-29,16.461999893188477
2015-09-30,16.86400032043457
2015-10-01,17.190000534057617
2015-10-02,17.36400032043457
2015-10-05,17.68199920654297
2015-10-06,17.31399917602539
2015-10-07,17.722000122070312
2015-10-08,17.84000015258789
2015-10-09,17.92799949645996
2015-10-12,17.148000717163086
2015-10-13,16.892000198364258
2015-10-14,16.829999923706055
2015-10-15,16.937999725341797
2015-10-16,17.04199981689453
2015-10-19,17.393999099731445
2015-10-20,17.290000915527344
2015-10-21,17.25
2015-10-22,18.20400047302246
2015-10-23,18.086000442504883
2015-10-26,18.3439998626709
2015-10-27,18.134000778198242
2015-10-28,18.31599998474121
2015-10-29,18.22800064086914
2015-10-30,18.47800064086914
2015-11-02,18.416000366210938
2015-11-03,18.5
2015-11-04,18.54599952697754
2015-11-05,18.729999542236328
2015-11-06,18.676000595092773
