Date,KMB
2015-07-01,107.8499984741211
2015-07-02,107.55000305175781
2015-07-06,107.5999984741211
2015-07-07,109.7699966430664
2015-07-08,109.02999877929688
2015-07-09,108.69999694824219
2015-07-10,109.72000122070312
2015-07-13,110.86000061035156
2015-07-14,110.94999694824219
2015-07-15,111.19999694824219
2015-07-16,112.02999877929688
2015-07-17,112.4000015258789
2015-07-20,112.94000244140625
2015-07-21,112.48999786376953
2015-07-22,112.19999694824219
2015-07-23,111.62999725341797
2015-07-24,111.83999633789062
2015-07-27,112.36000061035156
2015-07-28,113.29000091552734
2015-07-29,113.5
2015-07-30,114.56999969482422
2015-07-31,114.97000122070312
2015-08-03,115.69000244140625
2015-08-04,116.0
2015-08-05,117.61000061035156
2015-08-06,116.66000366210938
2015-08-07,116.70999908447266
2015-08-10,116.9000015258789
2015-08-11,116.63999938964844
2015-08-12,115.6500015258789
2015-08-13,115.77999877929688
2015-08-14,116.16000366210938
2015-08-17,116.2300033569336
2015-08-18,116.04000091552734
2015-08-19,115.37000274658203
2015-08-20,114.05000305175781
2015-08-21,111.41000366210938
2015-08-24,106.37999725341797
2015-08-25,103.3499984741211
2015-08-26,106.18000030517578
2015-08-27,107.7300033569336
2015-08-28,107.20999908447266
2015-08-31,106.52999877929688
2015-09-01,104.02999877929688
2015-09-02,104.79000091552734
2015-09-03,105.63999938964844
2015-09-04,103.5199966430664
2015-09-08,105.9800033569336
2015-09-09,103.87000274658203
2015-09-10,103.66000366210938
2015-09-11,104.05000305175781
2015-09-14,103.77999877929688
2015-09-15,105.63999938964844
2015-09-16,107.26000213623047
2015-09-17,107.83999633789062
2015-09-18,107.8499984741211
2015-09-21,108.7699966430664
2015-09-22,107.83999633789062
2015-09-23,107.86000061035156
2015-09-24,108.16999816894531
2015-09-25,108.70999908447266
2015-09-28,106.80999755859375
2015-09-29,107.73999786376953
2015-09-30,109.04000091552734
2015-10-01,108.73999786376953
2015-10-02,109.13999938964844
