Date,ILMN
2015-07-01,214.6692657470703
2015-07-02,214.0758819580078
2015-07-06,214.50389099121094
2015-07-07,215.7295684814453
2015-07-08,208.0739288330078
2015-07-09,211.25486755371094
2015-07-10,213.47276306152344
2015-07-13,215.437744140625
2015-07-14,223.01556396484375
2015-07-15,222.84046936035156
2015-07-16,224.57199096679688
2015-07-17,233.2295684814453
2015-07-20,233.48248291015625
2015-07-21,231.07003784179688
2015-07-22,211.56614685058594
2015-07-23,213.9494171142578
2015-07-24,215.07781982421875
2015-07-27,211.35214233398438
2015-07-28,211.8871612548828
2015-07-29,211.27432250976562
2015-07-30,212.90855407714844
2015-07-31,213.32684326171875
2015-08-03,210.79766845703125
2015-08-04,208.47276306152344
2015-08-05,209.9805450439453
2015-08-06,203.9494171142578
2015-08-07,204.76654052734375
2015-08-10,206.001953125
2015-08-11,202.90855407714844
2015-08-12,201.71206665039062
2015-08-13,203.15174865722656
2015-08-14,202.40272521972656
2015-08-17,202.24708557128906
2015-08-18,201.3618621826172
2015-08-19,200.04864501953125
2015-08-20,194.97080993652344
2015-08-21,194.50389099121094
2015-08-24,186.54669189453125
2015-08-25,184.47470092773438
2015-08-26,190.36964416503906
2015-08-27,196.43968200683594
2015-08-28,196.2062225341797
2015-08-31,192.22763061523438
2015-09-01,187.86964416503906
2015-09-02,192.71400451660156
2015-09-03,190.12646484375
2015-09-04,187.89883422851562
2015-09-08,193.01556396484375
2015-09-09,191.38131713867188
2015-09-10,194.50389099121094
2015-09-11,200.78793334960938
2015-09-14,200.40855407714844
2015-09-15,200.1070098876953
2015-09-16,199.6984405517578
2015-09-17,204.33851623535156
2015-09-18,203.19065856933594
2015-09-21,194.7373504638672
2015-09-22,187.8307342529297
2015-09-23,184.75680541992188
2015-09-24,183.15174865722656
2015-09-25,170.75875854492188
2015-09-28,162.9474639892578
2015-09-29,165.19454956054688
2015-09-30,171.0311279296875
2015-10-01,152.92800903320312
2015-10-02,159.15370178222656
2015-10-05,158.72567749023438
2015-10-06,141.83851623535156
2015-10-07,141.96498107910156
2015-10-08,136.54669189453125
2015-10-09,143.74513244628906
2015-10-12,142.6070098876953
2015-10-13,141.4688720703125
2015-10-14,140.60311889648438
