Date,THC
2015-07-01,58.5
2015-07-02,59.41999816894531
2015-07-06,59.689998626708984
2015-07-07,59.79999923706055
2015-07-08,58.4900016784668
2015-07-09,58.95000076293945
2015-07-10,59.43000030517578
2015-07-13,59.90999984741211
2015-07-14,60.779998779296875
2015-07-15,59.720001220703125
2015-07-16,59.0099983215332
2015-07-17,58.72999954223633
2015-07-20,58.68000030517578
2015-07-21,57.959999084472656
2015-07-22,58.5
2015-07-23,58.380001068115234
2015-07-24,57.61000061035156
2015-07-27,56.41999816894531
2015-07-28,56.68000030517578
2015-07-29,56.720001220703125
2015-07-30,56.630001068115234
2015-07-31,56.29999923706055
2015-08-03,56.709999084472656
2015-08-04,57.5
2015-08-05,55.0
2015-08-06,54.189998626708984
2015-08-07,53.209999084472656
2015-08-10,53.130001068115234
2015-08-11,52.22999954223633
2015-08-12,52.470001220703125
2015-08-13,52.119998931884766
2015-08-14,52.18000030517578
2015-08-17,52.400001525878906
2015-08-18,51.79999923706055
2015-08-19,51.5099983215332
2015-08-20,49.9900016784668
2015-08-21,49.22999954223633
2015-08-24,46.900001525878906
2015-08-25,46.189998626708984
2015-08-26,47.38999938964844
2015-08-27,49.70000076293945
2015-08-28,50.31999969482422
2015-08-31,49.22999954223633
2015-09-01,47.34000015258789
2015-09-02,47.810001373291016
2015-09-03,47.81999969482422
2015-09-04,47.209999084472656
2015-09-08,48.279998779296875
2015-09-09,47.40999984741211
2015-09-10,47.16999816894531
2015-09-11,46.86000061035156
2015-09-14,47.09000015258789
2015-09-15,46.939998626708984
2015-09-16,46.56999969482422
2015-09-17,47.150001525878906
2015-09-18,44.5
2015-09-21,43.77000045776367
2015-09-22,43.599998474121094
2015-09-23,44.439998626708984
2015-09-24,42.439998626708984
2015-09-25,40.529998779296875
2015-09-28,37.150001525878906
2015-09-29,36.029998779296875
2015-09-30,36.91999816894531
2015-10-01,36.38999938964844
2015-10-02,36.31999969482422
2015-10-05,37.97999954223633
2015-10-06,37.81999969482422
2015-10-07,38.209999084472656
2015-10-08,37.2599983215332
2015-10-09,37.290000915527344
2015-10-12,36.349998474121094
2015-10-13,35.93000030517578
2015-10-14,35.040000915527344
2015-10-15,35.0
2015-10-16,35.869998931884766
2015-10-19,36.04999923706055
2015-10-20,36.400001525878906
2015-10-21,34.810001373291016
2015-10-22,28.239999771118164
2015-10-23,29.989999771118164
2015-10-26,30.440000534057617
2015-10-27,29.68000030517578
2015-10-28,31.850000381469727
2015-10-29,31.950000762939453
2015-10-30,31.3700008392334
2015-11-02,32.75
2015-11-03,34.2599983215332
2015-11-04,34.20000076293945
2015-11-05,33.619998931884766
2015-11-06,35.34000015258789
2015-11-09,34.68000030517578
2015-11-10,34.279998779296875
2015-11-11,32.83000183105469
2015-11-12,31.43000030517578
2015-11-13,31.709999084472656
2015-11-16,32.54999923706055
2015-11-17,32.650001525878906
2015-11-18,33.04999923706055
2015-11-19,30.399999618530273
2015-11-20,31.329999923706055
2015-11-23,32.20000076293945
2015-11-24,33.689998626708984
2015-11-25,33.709999084472656
2015-11-27,33.970001220703125
2015-11-30,33.189998626708984
2015-12-01,34.939998626708984
2015-12-02,34.11000061035156
2015-12-03,33.0099983215332
2015-12-04,33.209999084472656
2015-12-07,31.3799991607666
2015-12-08,31.190000534057617
2015-12-09,31.239999771118164
2015-12-10,31.950000762939453
2015-12-11,30.0
2015-12-14,27.229999542236328
2015-12-15,27.450000762939453
2015-12-16,27.389999389648438
2015-12-17,27.6299991607666
2015-12-18,27.40999984741211
2015-12-21,30.59000015258789
2015-12-22,30.31999969482422
2015-12-23,32.61000061035156
2015-12-24,32.27000045776367
2015-12-28,31.040000915527344
2015-12-29,31.520000457763672
2015-12-30,30.280000686645508
