Date,WDAY
2024-07-01,224.72000122070312
2024-07-02,226.75999450683594
2024-07-03,225.5500030517578
2024-07-05,229.1300048828125
2024-07-08,226.5399932861328
2024-07-09,223.08999633789062
2024-07-10,223.0800018310547
2024-07-11,226.80999755859375
2024-07-12,230.02000427246094
2024-07-15,232.47000122070312
2024-07-16,235.6300048828125
2024-07-17,231.6300048828125
2024-07-18,230.5800018310547
2024-07-19,227.49000549316406
2024-07-22,228.99000549316406
2024-07-23,226.0399932861328
2024-07-24,220.52000427246094
2024-07-25,227.0800018310547
2024-07-26,228.63999938964844
2024-07-29,227.1300048828125
2024-07-30,226.47999572753906
2024-07-31,227.1199951171875
2024-08-01,222.5800018310547
2024-08-02,214.86000061035156
2024-08-05,207.75
2024-08-06,211.25
2024-08-07,210.2100067138672
2024-08-08,212.17999267578125
2024-08-09,211.9499969482422
2024-08-12,210.57000732421875
2024-08-13,216.38999938964844
2024-08-14,222.83999633789062
2024-08-15,231.55999755859375
2024-08-16,231.74000549316406
2024-08-19,232.6300048828125
2024-08-20,232.4600067138672
2024-08-21,233.50999450683594
2024-08-22,231.0800018310547
2024-08-23,259.95001220703125
2024-08-26,260.3699951171875
2024-08-27,264.67999267578125
2024-08-28,260.29998779296875
2024-08-29,262.3599853515625
2024-08-30,263.19000244140625
2024-09-03,260.32000732421875
2024-09-04,258.6000061035156
2024-09-05,255.7899932861328
2024-09-06,254.60000610351562
2024-09-09,253.52000427246094
2024-09-10,255.5800018310547
2024-09-11,255.6199951171875
2024-09-12,251.19000244140625
2024-09-13,250.0500030517578
2024-09-16,249.2100067138672
2024-09-17,248.1199951171875
2024-09-18,248.47000122070312
2024-09-19,247.42999267578125
2024-09-20,248.2899932861328
2024-09-23,245.02999877929688
2024-09-24,246.9499969482422
2024-09-25,243.3699951171875
2024-09-26,245.42999267578125
2024-09-27,243.6199951171875
2024-09-30,244.41000366210938
2024-10-01,240.66000366210938
2024-10-02,237.14999389648438
2024-10-03,240.94000244140625
2024-10-04,242.35000610351562
2024-10-07,235.47000122070312
2024-10-08,239.47000122070312
2024-10-09,240.77000427246094
2024-10-10,245.16000366210938
2024-10-11,240.89999389648438
2024-10-14,242.47000122070312
2024-10-15,244.8300018310547
2024-10-16,240.22000122070312
2024-10-17,243.27000427246094
2024-10-18,244.47999572753906
2024-10-21,243.75
2024-10-22,246.75999450683594
2024-10-23,242.0399932861328
2024-10-24,236.82000732421875
2024-10-25,237.7100067138672
2024-10-28,234.9499969482422
2024-10-29,238.6300048828125
2024-10-30,238.27999877929688
2024-10-31,233.85000610351562
2024-11-01,239.1199951171875
2024-11-04,241.13999938964844
2024-11-05,241.25
2024-11-06,251.8000030517578
