Date,MOS
2015-07-01,46.72999954223633
2015-07-02,46.650001525878906
2015-07-06,46.45000076293945
2015-07-07,45.939998626708984
2015-07-08,45.099998474121094
2015-07-09,44.709999084472656
2015-07-10,45.040000915527344
2015-07-13,45.36000061035156
2015-07-14,45.72999954223633
2015-07-15,45.45000076293945
2015-07-16,45.27000045776367
2015-07-17,45.2599983215332
2015-07-20,44.95000076293945
2015-07-21,44.849998474121094
2015-07-22,44.20000076293945
2015-07-23,43.959999084472656
2015-07-24,42.88999938964844
2015-07-27,42.290000915527344
2015-07-28,42.7599983215332
2015-07-29,42.720001220703125
2015-07-30,42.83000183105469
2015-07-31,42.939998626708984
2015-08-03,42.7599983215332
2015-08-04,43.97999954223633
2015-08-05,44.58000183105469
2015-08-06,44.63999938964844
2015-08-07,44.400001525878906
2015-08-10,45.279998779296875
2015-08-11,43.849998474121094
2015-08-12,43.54999923706055
2015-08-13,43.34000015258789
2015-08-14,43.279998779296875
2015-08-17,43.81999969482422
2015-08-18,43.59000015258789
2015-08-19,42.56999969482422
2015-08-20,41.47999954223633
2015-08-21,39.939998626708984
2015-08-24,38.2400016784668
2015-08-25,37.56999969482422
2015-08-26,38.91999816894531
2015-08-27,40.54999923706055
2015-08-28,41.040000915527344
2015-08-31,40.83000183105469
2015-09-01,39.209999084472656
2015-09-02,39.689998626708984
2015-09-03,40.369998931884766
2015-09-04,39.66999816894531
2015-09-08,40.29999923706055
2015-09-09,39.58000183105469
2015-09-10,39.45000076293945
2015-09-11,39.13999938964844
2015-09-14,38.68000030517578
2015-09-15,39.290000915527344
2015-09-16,39.40999984741211
2015-09-17,38.83000183105469
2015-09-18,36.97999954223633
2015-09-21,36.439998626708984
2015-09-22,33.880001068115234
2015-09-23,31.979999542236328
2015-09-24,32.45000076293945
2015-09-25,32.13999938964844
2015-09-28,30.959999084472656
2015-09-29,31.040000915527344
2015-09-30,31.110000610351562
2015-10-01,30.139999389648438
2015-10-02,30.989999771118164
2015-10-05,32.060001373291016
2015-10-06,32.08000183105469
2015-10-07,33.4900016784668
2015-10-08,33.88999938964844
2015-10-09,33.93000030517578
2015-10-12,33.08000183105469
2015-10-13,33.439998626708984
2015-10-14,35.33000183105469
2015-10-15,34.93000030517578
2015-10-16,34.93000030517578
2015-10-19,34.15999984741211
2015-10-20,34.7599983215332
2015-10-21,34.40999984741211
2015-10-22,35.15999984741211
2015-10-23,35.619998931884766
2015-10-26,35.38999938964844
2015-10-27,34.27000045776367
2015-10-28,34.560001373291016
2015-10-29,34.65999984741211
2015-10-30,33.790000915527344
2015-11-02,34.47999954223633
2015-11-03,36.5099983215332
2015-11-04,33.380001068115234
2015-11-05,32.66999816894531
2015-11-06,32.5
2015-11-09,32.63999938964844
2015-11-10,31.760000228881836
2015-11-11,31.850000381469727
2015-11-12,31.65999984741211
2015-11-13,32.209999084472656
2015-11-16,32.68000030517578
2015-11-17,31.729999542236328
2015-11-18,31.950000762939453
2015-11-19,32.310001373291016
2015-11-20,31.260000228881836
2015-11-23,30.959999084472656
2015-11-24,31.530000686645508
2015-11-25,31.459999084472656
2015-11-27,31.049999237060547
2015-11-30,31.639999389648438
2015-12-01,31.81999969482422
2015-12-02,30.709999084472656
2015-12-03,31.030000686645508
2015-12-04,30.8799991607666
2015-12-07,32.04999923706055
2015-12-08,30.020000457763672
2015-12-09,30.84000015258789
2015-12-10,30.06999969482422
2015-12-11,29.3700008392334
2015-12-14,28.700000762939453
2015-12-15,29.469999313354492
2015-12-16,30.09000015258789
