Date,NDSN
2022-01-03,251.02999877929688
2022-01-04,250.13999938964844
2022-01-05,242.9199981689453
2022-01-06,240.4199981689453
2022-01-07,238.08999633789062
2022-01-10,238.3300018310547
2022-01-11,240.1300048828125
2022-01-12,242.5500030517578
2022-01-13,239.0
2022-01-14,238.41000366210938
2022-01-18,234.32000732421875
2022-01-19,236.94000244140625
2022-01-20,233.2100067138672
2022-01-21,231.44000244140625
2022-01-24,234.6300048828125
2022-01-25,228.3300018310547
2022-01-26,225.89999389648438
2022-01-27,223.8800048828125
2022-01-28,227.77000427246094
2022-01-31,232.5399932861328
2022-02-01,234.4199981689453
2022-02-02,236.49000549316406
2022-02-03,231.94000244140625
2022-02-04,230.69000244140625
2022-02-07,229.49000549316406
2022-02-08,232.94000244140625
2022-02-09,236.27000427246094
2022-02-10,231.0
2022-02-11,217.7100067138672
2022-02-14,222.11000061035156
2022-02-15,229.92999267578125
2022-02-16,235.13999938964844
2022-02-17,228.8800048828125
2022-02-18,229.50999450683594
2022-02-22,227.3800048828125
2022-02-23,221.5500030517578
2022-02-24,221.66000366210938
2022-02-25,227.49000549316406
2022-02-28,226.49000549316406
2022-03-01,223.24000549316406
2022-03-02,227.07000732421875
2022-03-03,228.86000061035156
2022-03-04,226.4499969482422
2022-03-07,217.63999938964844
2022-03-08,215.25999450683594
2022-03-09,222.4499969482422
2022-03-10,215.05999755859375
2022-03-11,215.0500030517578
2022-03-14,214.55999755859375
2022-03-15,219.13999938964844
2022-03-16,222.86000061035156
2022-03-17,226.55999755859375
2022-03-18,230.97000122070312
2022-03-21,229.47999572753906
2022-03-22,230.3800048828125
2022-03-23,228.9499969482422
2022-03-24,227.08999633789062
2022-03-25,227.39999389648438
2022-03-28,228.5500030517578
2022-03-29,232.6199951171875
2022-03-30,229.91000366210938
2022-03-31,227.0800018310547
2022-04-01,227.92999267578125
2022-04-04,227.17999267578125
2022-04-05,223.0399932861328
2022-04-06,223.6999969482422
2022-04-07,224.69000244140625
2022-04-08,224.4199981689453
2022-04-11,221.92999267578125
2022-04-12,217.64999389648438
2022-04-13,218.88999938964844
2022-04-14,214.74000549316406
2022-04-18,216.7100067138672
2022-04-19,223.13999938964844
2022-04-20,226.52000427246094
2022-04-21,224.1300048828125
2022-04-22,220.3800048828125
2022-04-25,220.82000732421875
2022-04-26,214.3699951171875
2022-04-27,216.33999633789062
2022-04-28,220.63999938964844
2022-04-29,215.69000244140625
2022-05-02,217.5500030517578
2022-05-03,216.5399932861328
2022-05-04,222.4600067138672
2022-05-05,213.38999938964844
2022-05-06,209.82000732421875
2022-05-09,208.72999572753906
2022-05-10,208.44000244140625
2022-05-11,207.9199981689453
2022-05-12,209.8300018310547
2022-05-13,211.97000122070312
2022-05-16,210.67999267578125
2022-05-17,215.67999267578125
2022-05-18,205.82000732421875
2022-05-19,205.88999938964844
2022-05-20,205.24000549316406
2022-05-23,205.89999389648438
2022-05-24,210.86000061035156
2022-05-25,213.36000061035156
2022-05-26,215.47999572753906
2022-05-27,219.8300018310547
2022-05-31,217.8800048828125
2022-06-01,215.35000610351562
2022-06-02,222.19000244140625
2022-06-03,220.3800048828125
2022-06-06,221.25999450683594
2022-06-07,222.05999755859375
2022-06-08,219.16000366210938
2022-06-09,214.35000610351562
2022-06-10,207.63999938964844
2022-06-13,202.32000732421875
2022-06-14,200.82000732421875
2022-06-15,201.69000244140625
2022-06-16,196.4600067138672
2022-06-17,195.36000061035156
2022-06-21,197.99000549316406
2022-06-22,197.50999450683594
2022-06-23,199.1999969482422
2022-06-24,204.94000244140625
2022-06-27,204.35000610351562
2022-06-28,202.85000610351562
2022-06-29,201.92999267578125
2022-06-30,202.44000244140625
2022-07-01,202.63999938964844
2022-07-05,200.85000610351562
2022-07-06,204.16000366210938
2022-07-07,210.5399932861328
2022-07-08,207.42999267578125
2022-07-11,206.99000549316406
2022-07-12,205.25
2022-07-13,204.57000732421875
2022-07-14,202.6699981689453
2022-07-15,207.6699981689453
2022-07-18,207.00999450683594
2022-07-19,214.6699981689453
2022-07-20,216.61000061035156
2022-07-21,220.13999938964844
2022-07-22,219.6699981689453
2022-07-25,217.7100067138672
2022-07-26,217.32000732421875
2022-07-27,221.77999877929688
2022-07-28,225.91000366210938
2022-07-29,230.99000549316406
2022-08-01,230.5
2022-08-02,227.58999633789062
2022-08-03,230.1999969482422
2022-08-04,230.9199981689453
2022-08-05,231.5500030517578
2022-08-08,232.35000610351562
2022-08-09,230.22999572753906
2022-08-10,237.8699951171875
