Date,AON
2015-07-01,99.70999908447266
2015-07-02,99.51000213623047
2015-07-06,99.69000244140625
2015-07-07,100.18000030517578
2015-07-08,99.26000213623047
2015-07-09,100.1500015258789
2015-07-10,101.77999877929688
2015-07-13,102.02999877929688
2015-07-14,102.05999755859375
2015-07-15,101.86000061035156
2015-07-16,102.79000091552734
2015-07-17,102.41000366210938
2015-07-20,102.31999969482422
2015-07-21,102.12999725341797
2015-07-22,101.91999816894531
2015-07-23,101.56999969482422
2015-07-24,101.27999877929688
2015-07-27,101.02999877929688
2015-07-28,101.16000366210938
2015-07-29,101.87999725341797
2015-07-30,101.94000244140625
2015-07-31,100.7699966430664
2015-08-03,99.54000091552734
2015-08-04,100.19999694824219
2015-08-05,101.33000183105469
2015-08-06,100.91999816894531
2015-08-07,101.31999969482422
2015-08-10,102.7699966430664
2015-08-11,101.31999969482422
2015-08-12,101.2300033569336
2015-08-13,101.22000122070312
2015-08-14,101.30000305175781
2015-08-17,102.55999755859375
2015-08-18,102.43000030517578
2015-08-19,101.04000091552734
2015-08-20,99.31999969482422
2015-08-21,96.52999877929688
2015-08-24,91.7300033569336
2015-08-25,89.38999938964844
2015-08-26,92.62000274658203
2015-08-27,94.38999938964844
2015-08-28,93.54000091552734
2015-08-31,93.44000244140625
2015-09-01,90.27999877929688
2015-09-02,91.05000305175781
2015-09-03,91.44999694824219
2015-09-04,90.29000091552734
2015-09-08,92.69000244140625
2015-09-09,91.54000091552734
2015-09-10,91.68000030517578
2015-09-11,91.31999969482422
2015-09-14,90.80000305175781
2015-09-15,92.08999633789062
2015-09-16,91.9800033569336
2015-09-17,92.16000366210938
2015-09-18,89.30999755859375
2015-09-21,90.4000015258789
2015-09-22,89.52999877929688
2015-09-23,89.08999633789062
2015-09-24,88.94999694824219
2015-09-25,90.0199966430664
2015-09-28,88.41000366210938
2015-09-29,88.4000015258789
2015-09-30,88.61000061035156
2015-10-01,88.55999755859375
2015-10-02,89.77999877929688
2015-10-05,91.5199966430664
2015-10-06,90.29000091552734
2015-10-07,91.16000366210938
2015-10-08,91.93000030517578
2015-10-09,91.29000091552734
2015-10-12,91.27999877929688
2015-10-13,90.77999877929688
2015-10-14,90.05000305175781
2015-10-15,91.25
2015-10-16,91.62000274658203
2015-10-19,90.62999725341797
2015-10-20,91.55999755859375
2015-10-21,91.31999969482422
2015-10-22,92.41000366210938
2015-10-23,92.48999786376953
2015-10-26,92.72000122070312
2015-10-27,92.77999877929688
2015-10-28,94.79000091552734
2015-10-29,94.83000183105469
2015-10-30,93.30999755859375
2015-11-02,94.69999694824219
2015-11-03,94.62000274658203
2015-11-04,94.45999908447266
2015-11-05,94.80000305175781
2015-11-06,93.56999969482422
2015-11-09,92.43000030517578
2015-11-10,92.9800033569336
2015-11-11,93.88999938964844
2015-11-12,92.80000305175781
2015-11-13,93.0999984741211
2015-11-16,94.37000274658203
2015-11-17,93.66999816894531
2015-11-18,95.01000213623047
2015-11-19,93.81999969482422
2015-11-20,94.86000061035156
2015-11-23,94.72000122070312
2015-11-24,94.75
2015-11-25,94.51000213623047
2015-11-27,94.6500015258789
2015-11-30,94.73999786376953
2015-12-01,95.69999694824219
2015-12-02,94.52999877929688
2015-12-03,93.68000030517578
2015-12-04,96.6500015258789
2015-12-07,96.73999786376953
2015-12-08,95.0999984741211
2015-12-09,94.2300033569336
2015-12-10,93.83000183105469
2015-12-11,93.30000305175781
2015-12-14,94.08000183105469
2015-12-15,96.69000244140625
2015-12-16,96.91999816894531
2015-12-17,93.2699966430664
2015-12-18,90.98999786376953
2015-12-21,90.80000305175781
2015-12-22,91.06999969482422
2015-12-23,91.76000213623047
2015-12-24,92.05000305175781
2015-12-28,92.0
2015-12-29,93.83999633789062
2015-12-30,93.54000091552734
2015-12-31,92.20999908447266
2016-01-04,90.70999908447266
2016-01-05,91.26000213623047
2016-01-06,89.87999725341797
2016-01-07,88.56999969482422
2016-01-08,87.0199966430664
2016-01-11,86.41000366210938
2016-01-12,87.1500015258789
2016-01-13,85.91000366210938
2016-01-14,87.38999938964844
