Date,TDG
2016-01-04,229.86000061035156
2016-01-05,227.58999633789062
2016-01-06,230.10000610351562
2016-01-07,227.27999877929688
2016-01-08,221.49000549316406
2016-01-11,228.5500030517578
2016-01-12,229.30999755859375
2016-01-13,221.0800018310547
2016-01-14,226.5500030517578
2016-01-15,218.25999450683594
2016-01-19,220.82000732421875
2016-01-20,217.6999969482422
2016-01-21,216.4600067138672
2016-01-22,222.8300018310547
2016-01-25,220.1300048828125
2016-01-26,225.5
2016-01-27,221.13999938964844
2016-01-28,219.2899932861328
2016-01-29,224.72999572753906
2016-02-01,228.69000244140625
2016-02-02,220.6300048828125
2016-02-03,223.49000549316406
2016-02-04,227.35000610351562
2016-02-05,221.47000122070312
2016-02-08,214.6300048828125
2016-02-09,187.2899932861328
2016-02-10,192.91000366210938
2016-02-11,190.1999969482422
2016-02-12,195.10000610351562
2016-02-16,205.24000549316406
2016-02-17,207.42999267578125
2016-02-18,208.83999633789062
2016-02-19,207.41000366210938
2016-02-22,209.66000366210938
2016-02-23,211.52999877929688
2016-02-24,214.25999450683594
2016-02-25,215.25
2016-02-26,217.25
2016-02-29,213.5800018310547
2016-03-01,216.30999755859375
2016-03-02,218.30999755859375
2016-03-03,219.6300048828125
2016-03-04,222.67999267578125
2016-03-07,222.16000366210938
2016-03-08,218.27999877929688
2016-03-09,219.9600067138672
2016-03-10,218.38999938964844
2016-03-11,221.1699981689453
2016-03-14,218.8699951171875
2016-03-15,219.08999633789062
2016-03-16,220.0
2016-03-17,226.8000030517578
2016-03-18,225.07000732421875
2016-03-21,223.86000061035156
2016-03-22,223.5800018310547
2016-03-23,220.9499969482422
2016-03-24,219.67999267578125
2016-03-28,219.6300048828125
2016-03-29,223.49000549316406
2016-03-30,221.1999969482422
2016-03-31,220.33999633789062
2016-04-01,221.4199981689453
2016-04-04,220.10000610351562
2016-04-05,219.3000030517578
2016-04-06,223.36000061035156
2016-04-07,224.22000122070312
2016-04-08,224.13999938964844
2016-04-11,224.5
2016-04-12,225.16000366210938
2016-04-13,225.22999572753906
2016-04-14,225.13999938964844
2016-04-15,226.38999938964844
2016-04-18,225.08999633789062
2016-04-19,227.0500030517578
2016-04-20,229.5
2016-04-21,228.4600067138672
2016-04-22,226.7899932861328
2016-04-25,224.42999267578125
2016-04-26,230.89999389648438
