Date,MAS
2015-07-01,23.770000457763672
2015-07-02,23.600000381469727
2015-07-06,23.5
2015-07-07,23.6200008392334
2015-07-08,23.030000686645508
2015-07-09,23.049999237060547
2015-07-10,23.479999542236328
2015-07-13,23.520000457763672
2015-07-14,23.639999389648438
2015-07-15,23.399999618530273
2015-07-16,23.270000457763672
2015-07-17,22.860000610351562
2015-07-20,23.010000228881836
2015-07-21,22.6299991607666
2015-07-22,23.079999923706055
2015-07-23,23.799999237060547
2015-07-24,23.3700008392334
2015-07-27,23.15999984741211
2015-07-28,25.6299991607666
2015-07-29,26.40999984741211
2015-07-30,26.399999618530273
2015-07-31,26.389999389648438
2015-08-03,26.440000534057617
2015-08-04,26.459999084472656
2015-08-05,26.200000762939453
2015-08-06,26.440000534057617
2015-08-07,26.829999923706055
2015-08-10,26.940000534057617
2015-08-11,27.100000381469727
2015-08-12,27.09000015258789
2015-08-13,27.040000915527344
2015-08-14,27.219999313354492
2015-08-17,27.6200008392334
2015-08-18,28.350000381469727
2015-08-19,28.09000015258789
2015-08-20,27.25
2015-08-21,26.530000686645508
2015-08-24,25.290000915527344
2015-08-25,24.889999389648438
2015-08-26,25.75
2015-08-27,26.290000915527344
2015-08-28,26.290000915527344
2015-08-31,26.229999542236328
2015-09-01,25.639999389648438
2015-09-02,26.200000762939453
2015-09-03,26.59000015258789
2015-09-04,26.229999542236328
2015-09-08,26.760000228881836
2015-09-09,26.600000381469727
2015-09-10,26.850000381469727
2015-09-11,27.110000610351562
2015-09-14,27.100000381469727
2015-09-15,27.5
2015-09-16,27.549999237060547
2015-09-17,27.549999237060547
2015-09-18,27.260000228881836
2015-09-21,27.290000915527344
2015-09-22,26.690000534057617
2015-09-23,26.549999237060547
2015-09-24,26.299999237060547
2015-09-25,26.190000534057617
2015-09-28,25.6200008392334
2015-09-29,24.579999923706055
2015-09-30,25.18000030517578
2015-10-01,25.670000076293945
2015-10-02,25.899999618530273
2015-10-05,26.459999084472656
2015-10-06,26.530000686645508
2015-10-07,26.780000686645508
2015-10-08,26.780000686645508
2015-10-09,27.010000228881836
2015-10-12,27.110000610351562
2015-10-13,26.6299991607666
2015-10-14,26.149999618530273
2015-10-15,26.3799991607666
2015-10-16,26.420000076293945
2015-10-19,26.549999237060547
2015-10-20,26.670000076293945
2015-10-21,26.850000381469727
2015-10-22,27.6299991607666
2015-10-23,27.56999969482422
2015-10-26,27.600000381469727
2015-10-27,28.360000610351562
2015-10-28,29.25
2015-10-29,28.68000030517578
2015-10-30,29.0
2015-11-02,29.350000381469727
2015-11-03,29.399999618530273
2015-11-04,29.020000457763672
2015-11-05,29.25
2015-11-06,28.600000381469727
2015-11-09,28.40999984741211
2015-11-10,28.799999237060547
2015-11-11,29.15999984741211
2015-11-12,28.670000076293945
2015-11-13,28.299999237060547
2015-11-16,28.780000686645508
2015-11-17,29.31999969482422
2015-11-18,29.84000015258789
2015-11-19,29.950000762939453
2015-11-20,30.190000534057617
2015-11-23,30.15999984741211
2015-11-24,30.190000534057617
2015-11-25,30.5
2015-11-27,30.25
2015-11-30,29.90999984741211
2015-12-01,30.420000076293945
2015-12-02,30.170000076293945
2015-12-03,29.510000228881836
2015-12-04,30.020000457763672
2015-12-07,29.940000534057617
2015-12-08,29.75
