Date,TECH
2021-07-01,113.47750091552734
2021-07-02,112.39250183105469
2021-07-06,113.87000274658203
2021-07-07,115.92749786376953
2021-07-08,115.21749877929688
2021-07-09,116.34750366210938
2021-07-12,112.86499786376953
2021-07-13,113.36000061035156
2021-07-14,111.21749877929688
2021-07-15,112.37750244140625
2021-07-16,114.66999816894531
2021-07-19,113.85749816894531
2021-07-20,116.75749969482422
2021-07-21,115.78500366210938
2021-07-22,117.29499816894531
2021-07-23,118.5999984741211
2021-07-26,118.03250122070312
2021-07-27,118.4000015258789
2021-07-28,119.19000244140625
2021-07-29,120.77749633789062
2021-07-30,120.55999755859375
2021-08-02,121.43499755859375
2021-08-03,120.31749725341797
2021-08-04,121.6875
2021-08-05,122.6624984741211
2021-08-06,120.45500183105469
2021-08-09,119.8125
2021-08-10,115.92749786376953
2021-08-11,115.72250366210938
2021-08-12,115.96749877929688
2021-08-13,116.73500061035156
2021-08-16,119.36250305175781
2021-08-17,118.50499725341797
2021-08-18,117.70500183105469
2021-08-19,118.97000122070312
2021-08-20,119.86250305175781
2021-08-23,119.9749984741211
2021-08-24,123.12249755859375
2021-08-25,125.05999755859375
2021-08-26,123.29750061035156
2021-08-27,123.75250244140625
2021-08-30,126.45999908447266
2021-08-31,124.78500366210938
2021-09-01,126.3375015258789
2021-09-02,127.69499969482422
2021-09-03,128.2725067138672
2021-09-07,128.54750061035156
2021-09-08,126.94249725341797
2021-09-09,127.0425033569336
2021-09-10,129.19749450683594
2021-09-13,125.64749908447266
2021-09-14,127.47250366210938
2021-09-15,132.41000366210938
2021-09-16,132.36500549316406
2021-09-17,133.58749389648438
2021-09-20,132.2050018310547
2021-09-21,132.5500030517578
2021-09-22,133.25
2021-09-23,134.22500610351562
2021-09-24,134.72000122070312
2021-09-27,127.86250305175781
2021-09-28,122.21749877929688
2021-09-29,122.63249969482422
2021-09-30,121.14250183105469
2021-10-01,123.45500183105469
2021-10-04,120.30750274658203
2021-10-05,120.85250091552734
2021-10-06,120.89250183105469
2021-10-07,122.0999984741211
2021-10-08,119.90499877929688
2021-10-11,119.55249786376953
2021-10-12,119.50250244140625
2021-10-13,120.74749755859375
2021-10-14,124.4625015258789
2021-10-15,124.50499725341797
2021-10-18,124.87249755859375
2021-10-19,124.90499877929688
2021-10-20,126.8324966430664
2021-10-21,124.36250305175781
2021-10-22,126.31500244140625
2021-10-25,127.7074966430664
2021-10-26,129.6925048828125
2021-10-27,127.44249725341797
2021-10-28,128.80999755859375
2021-10-29,130.91250610351562
2021-11-01,131.26499938964844
2021-11-02,125.8324966430664
2021-11-03,126.08000183105469
2021-11-04,123.80750274658203
2021-11-05,124.33000183105469
2021-11-08,126.5999984741211
2021-11-09,125.53500366210938
2021-11-10,125.91500091552734
2021-11-11,126.65750122070312
2021-11-12,126.125
2021-11-15,125.44249725341797
2021-11-16,126.12249755859375
2021-11-17,123.4800033569336
2021-11-18,123.78500366210938
2021-11-19,125.375
2021-11-22,122.40750122070312
2021-11-23,118.18000030517578
2021-11-24,119.24250030517578
2021-11-26,118.36750030517578
2021-11-29,119.92250061035156
2021-11-30,118.00749969482422
2021-12-01,115.48500061035156
2021-12-02,116.81749725341797
2021-12-03,114.0374984741211
2021-12-06,117.05999755859375
2021-12-07,118.23999786376953
2021-12-08,120.32499694824219
2021-12-09,117.55000305175781
2021-12-10,116.51000213623047
2021-12-13,117.59249877929688
2021-12-14,115.72000122070312
2021-12-15,118.61000061035156
2021-12-16,115.38249969482422
2021-12-17,117.63999938964844
