Date,CCL
2015-07-01,49.630001068115234
2015-07-02,49.86000061035156
2015-07-06,49.36000061035156
2015-07-07,50.20000076293945
2015-07-08,48.93000030517578
2015-07-09,49.20000076293945
2015-07-10,50.58000183105469
2015-07-13,51.83000183105469
2015-07-14,52.20000076293945
2015-07-15,51.84000015258789
2015-07-16,52.209999084472656
2015-07-17,52.099998474121094
2015-07-20,52.150001525878906
2015-07-21,51.959999084472656
2015-07-22,52.369998931884766
2015-07-23,51.810001373291016
2015-07-24,51.119998931884766
2015-07-27,50.849998474121094
2015-07-28,51.34000015258789
2015-07-29,52.099998474121094
2015-07-30,51.880001068115234
2015-07-31,53.290000915527344
2015-08-03,52.220001220703125
2015-08-04,51.869998931884766
2015-08-05,52.630001068115234
2015-08-06,52.09000015258789
2015-08-07,52.130001068115234
2015-08-10,52.41999816894531
2015-08-11,52.189998626708984
2015-08-12,51.15999984741211
2015-08-13,52.11000061035156
2015-08-14,52.439998626708984
2015-08-17,52.88999938964844
2015-08-18,52.79999923706055
2015-08-19,52.29999923706055
2015-08-20,49.93000030517578
2015-08-21,48.380001068115234
2015-08-24,46.47999954223633
2015-08-25,47.34000015258789
2015-08-26,48.849998474121094
2015-08-27,49.7400016784668
2015-08-28,49.5
2015-08-31,49.22999954223633
2015-09-01,47.779998779296875
2015-09-02,49.439998626708984
2015-09-03,49.400001525878906
2015-09-04,48.93000030517578
2015-09-08,50.68000030517578
2015-09-09,50.529998779296875
2015-09-10,50.720001220703125
2015-09-11,51.380001068115234
2015-09-14,51.380001068115234
2015-09-15,51.939998626708984
2015-09-16,52.869998931884766
2015-09-17,52.7400016784668
2015-09-18,52.06999969482422
2015-09-21,52.68000030517578
2015-09-22,49.790000915527344
2015-09-23,51.5
2015-09-24,50.880001068115234
2015-09-25,50.70000076293945
2015-09-28,48.63999938964844
2015-09-29,48.22999954223633
2015-09-30,49.70000076293945
2015-10-01,49.5099983215332
2015-10-02,49.7599983215332
2015-10-05,50.380001068115234
2015-10-06,49.15999984741211
2015-10-07,49.25
2015-10-08,49.619998931884766
