Date,ABT
2015-07-01,49.52000045776367
2015-07-02,49.40999984741211
2015-07-06,49.7400016784668
2015-07-07,50.209999084472656
2015-07-08,49.25
2015-07-09,49.189998626708984
2015-07-10,49.93000030517578
2015-07-13,49.720001220703125
2015-07-14,50.20000076293945
2015-07-15,49.310001373291016
2015-07-16,49.77000045776367
2015-07-17,49.900001525878906
2015-07-20,50.060001373291016
2015-07-21,49.7599983215332
2015-07-22,50.97999954223633
2015-07-23,51.20000076293945
2015-07-24,51.04999923706055
2015-07-27,50.689998626708984
2015-07-28,50.939998626708984
2015-07-29,51.060001373291016
2015-07-30,50.77000045776367
2015-07-31,50.689998626708984
2015-08-03,50.5
2015-08-04,50.5099983215332
2015-08-05,50.47999954223633
2015-08-06,50.31999969482422
2015-08-07,50.11000061035156
2015-08-10,50.65999984741211
2015-08-11,50.38999938964844
2015-08-12,50.09000015258789
2015-08-13,49.84000015258789
2015-08-14,50.22999954223633
2015-08-17,50.380001068115234
2015-08-18,50.439998626708984
2015-08-19,49.84000015258789
2015-08-20,48.529998779296875
2015-08-21,47.130001068115234
2015-08-24,43.70000076293945
2015-08-25,42.900001525878906
2015-08-26,43.97999954223633
2015-08-27,45.63999938964844
2015-08-28,46.02000045776367
2015-08-31,45.290000915527344
2015-09-01,43.56999969482422
2015-09-02,44.2400016784668
2015-09-03,44.13999938964844
2015-09-04,43.06999969482422
2015-09-08,44.040000915527344
2015-09-09,43.22999954223633
2015-09-10,43.119998931884766
2015-09-11,43.40999984741211
2015-09-14,43.16999816894531
2015-09-15,43.810001373291016
2015-09-16,43.86000061035156
2015-09-17,44.2400016784668
2015-09-18,43.33000183105469
2015-09-21,43.29999923706055
2015-09-22,42.47999954223633
2015-09-23,42.20000076293945
2015-09-24,41.939998626708984
2015-09-25,40.86000061035156
2015-09-28,39.060001373291016
2015-09-29,39.5
2015-09-30,40.220001220703125
2015-10-01,40.7599983215332
2015-10-02,41.380001068115234
2015-10-05,41.38999938964844
2015-10-06,39.88999938964844
2015-10-07,40.630001068115234
2015-10-08,41.15999984741211
2015-10-09,41.88999938964844
2015-10-12,41.56999969482422
2015-10-13,40.91999816894531
2015-10-14,40.720001220703125
2015-10-15,41.869998931884766
2015-10-16,42.220001220703125
2015-10-19,42.150001525878906
2015-10-20,41.7400016784668
2015-10-21,42.20000076293945
2015-10-22,43.5
2015-10-23,43.599998474121094
2015-10-26,43.61000061035156
2015-10-27,43.880001068115234
2015-10-28,44.7599983215332
2015-10-29,45.2400016784668
2015-10-30,44.79999923706055
2015-11-02,45.43000030517578
2015-11-03,45.5099983215332
2015-11-04,45.18000030517578
2015-11-05,45.18000030517578
2015-11-06,45.630001068115234
2015-11-09,45.04999923706055
2015-11-10,45.7599983215332
2015-11-11,45.06999969482422
2015-11-12,44.189998626708984
2015-11-13,43.959999084472656
