ticker,status,n_rows,start_date,end_date,note
A,ok,2641,2015-07-01,2025-12-31,
AABA,delisted,0,2015-07-01,2016-12-31,sem dados no Yahoo
AAL,ok,2264,2015-07-01,2024-06-30,
AAP,ok,2013,2015-07-01,2023-06-30,
AAPL,ok,2641,2015-07-01,2025-12-31,
ABBV,ok,2641,2015-07-01,2025-12-31,
ABC,delisted,0,2015-07-01,2023-06-30,sem dados no Yahoo
ABMD,delisted,0,2018-01-01,2022-06-30,sem dados no Yahoo
ABNB,ok,627,2023-07-01,2025-12-31,
ABT,ok,2641,2015-07-01,2025-12-31,
ACGL,ok,878,2022-07-01,2025-12-31,
ACN,ok,2641,2015-07-01,2025-12-31,
ADBE,ok,2641,2015-07-01,2025-12-31,
ADI,ok,2641,2015-07-01,2025-12-31,
ADM,ok,2641,2015-07-01,2025-12-31,
ADP,ok,2641,2015-07-01,2025-12-31,
ADS,delisted,0,2015-07-01,2019-12-31,sem dados no Yahoo
ADSK,ok,2641,2015-07-01,2025-12-31,
ADT,delisted,0,2015-07-01,2015-12-31,sem dados no Yahoo
AEE,ok,2641,2015-07-01,2025-12-31,
AEP,ok,2641,2015-07-01,2025-12-31,
AES,ok,2641,2015-07-01,2025-12-31,
AET,ok,756,2015-07-01,2018-06-30,
AFL,ok,2641,2015-07-01,2025-12-31,
AGN,delisted,0,2015-07-01,2019-12-31,sem dados no Yahoo
AIG,ok,2641,2015-07-01,2025-12-31,
AIV,ok,1258,2015-07-01,2020-06-30,
AIZ,ok,2641,2015-07-01,2025-12-31,
AJG,ok,2513,2016-01-01,2025-12-31,
AKAM,ok,2641,2015-07-01,2025-12-31,
ALB,ok,2388,2016-07-01,2025-12-31,
ALGN,ok,2261,2017-01-01,2025-12-31,
ALK,ok,1885,2016-01-01,2023-06-30,
ALL,ok,2641,2015-07-01,2025-12-31,
ALLE,ok,2641,2015-07-01,2025-12-31,
ALXN,delisted,0,2015-07-01,2021-06-30,sem dados no Yahoo
AMAT,ok,2641,2015-07-01,2025-12-31,
AMCR,ok,1759,2019-01-01,2025-12-31,
AMD,ok,2261,2017-01-01,2025-12-31,
AME,ok,2641,2015-07-01,2025-12-31,
AMG,ok,1006,2015-07-01,2019-06-30,
AMGN,ok,2641,2015-07-01,2025-12-31,
AMP,ok,2641,2015-07-01,2025-12-31,
AMT,ok,2641,2015-07-01,2025-12-31,
AMZN,ok,2641,2015-07-01,2025-12-31,
AN,ok,504,2015-07-01,2017-06-30,
ANDV,ok,755,2015-07-01,2018-06-30,
ANET,ok,1885,2018-07-01,2025-12-31,
ANSS,delisted,0,2017-01-01,2025-06-30,sem dados no Yahoo
ANTM,delisted,0,2015-07-01,2021-12-31,sem dados no Yahoo
AON,ok,2641,2015-07-01,2025-12-31,
AOS,ok,2136,2017-07-01,2025-12-31,
APA,ok,2641,2015-07-01,2025-12-31,
APC,delisted,0,2015-07-01,2019-06-30,sem dados no Yahoo
APD,ok,2641,2015-07-01,2025-12-31,
APH,ok,2641,2015-07-01,2025-12-31,
APO,ok,377,2024-07-01,2025-12-31,
APP,ok,127,2025-07-01,2025-12-31,
APTV,ok,2641,2015-07-01,2025-12-31,
ARE,ok,2261,2017-01-01,2025-12-31,
ARES,ok,127,2025-07-01,2025-12-31,
ARG,delisted,0,2015-07-01,2015-12-31,sem dados no Yahoo
ARNC,delisted,0,2015-07-01,2019-12-31,sem dados no Yahoo
ATO,ok,1759,2019-01-01,2025-12-31,
ATVI,delisted,0,2015-07-01,2023-06-30,sem dados no Yahoo
AVB,ok,2641,2015-07-01,2025-12-31,
AVGO,ok,2641,2015-07-01,2025-12-31,
AVY,ok,2641,2015-07-01,2025-12-31,
AWK,ok,2513,2016-01-01,2025-12-31,
AXON,ok,751,2023-01-01,2025-12-31,
AXP,ok,2641,2015-07-01,2025-12-31,
AYI,ok,503,2016-01-01,2017-12-31,
AZO,ok,2641,2015-07-01,2025-12-31,
BA,ok,2641,2015-07-01,2025-12-31,
BAC,ok,2641,2015-07-01,2025-12-31,
BALL,ok,1002,2022-01-01,2025-12-31,
BAX,ok,2641,2015-07-01,2025-12-31,
BBBY,ok,504,2015-07-01,2017-06-30,
BBT,ok,1006,2015-07-01,2019-06-30,
BBWI,ok,753,2021-07-01,2024-06-30,
BBY,ok,2641,2015-07-01,2025-12-31,
BCR,delisted,0,2015-07-01,2017-06-30,sem dados no Yahoo
BDX,ok,2641,2015-07-01,2025-12-31,
BEN,ok,2641,2015-07-01,2025-12-31,
BF.B,delisted,0,2015-07-01,2025-12-31,sem dados no Yahoo
BG,ok,751,2023-01-01,2025-12-31,
BHF,ok,367,2017-07-01,2018-12-31,
BHGE,delisted,0,2015-07-01,2019-06-30,sem dados no Yahoo
BIIB,ok,2641,2015-07-01,2025-12-31,
BIO,ok,1130,2020-01-01,2024-06-30,
BK,ok,2641,2015-07-01,2025-12-31,
BKNG,ok,2641,2015-07-01,2025-12-31,
BKR,ok,1635,2019-07-01,2025-12-31,
BLDR,ok,627,2023-07-01,2025-12-31,
BLK,ok,2641,2015-07-01,2025-12-31,
BLL,delisted,0,2015-07-01,2021-12-31,sem dados no Yahoo
BMY,ok,2641,2015-07-01,2025-12-31,
BR,ok,2010,2018-01-01,2025-12-31,
BRCM,delisted,0,2015-07-01,2015-12-31,sem dados no Yahoo
BRK.B,delisted,0,2015-07-01,2025-12-31,sem dados no Yahoo
BRO,ok,1130,2021-07-01,2025-12-31,
BSX,ok,2641,2015-07-01,2025-12-31,
BWA,ok,2391,2015-07-01,2024-12-31,
BX,ok,627,2023-07-01,2025-12-31,
BXLT,delisted,0,2015-07-01,2015-12-31,sem dados no Yahoo
BXP,ok,2641,2015-07-01,2025-12-31,
C,ok,2641,2015-07-01,2025-12-31,
CA,delisted,0,2015-07-01,2018-06-30,sem dados no Yahoo
CAG,ok,2641,2015-07-01,2025-12-31,
CAH,ok,2641,2015-07-01,2025-12-31,
CAM,delisted,0,2015-07-01,2015-12-31,sem dados no Yahoo
CARR,ok,1454,2020-01-01,2025-12-31,
CAT,ok,2641,2015-07-01,2025-12-31,
CB,ok,2641,2015-07-01,2025-12-31,
CBOE,ok,2261,2017-01-01,2025-12-31,
