ticker,status,n_rows,start_date,end_date,note
PARA,delisted,0,2022-01-01,2025-06-30,sem dados no Yahoo
PBCT,delisted,0,2015-07-01,2021-12-31,sem dados no Yahoo
PCL,delisted,0,2015-07-01,2015-12-31,sem dados no Yahoo
PCP,delisted,0,2015-07-01,2015-12-31,sem dados no Yahoo
PDCO,delisted,0,2015-07-01,2017-12-31,sem dados no Yahoo
PEAK,delisted,0,2019-07-01,2023-12-31,sem dados no Yahoo
PKI,delisted,0,2015-07-01,2022-12-31,sem dados no Yahoo
POM,delisted,0,2015-07-01,2015-12-31,sem dados no Yahoo
PX,delisted,0,2015-07-01,2018-06-30,sem dados no Yahoo
PXD,delisted,0,2015-07-01,2023-12-31,sem dados no Yahoo
RAI,delisted,0,2015-07-01,2017-06-30,sem dados no Yahoo
RE,delisted,0,2017-01-01,2023-06-30,sem dados no Yahoo
RHT,delisted,0,2015-07-01,2019-06-30,sem dados no Yahoo
RTN,delisted,0,2015-07-01,2019-12-31,sem dados no Yahoo
SBNY,delisted,0,2021-07-01,2022-12-31,sem dados no Yahoo
SE,delisted,0,2015-07-01,2016-12-31,sem dados no Yahoo
SIVB,delisted,0,2018-01-01,2022-12-31,sem dados no Yahoo
SNI,delisted,0,2015-07-01,2017-12-31,sem dados no Yahoo
SPLS,delisted,0,2015-07-01,2017-06-30,sem dados no Yahoo
SRCL,delisted,0,2015-07-01,2018-06-30,sem dados no Yahoo
STI,delisted,0,2015-07-01,2019-06-30,sem dados no Yahoo
STJ,delisted,0,2015-07-01,2016-12-31,sem dados no Yahoo
SWN,delisted,0,2015-07-01,2016-12-31,sem dados no Yahoo
SYMC,delisted,0,2015-07-01,2019-06-30,sem dados no Yahoo
TE,delisted,0,2015-07-01,2016-06-30,sem dados no Yahoo
TIF,delisted,0,2015-07-01,2020-12-31,sem dados no Yahoo
TMK,delisted,0,2015-07-01,2019-06-30,sem dados no Yahoo
TSS,delisted,0,2015-07-01,2019-06-30,sem dados no Yahoo
TWC,delisted,0,2015-07-01,2015-12-31,sem dados no Yahoo
TWTR,delisted,0,2018-01-01,2022-06-30,sem dados no Yahoo
UTX,delisted,0,2015-07-01,2019-12-31,sem dados no Yahoo
VAR,delisted,0,2015-07-01,2020-12-31,sem dados no Yahoo
VIAB,delisted,0,2015-07-01,2019-06-30,sem dados no Yahoo
VIAC,delisted,0,2019-07-01,2021-12-31,sem dados no Yahoo
WBA,delisted,0,2015-07-01,2025-06-30,sem dados no Yahoo
WCG,delisted,0,2018-07-01,2019-12-31,sem dados no Yahoo
WFM,delisted,0,2015-07-01,2017-06-30,sem dados no Yahoo
WLTW,delisted,0,2016-01-01,2021-12-31,sem dados no Yahoo
WRK,delisted,0,2015-07-01,2024-06-30,sem dados no Yahoo
WYND,delisted,0,2015-07-01,2017-12-31,sem dados no Yahoo
XEC,delisted,0,2015-07-01,2019-12-31,sem dados no Yahoo
XL,delisted,0,2015-07-01,2018-06-30,sem dados no Yahoo
XLNX,delisted,0,2015-07-01,2021-12-31,sem dados no Yahoo
