ticker,fonte,status,n_rows,start_date,end_date,note
CERN,tiingo,ok_tiingo,1639,2015-07-01,2021-12-31,
CHK,tiingo,ok_tiingo,631,2015-07-01,2017-12-31,
CMA,tiingo,ok_tiingo,2140,2015-07-01,2023-12-31,
COG,tiingo,not_found_tiingo,0,2015-07-01,2021-06-30,Tiingo retornou lista vazia para COG
CPGX,tiingo,ok_tiingo,253,2015-07-01,2016-06-30,
CTLT,tiingo,ok_tiingo,1005,2020-07-01,2024-06-30,
CTXS,tiingo,ok_tiingo,1763,2015-07-01,2022-06-30,
CVC,tiingo,not_found_tiingo,0,2015-07-01,2015-12-31,Tiingo retornou lista vazia para CVC
CXO,tiingo,ok_tiingo,1259,2016-01-01,2020-12-31,
DFS,tiingo,ok_tiingo,2392,2015-07-01,2024-12-31,
DISH,tiingo,ok_tiingo,1510,2017-01-01,2022-12-31,
DNB,tiingo,not_found_tiingo,0,2015-07-01,2016-12-31,Tiingo retornou lista vazia para DNB
DO,tiingo,not_found_tiingo,0,2015-07-01,2016-06-30,Tiingo retornou lista vazia para DO
DRE,tiingo,ok_tiingo,1258,2017-07-01,2022-06-30,
DWDP,tiingo,ok_tiingo,338,2017-07-01,2018-12-31,
EMC,tiingo,not_found_tiingo,0,2015-07-01,2016-06-30,Tiingo retornou lista vazia para EMC
ENDP,tiingo,not_found_tiingo,0,2015-07-01,2016-12-31,"Tiingo 404 para ENDP: {""detail"":""Error: Ticker 'ENDP' not found""}"
ESV,tiingo,not_found_tiingo,0,2015-07-01,2015-12-31,"Tiingo 404 para ESV: {""detail"":""Error: Ticker 'ESV' not found""}"
ETFC,tiingo,ok_tiingo,1259,2015-07-01,2020-06-30,
FBHS,tiingo,not_found_tiingo,0,2016-01-01,2022-06-30,Tiingo retornou lista vazia para FBHS
FI,tiingo,ok_tiingo,624,2023-01-01,2025-06-30,
FL,tiingo,ok_tiingo,878,2016-01-01,2019-06-30,
FLIR,tiingo,ok_tiingo,1387,2015-07-01,2020-12-31,
FLT,tiingo,not_found_tiingo,0,2018-01-01,2023-12-31,Tiingo retornou lista vazia para FLT
FRC,tiingo,not_found_tiingo,0,2019-01-01,2022-12-31,"Tiingo 404 para FRC: {""detail"":""Error: Ticker 'FRC' not found""}"
FTR,tiingo,not_found_tiingo,0,2015-07-01,2016-12-31,Tiingo retornou lista vazia para FTR
GAS,tiingo,ok_tiingo,253,2015-07-01,2016-06-30,
GGP,tiingo,ok_tiingo,756,2015-07-01,2018-06-30,
GMCR,tiingo,ok_tiingo,128,2015-07-01,2015-12-31,
GPS,tiingo,not_found_tiingo,0,2015-07-01,2021-12-31,Tiingo retornou lista vazia para GPS
HAR,tiingo,ok_tiingo,252,2015-07-01,2016-12-31,
HBI,tiingo,ok_tiingo,1511,2015-07-01,2021-06-30,
HES,tiingo,ok_tiingo,2514,2015-07-01,2025-06-30,
HFC,tiingo,not_found_tiingo,0,2018-01-01,2020-12-31,"Tiingo 404 para HFC: {""detail"":""Error: Ticker 'HFC' not found""}"
HRS,tiingo,ok_tiingo,882,2015-07-01,2018-12-31,
INFO,tiingo,not_found_tiingo,0,2017-01-01,2021-12-31,Tiingo retornou lista vazia para INFO
IPG,tiingo,ok_tiingo,2514,2015-07-01,2025-06-30,
IRM,tiingo,ok_tiingo,2642,2015-07-01,2025-12-31,
JEC,tiingo,ok_tiingo,1006,2015-07-01,2019-06-30,
JNPR,tiingo,ok_tiingo,2514,2015-07-01,2025-06-30,
JWN,tiingo,ok_tiingo,1134,2015-07-01,2019-12-31,
K,tiingo,ok_tiingo,2514,2015-07-01,2025-06-30,
KSU,tiingo,ok_tiingo,1511,2015-07-01,2021-06-30,
LB,tiingo,not_found_tiingo,0,2015-07-01,2021-06-30,Tiingo retornou lista vazia para LB
LLL,tiingo,ok_tiingo,1006,2015-07-01,2019-06-30,
LLTC,tiingo,ok_tiingo,251,2015-07-01,2016-12-31,
LM,tiingo,ok_tiingo,253,2015-07-01,2016-06-30,
LVLT,tiingo,ok_tiingo,505,2015-07-01,2017-06-30,
MJN,tiingo,ok_tiingo,380,2015-07-01,2016-12-31,
MMC,tiingo,not_found_tiingo,0,2015-07-01,2025-12-31,Tiingo retornou lista vazia para MMC
MNK,tiingo,not_found_tiingo,0,2015-07-01,2017-06-30,"Tiingo 404 para MNK: {""detail"":""Error: Ticker 'MNK' not found""}"
