periodo,0
1990/S1,712
1990/S2,697
1991/S1,740
1991/S2,728
1992/S1,766
1992/S2,747
1993/S1,791
1993/S2,781
1994/S1,807
1994/S2,805
1995/S1,824
1995/S2,820
1996/S1,840
1996/S2,836
1997/S1,857
1997/S2,852
1998/S1,842
1998/S2,849
1999/S1,823
1999/S2,837
2000/S1,805
2000/S2,816
2001/S1,791
2001/S2,799
2002/S1,781
2002/S2,789
2003/S1,775
2003/S2,775
2004/S1,765
2004/S2,769
2005/S1,753
2005/S2,767
2006/S1,739
2006/S2,745
2007/S1,710
2007/S2,726
2008/S1,688
2008/S2,704
2009/S1,676
2009/S2,679
2010/S1,663
2010/S2,668
2011/S1,655
2011/S2,658
2012/S1,644
2012/S2,648
2013/S1,632
2013/S2,642
2014/S1,624
2014/S2,626
