Price,Close,High,Low,Open,Volume
Ticker,HSY,HSY,HSY,HSY,HSY
Date,,,,,
2014-07-01,73.21823120117188,73.84531514561863,72.99912735967717,73.84531514561863,1065900
2014-07-02,73.11246490478516,73.27868203907933,72.56093252014321,73.21068726462607,819800
2014-07-03,73.00668334960938,73.20312228337255,72.69691980427356,73.11245682989208,635200
2014-07-07,73.14266204833984,73.61864836581154,73.02178056868838,73.06711040303006,654700
2014-07-08,73.23334503173828,73.59600108604589,72.74225057320143,73.13512844571989,925900
2014-07-09,73.01422119140625,73.5204235384072,72.90844773872608,73.21821696744719,782800
2014-07-10,72.74222564697266,72.85555598537333,72.34179678028136,72.59867350071711,713600
2014-07-11,72.87067413330078,73.10489173566782,72.50046702302036,72.64401918922393,666100
2014-07-14,71.7676010131836,73.1502185962778,71.3520640838339,72.90089298013535,2192300
2014-07-15,71.51830291748047,72.18316566522711,71.45785927744275,71.46541040928038,1338100
2014-07-16,69.76544952392578,71.14051595393013,68.81348843822866,70.41520403498816,4479400
2014-07-17,69.63702392578125,69.9467932150855,69.30459547986638,69.62191589996684,1438500
2014-07-18,70.90630340576172,71.08007738632897,69.78056827182337,69.98455830062537,1391000
2014-07-21,70.47566223144531,70.9365348465686,70.25655838456521,70.64187934040415,781800
2014-07-22,70.6494369506836,70.81565406132482,70.27922401726553,70.57388529063454,829400
2014-07-23,71.01963806152344,71.06496790084155,70.6494309239082,70.6494309239082,1089900
2014-07-24,69.76544952392578,70.86096853174998,69.36502062473592,70.64942162381729,1728100
2014-07-25,69.90900421142578,69.939226022827,69.00992405595852,69.76545204832533,1596700
2014-07-28,69.38013458251953,70.07521892864128,69.1836956971474,69.86367202018864,953400
2014-07-29,68.97216796875,69.70503122270193,68.97216796875,69.2819315239185,1521300
2014-07-30,68.26953125,69.12327607385511,68.09575722103011,68.97217273370794,1306900
2014-07-31,66.59977722167969,68.26193608844147,66.56199852570886,68.1637195488249,2098400
2014-08-01,67.31754302978516,67.4535382991068,66.39579795596312,66.7886757403239,2020300
2014-08-04,67.559326171875,67.64999162550808,67.03045876957131,67.2495626260178,1386300
2014-08-05,66.87936401367188,67.57445444538483,66.75092558333172,67.32512871762552,1320600
2014-08-06,67.81619262695312,67.99751772690968,66.84911774155688,66.87933378803214,1353300
2014-08-07,67.64242553710938,68.12596302899306,67.54420896552168,67.81619952523394,1250900
2014-08-08,68.29972839355469,68.37528003633078,67.60464405726135,67.61975208012822,1048600
2014-08-11,68.34506225585938,68.68505331472821,68.0730717144528,68.26951060862892,1238000
2014-08-12,68.38285064697266,68.77572272674806,68.17885482991423,68.29974209398175,905000
2014-08-13,68.73039245605469,68.75305737687044,68.22419001042947,68.61706208775391,957000
2014-08-14,69.75035095214844,69.82590260604448,68.73038921399767,68.73794610865379,1906000
2014-08-15,69.07036590576172,70.05255457631476,68.60949338111062,69.81834274924391,896500
2014-08-18,69.16858673095703,69.43302036291726,68.98725587113783,69.09302932392194,561700
2014-08-19,69.44812774658203,69.57656611460614,69.01747704586172,69.16858609432022,837400
2014-08-20,69.4783706665039,69.61436596932681,69.13082839578372,69.50859248537817,805400
2014-08-21,69.8393325805664,69.92292745633195,69.47455441377569,69.49735196208407,1198200
2014-08-22,69.90774536132812,69.90774536132812,69.50497309732862,69.77095423412509,1069500
2014-08-25,69.92291259765625,70.16609605785595,69.70252668092043,69.77852042511701,863400
2014-08-26,69.8393325805664,70.09771252533095,69.66454171361514,69.84693369598662,827800
2014-08-27,69.4517593383789,69.89253128120914,69.0717847251706,69.82413283589636,1339100
2014-08-28,69.8697280883789,70.07491181183865,69.360557741364,69.360557741364,694200
2014-08-29,69.47457885742188,69.87735114711884,69.34538883958592,69.83935715255467,765500
2014-09-02,69.69496154785156,69.89255002313058,69.29218927751842,69.4669801975641,954300
2014-09-03,69.07936096191406,69.91530365031691,69.01856365418831,69.90770253736359,791700
2014-09-04,68.20545196533203,69.0337939471302,68.11425595900658,69.0034010763083,1517800
2014-09-05,68.83621978759766,68.87421377978802,68.16746058796302,68.47904263287532,932700
2014-09-08,69.8697280883789,70.47768394163323,68.79059586759007,68.90458940193525,2089900
2014-09-09,68.96538543701172,69.80132834332451,68.84379078986343,69.80132834332451,1080200
2014-09-10,69.76333618164062,70.09011455692317,68.96538723331402,69.15537452596777,1487900
2014-09-11,70.19654083251953,70.28773106628475,69.54298376674615,69.77096514911406,862500
2014-09-12,70.42449188232422,70.47768809509338,69.93812485187689,70.18130836710056,1375300
2014-09-15,70.38651275634766,70.52330387490406,69.98373471985401,70.47770297008287,838400
2014-09-16,71.42760467529297,71.7467876607914,70.56126328169164,70.56126328169164,2036500
2014-09-17,71.25286102294922,71.5340386046842,70.89568385895217,71.2452599051322,1337100
2014-09-18,71.5644302368164,71.61762646039347,71.13886044819995,71.43524023640835,749100
2014-09-19,71.3288345336914,71.8152015725689,71.16164477696118,71.80760045691231,924900
2014-09-22,70.93365478515625,71.40482537137198,70.72847105445314,71.38202782328855,602600
2014-09-23,70.2649154663086,70.87287725909637,70.17371945800443,70.68288992359436,656600
2014-09-24,71.59483337402344,71.67082715559579,70.26492190366879,70.26492190366879,1062000
2014-09-25,70.62206268310547,71.28322041797925,70.45487297097985,71.23002421848027,916600
2014-09-26,70.83485412597656,70.87285389973376,70.21929721717981,70.45487958021039,766100
2014-09-29,71.81520080566406,71.95959301183503,70.47768856405783,70.53088477718097,1169000
2014-09-30,72.52194213867188,72.68913186671595,71.81518925063644,72.08117027345591,1379800
2014-10-01,71.68600463867188,72.49154888151442,71.59480865350122,72.24836538567789,1517800
2014-10-02,71.3668441772461,71.80001506229857,70.96406616311549,71.73921772454831,1022300
2014-10-03,71.19966888427734,71.50364403897147,71.16166909096337,71.50364403897147,1322700
2014-10-06,71.05524444580078,71.64800384612555,70.52328236806106,71.32122548467063,908800
2014-10-07,70.37890625,70.9792669022501,70.33331114662381,70.64488734961634,890800
2014-10-08,71.51123046875,71.53402802087398,70.32571137467727,70.432103816558,882500
